item_code,item,unit,item_group,item_category,2023-06-01,2023-06-02,2023-06-03,2023-06-04,2023-06-06,2023-06-07,2023-06-08,2023-06-09,2023-06-10,2023-06-11,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-17,2023-06-18,2023-06-19,2023-06-20,2023-06-21,2023-06-22,2023-06-23,2023-06-24,2023-06-25,2023-06-26,2023-06-27
1138,SOS TIRAM MAGGI,340 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,5.673529411764706,,,,,,,,,,5.682592592592592,,,,,,,5.692888888888889,,5.5,,,,,5.7028888888888885,
1139,SOS TOMATO LIFE,330 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,3.627215189873418,,,,,,,,,,3.671511627906977,,,,,,,3.6679347826086954,,,,,,,3.6577777777777776,
1140,MARJERIN PLANTA,240 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),7.284285714285714,,,,,,,,,,7.255357142857143,,,,,,,7.277325581395349,,,,,,,7.273456790123457,
1141,MARJERIN DAISY,240 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),5.31967032967033,,,,,,,,,,5.2460344827586205,,,,,,,5.27295652173913,,4.99,,,,,5.290178571428571,
1142,SARDIN CAP ADABI (SOS TOMATO DENGAN CILI),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,8.845543478260868,,,,,,,,,,8.8368,,,,,,,8.840416666666668,,8.2,,,,,8.827395833333334,
1144,MENTEGA KACANG HALUS LADY'S CHOICE,340 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),13.45625,,,,,,,,,,13.609210526315788,,,,,,,13.671428571428573,,13.3,,,,,13.714102564102564,
1145,NESTLE CERELAC BERAS - TIN,500 g,SUSU DAN BARANGAN BAYI,MAKANAN BAYI,15.764406779661018,,,,,,,,,,15.740379746835442,,,,,,,15.918045977011495,,,,,,,16.045,
1151,SANTAN KELAPA JENAMA AYAM BRAND,1 liter,BARANGAN BERBUNGKUS,SANTAN (KOTAK),11.688793103448274,,,,,,,,,,11.653793103448276,,,,,,,11.68,,10.9,,,,,11.668421052631578,
1153,PERENCAH TOM YAM ADABI,40 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),2.0770714285714282,,,,,,,,,,2.087901234567901,,,,,,,2.085123456790124,,,,,,,2.094129032258065,
1355,100 PLUS (ORIGINAL),1.5 liter,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,,,,,,,,,,,3.9924999999999997,
