item_code,item,unit,item_group,item_category,2023-07-01,2023-07-02,2023-07-03,2023-07-04,2023-07-05,2023-07-06,2023-07-07,2023-07-08,2023-07-09,2023-07-10,2023-07-11,2023-07-12,2023-07-13,2023-07-14,2023-07-15,2023-07-16,2023-07-17,2023-07-18,2023-07-20,2023-07-21,2023-07-22,2023-07-23,2023-07-24,2023-07-25,2023-07-26,2023-07-27,2023-07-28,2023-07-29,2023-07-30,2023-07-31
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,,9.4,9.377804878048781,9.4,9.4,9.4,9.4,9.4,9.4,9.33547619047619,9.4,9.4,9.4,9.4,9.4,9.4,9.333095238095238,9.4,9.4,9.4,8.79,9.4,9.23025641025641,9.4,9.4,9.4,,,9.4,9.051515151515153
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,,,11.131666666666668,,,,,,,11.181666666666667,,,,,,,11.181666666666667,,,,,,10.927142857142858,,,,,,,11.238
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,,,22.833333333333332,,,,,,,21.9975,,,,,,,21.9975,,,,,,22.25,,,,,,,22.25
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,4.414285714285714,,,,,,,4.866666666666666,,,,,,,5.0375,,,,,,4.877777777777777,,,4.5,,,,5.1
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,6.376470588235295,,,,,,,6.305555555555555,7.25,7.25,7.25,7.25,7.25,7.25,6.379411764705883,7.25,7.25,,,,6.311764705882353,,,,,,7.25,6.426190476190476
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,7.0,,,,,,,7.0,,,,,,,7.5,,,,,,7.0,,,,,,,6.875
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,4.0,,,,,,,4.0,,,,,,,4.0,,,,,,4.0,,,3.5,,,,4.5
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.19,4.19,3.8215384615384616,4.19,4.19,4.19,4.19,4.19,4.19,4.046153846153846,4.19,2.99,2.99,2.99,2.99,2.99,3.9492857142857143,2.99,2.99,2.69,2.69,2.99,3.8653333333333335,,2.99,2.99,2.99,2.99,2.99,3.8306250000000004
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,9.245000000000001,9.39,9.39,9.39,9.39,9.39,9.39,10.625714285714285,9.39,9.39,8.99,8.99,8.99,10.99,9.3075,10.99,10.99,10.99,10.99,10.99,9.878333333333334,10.99,10.99,9.49,10.99,10.99,10.99,10.096
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,5.25,,,,,,,4.918,,,,,,,4.918,,,,,,5.263333333333333,,,6.99,,,,4.8975
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,4.69,4.69,4.240526315789474,4.69,4.69,4.69,4.69,4.29,4.29,4.2085,4.29,4.29,4.19,4.19,4.19,4.69,4.163500000000001,4.69,4.69,4.69,4.69,4.69,4.1035,4.69,4.69,4.3933333333333335,4.39,4.39,4.69,4.126
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,21.038,,,,,,,21.038,,,,,,,21.278,,,,,,20.433333333333334,,,15.9,,,,18.54
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.99,5.99,6.819,5.99,5.99,5.99,,,,6.911111111111111,,,5.69,5.69,5.69,5.69,6.748,5.69,5.69,5.69,5.69,5.69,6.725454545454546,5.69,5.69,5.69,5.69,5.69,5.69,6.659999999999999
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,6.0,,,,,,,,,,,,,,6.0,,,,,,6.0,,,,,,,6.0
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,27.523076923076925,,,,,,,26.349999999999998,,,,,,,27.285714285714285,,,,,,26.19333333333333,,,,,,,26.859333333333332
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,12.11625,,,,,,,11.646333333333333,,,,,,,11.581515151515152,,,,,,11.492499999999998,,,9.9,,,,11.530689655172413
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,12.833333333333334,,,,,,,12.12857142857143,,,,,,,11.483333333333334,,,,,,12.444444444444445,,,,,,,12.6
51,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,,,38.0,,,,,,,31.95,,,,,,,31.45,,,,,,33.29666666666667,,,,,,,33.0
52,KEPALA IKAN JENAHAK,1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,,,,29.0,,,,,,,29.0,,,,,,29.0,,,,,,,
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,15.199411764705882,,,,,,,15.118125,,,,,,,14.667894736842106,,,,,,16.20714285714286,,,17.0,,,,16.024375
60,IKAN MERAH (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,,,34.666666666666664,,,,,,,35.6225,,,,,,,37.25,,,,,,36.5,,,,,,,35.898
64,KEPALA IKAN MERAH,1kg,BARANGAN SEGAR,BAHAN LAUT,,,35.0,,,,,,,35.0,,,,,,,35.0,,,,,,35.0,,,,,,,35.0
65,IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,29.99,,,,,,,29.0,,,,,,,30.0,,,,,,26.0,,,,,,,26.0
66,IKAN PARANG (ANTARA 1 HINGGA 3 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,,,,18.9,,,,,,,18.9,,,,,,18.9,,,,,,,18.9
68,IKAN PARI (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,,,33.333333333333336,,,,,,,33.0,,,,,,,33.5,,,,,,33.0,,,,,,,33.666666666666664
