item_code,item,unit,item_group,item_category,2023-04-01,2023-04-02,2023-04-03,2023-04-04,2023-04-05,2023-04-06,2023-04-07,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-25,2023-04-27,2023-04-28,2023-04-29,2023-04-30
65,IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,,25.0,,,,,,,28.0,,,26.494999999999997,,24.99,,,
66,IKAN PARANG (ANTARA 1 HINGGA 3 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,18.9,,,,,,,,,,,,18.9,,,18.9,,18.9,,,
68,IKAN PARI (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,,,31.3,,,,,30.98,,,,,,,31.983333333333334,,,31.983333333333334,,29.983333333333334,,,
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,13.483333333333334,,,,,12.690000000000001,,,,,,,13.231666666666667,,,14.198571428571428,,13.278,,,
70,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,19.93470588235294,18.99,18.99,18.99,18.99,19.96611111111111,,,,,,,20.287647058823527,,,20.549999999999997,,19.935294117647057,,,
71,IKAN SELAYANG/SARDIN  (≥ 13 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,10.99,13.99,12.577037037037037,,,13.99,9.99,12.81037037037037,9.99,,,10.99,11.99,10.99,11.704166666666666,12.0,,11.51074074074074,,11.575000000000001,,,
73,IKAN SENANGIN (ANTARA 2 HINGGA 8 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,28.5,,,,,27.96666666666667,,,,,,,27.96666666666667,,,28.45,,27.96666666666667,,,
78,IKAN TAMBAN BELURU (ANTARA 10 HINGGA 19 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,,,,,,,,,13.0,,,13.0,,13.0,,,
79,IKAN TENGGIRI PAPAN (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,35.0,,,,,35.0,,,,,,,,,,,,,,,
82,IKAN TENGGIRI BATANG (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,37.95,,,,,44.0,,,,,,,44.5,,,45.0,,45.0,,,
83,IKAN TONGKOL/AYA/KAYU HITAM (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,13.375,,13.99,13.99,11.99,13.5352,11.99,11.99,13.99,10.99,11.99,10.99,12.907826086956522,12.495000000000001,10.99,12.902857142857142,,12.922272727272729,,,
88,IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,9.99,9.99,11.649166666666666,9.99,9.99,9.99,9.99,11.83,9.99,9.99,9.99,8.99,8.99,8.99,11.457500000000001,8.99,8.99,11.457500000000001,9.99,11.499166666666667,9.99,9.99,9.99
89,IKAN TILAPIA HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,,,10.5,,,,,10.5,,,,,,,12.0,,,12.0,,12.0,,,
92,CILI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,12.59,12.59,14.275789473684211,12.59,12.59,12.59,12.59,14.182285714285713,12.59,12.59,12.59,12.59,12.59,12.59,14.473235294117648,12.59,12.59,14.5275,,14.557142857142857,,,
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,17.59,17.59,16.88375,17.59,17.59,17.59,18.39,17.05888888888889,18.39,17.99,17.99,17.99,14.99,16.49,16.153714285714287,16.49,16.49,16.48470588235294,16.49,16.395862068965517,16.49,16.49,16.49
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,17.032258064516128,,,,,17.66862068965517,,,,,,,16.473,,,16.296451612903226,,16.327272727272724,,,
95,HALIA BASAH (TUA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,12.69,12.69,10.338604651162791,12.69,12.69,12.69,12.89,10.41,12.89,12.89,12.89,12.89,8.49,8.49,8.90811475409836,8.495000000000001,8.49,8.914117647058823,8.49,8.937217391304348,8.49,8.49,8.49
96,KACANG BENDI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,11.139107142857142,,,,,10.983148148148148,,,,,,,10.836500000000001,,,10.711666666666668,,10.53448275862069,,,
97,KACANG BUNCIS,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,12.172093023255814,,,,,12.337777777777779,,,,,,,12.527234042553191,,,12.812608695652173,10.99,12.697045454545453,9.49,9.49,9.49
98,KACANG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,9.601702127659575,,,,,10.006666666666666,,,,,,,8.063454545454546,,,7.9758000000000004,,7.984565217391305,,,
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,,,2.4549999999999996,,,,,2.452631578947368,,,,,,,2.4549999999999996,,,2.477777777777778,,2.5058823529411764,,,
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,,,10.0,,,,,10.0,,,,,,,7.6,,,7.6,,7.6,,,
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,,,7.9,,,,,7.9,,,,,,,7.9,,,7.9,,7.9,,,
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,4.042571428571429,,,,,4.034864864864865,,,,,,,3.508529411764706,,,3.410263157894737,,3.4425714285714286,,,
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,1.99,1.99,4.5912,1.99,1.99,1.99,1.99,4.664347826086956,1.99,2.29,2.29,2.29,,,4.7312,,,4.615833333333334,2.29,4.5748,2.29,2.29,2.29
108,KUNYIT HIDUP,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,6.69,6.69,9.235076923076923,6.69,6.69,6.69,6.89,9.253650793650793,6.89,6.89,6.89,6.89,6.89,6.89,9.348888888888888,7.445,6.89,9.29967741935484,6.89,9.294920634920636,6.89,6.89,6.89
109,LOBAK MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,2.79,2.79,5.212962962962963,2.79,2.79,2.79,2.79,5.287792207792208,2.79,2.79,2.79,2.79,2.79,2.79,5.22575,4.395,2.79,5.204320987654321,2.79,5.154666666666667,2.79,2.79,3.19
112,TERUNG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,13.59,11.49,10.295925925925927,11.49,11.49,13.59,13.59,10.097551020408163,11.49,11.49,13.59,,,,10.158627450980394,13.59,13.59,9.951875,,9.837291666666667,13.59,13.59,13.59
