item_code,item,unit,item_group,item_category,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14,2023-10-15,2023-10-16,2023-10-17,2023-10-18,2023-10-19,2023-10-20,2023-10-22,2023-10-23,2023-10-24,2023-10-25,2023-10-26,2023-10-27,2023-10-28,2023-10-29,2023-10-30,2023-10-31
1915,IKAN JENAHAK (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,,,,,,,,,,37.0,,,,,,37.0,,,,,,,37.0,
1916,IKAN DEMUDUK/CUPAK/CERMIN (b	$ 3 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,23.666666666666668,,,,,,,26.25,,,,,,,26.0,,,,,,21.6,,,,,,,26.333333333333332,
1920,KERANG (SAIZ SEDERHANA),1kg,BARANGAN SEGAR,BAHAN LAUT,,16.4,,,,,,16.0,16.8,,,,,,,16.75,,,,,,16.285714285714285,,,,,,,16.142857142857142,
1921,IKAN TILAPIA MERAH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,,16.40473684210526,,,,,,16.0,16.14157894736842,,,,,,,16.1845,,,,,,16.330625,,,,,,,16.252352941176472,
1922,SADERI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,6.29,9.42060606060606,6.29,6.29,6.29,6.29,6.29,9.145,9.556666666666667,6.29,6.29,6.29,6.29,6.29,6.29,9.3646875,6.29,6.29,,,,9.69,,,,,,,9.528064516129032,4.49
1923,TERUNG BULAT,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.29,8.25148148148148,9.29,9.29,9.29,9.29,9.29,8.645,8.178214285714287,9.29,9.29,9.29,9.29,9.29,9.29,8.149642857142856,9.29,9.29,9.29,9.29,9.29,8.2278125,9.29,9.29,9.29,9.29,9.29,9.29,8.023793103448275,6.89
1924,SERBUK KUNYIT ALAGAPPAS,230g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),,4.977777777777778,,,,,,5.0,4.977777777777778,,,,,,,4.977777777777778,,,,,,5.025,,,,,,,5.025,
1925,CILI API/PADI MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,39.0,,,,,,,39.0,,,,,,,39.0,,,,,,39.0,,,,,,,35.0,
1926,CILI AKAR HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,11.99,14.221666666666668,10.09,10.09,11.99,11.99,11.99,13.495000000000001,14.123518518518518,11.99,11.99,11.99,11.99,11.99,11.99,14.279298245614035,11.99,11.99,14.19,14.19,14.19,14.56017857142857,14.19,14.19,14.19,14.19,14.19,14.19,14.516,11.59
1927,CILI AKAR MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,15.49,18.98542857142857,15.49,15.49,15.49,15.49,15.49,20.245,18.51638888888889,15.49,15.49,15.49,15.49,15.49,15.49,18.297027027027028,15.49,15.49,16.09,16.09,16.09,18.90878787878788,,16.99,16.09,16.09,16.09,16.09,19.005757575757578,14.49
1928,LIMAU KASTURI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,7.49,9.364313725490197,7.49,7.49,7.49,7.49,7.49,10.245000000000001,9.277142857142858,7.49,7.49,7.49,7.49,7.49,7.49,8.889807692307691,7.49,7.49,,,6.59,9.189807692307692,6.59,6.59,6.59,6.59,6.59,6.59,8.966909090909091,6.59
1930,TELUR AYAM KAMPUNG,10 biji,BARANGAN SEGAR,TELUR,,7.414285714285714,,,,,,,7.414285714285714,,,,,,,7.414285714285714,,,,,,7.3428571428571425,,,,,,,7.2,
1931,BAWANG BESAR IMPORT (PAKISTAN),1kg,BARANGAN KERING,BAWANG,,3.8000000000000003,,,,,,,3.6862500000000002,2.69,2.69,2.69,,,,3.8777777777777778,,,,,,3.8333333333333335,,,,3.09,3.09,3.09,3.7064285714285714,3.09
1934,MINYAK MASAK SEBATIAN CAP ADELA GOLD,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,9.5,,,,,,,9.5,,,,,,,9.5,,,,,,9.5,,,,,,,,
1937,MINYAK MASAK TULEN CAP SAJI,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,6.9,,,,,,,6.9,,,,,,,6.9,,,,,,6.900000000000001,,,,,,,6.9,6.9
1938,MINYAK MASAK TULEN CAP SAJI,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,13.3,13.261746031746032,13.3,13.3,13.3,13.3,13.3,13.3,13.261384615384616,13.3,13.3,13.3,13.3,13.3,13.3,13.260172413793105,13.3,13.3,13.3,13.3,13.3,13.271269841269842,13.3,13.3,13.3,13.3,13.3,13.3,13.26308823529412,13.3
1939,MINYAK MASAK TULEN CAP SAJI,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,30.9,30.537297297297293,30.9,30.9,30.9,30.9,30.9,30.9,30.463333333333328,30.9,30.9,30.9,30.9,30.9,30.9,30.479600000000005,30.9,30.9,30.9,30.9,30.9,30.429166666666667,30.9,30.9,30.9,30.9,30.9,30.9,30.419529411764703,30.9
1940,MINYAK MASAK TULEN CAP ALIF,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,6.900000000000001,,,,,,,6.900000000000001,,,,,,,6.900000000000001,,,,,,6.900000000000001,,,,,,,6.900000000000001,
1941,MINYAK MASAK TULEN CAP ALIF,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,13.3,13.293333333333333,13.3,13.3,13.3,13.3,13.3,13.3,13.286666666666667,13.3,13.3,13.3,13.3,13.3,13.3,13.288235294117648,13.3,13.3,13.3,13.3,13.3,13.287500000000001,13.3,13.3,13.3,13.3,13.3,13.3,13.292857142857143,13.3
1942,MINYAK MASAK TULEN CAP ALIF,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,30.9,30.511153846153846,30.9,30.9,30.9,30.9,30.9,30.9,30.362222222222222,30.9,30.9,30.9,30.9,30.9,30.9,30.326153846153847,30.9,30.9,30.9,30.9,30.9,30.44238095238095,30.9,30.9,30.9,,,,30.351904761904763,
1943,KACANG MERAH (IMPORT),1kg,BARANGAN KERING,KACANG,,12.80204081632653,,,,,,,12.76734693877551,,,,,,,12.771224489795918,,,,,,12.624807692307693,,,,,,,12.593541666666667,
1944,KACANG SOYA (IMPORT),1kg,BARANGAN KERING,KACANG,6.25,6.322727272727273,6.25,6.25,6.25,6.25,6.25,6.25,6.4769696969696975,6.25,6.25,6.25,6.25,6.25,6.25,6.330882352941177,6.25,6.25,6.25,6.25,6.25,6.407272727272727,6.25,6.25,6.25,6.25,6.25,6.25,6.42,6.25
1945,TAUHU (JENIS KERAS),sekeping,BARANGAN SEGAR,TAUHU DAN TEMPE,0.79,0.7026470588235294,0.79,0.79,0.79,0.79,0.79,0.79,0.6997058823529412,0.79,0.79,0.79,0.79,0.79,0.79,0.6908823529411765,0.79,0.79,0.79,0.79,0.79,0.6778125,0.79,0.79,0.79,0.79,0.79,0.79,0.6803225806451613,0.79
1946,TEMPE (BUNGKUSAN PLASTIK),sekeping,BARANGAN SEGAR,TAUHU DAN TEMPE,1.85,1.4273809523809524,1.85,1.85,1.85,1.85,1.85,1.725,1.4154761904761906,1.85,1.85,1.85,1.85,1.85,1.85,1.4280487804878048,1.85,1.85,1.85,1.85,1.85,1.4244186046511629,1.85,1.85,1.85,1.85,1.85,1.85,1.4226190476190477,1.85
1947,SERBUK PENAIK ROYAL (TIN),113g,BARANGAN BERBUNGKUS,ESEN DAN RAGI,,5.963749999999999,6.0,,,,,,5.969512195121951,,,,,,,5.967857142857143,,,,,,5.962820512820513,,,,,,,5.984883720930233,
1948,RAGI BULAT/RAGI TAPAI,1 biji,BARANGAN BERBUNGKUS,ESEN DAN RAGI,,1.55,,,,,,,1.48,,,,,,,1.5333333333333332,,,,,,1.5333333333333332,,,,,,,1.2,
1949,ROTI WHOLEMEAL (PELBAGAI JENAMA),400 g,BARANGAN BERBUNGKUS,ROTI,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,
1950,BUNGA RAYA YIS SEGERA,11g,BARANGAN BERBUNGKUS,ESEN DAN RAGI,,1.2333333333333334,,,,,,,1.3,,,,,,,1.3,,,,,,1.3,,,,,,,1.3,
1951,BERAS SUPER CAP 3A BOY (IMPORT),10 kg,BARANGAN BERBUNGKUS,BERAS,,38.688235294117646,,,,,,,36.080000000000005,,,,,,,31.884615384615383,,,,,,30.96875,,,,,,,30.958823529411763,
1952,KRIMER SEJAT CAP F&N,390g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,,4.124204545454545,,,,,,,4.131264367816092,,,,,,,4.133690476190476,,,,,,4.144197530864197,,,,,,,4.13710843373494,
1953,KRIMER MANIS PEKAT CAP SAJI,500 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,,3.4021176470588235,,,,,,,3.399204545454545,,,,,,,3.396931818181818,,,,,,3.398111111111111,,,,,,,3.3886170212765956,
1954,SUSU TEPUNG SEGERA EVERYDAY,900 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,,29.3745,,,,,,,29.40473684210526,,,,,,,29.432777777777776,,,,,,29.382777777777775,,,,,,,29.36411764705882,
1955,YOGURT MARIGOLD (LOW FAT) (STRAWBERRY),130g,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,,,,,,,,,,2.6965517241379313,,,,,,,,
1956,NAN PRO LANGKAH 1 RUMUSAN BAYI (KOTAK),600 g,SUSU DAN BARANGAN BAYI,SUSU BAYI,,71.3475,,,,,,,71.3475,,,,,,,71.3475,,,,,,71.3475,,,,,,,71.3475,
