item_code,item,unit,item_group,item_category,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17,2024-04-18,2024-04-19,2024-04-20,2024-04-21,2024-04-22,2024-04-23,2024-04-24,2024-04-25,2024-04-27,2024-04-28,2024-04-29,2024-04-30
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,9.208245614035087,8.99,8.99,9.343272727272728,9.25,9.25,9.25,9.25,9.25,9.4,9.4,9.4,9.279200000000001,9.4,9.4,8.59,8.59,8.59,8.59,9.016739130434782,7.99,7.99,7.99,7.99,8.59,8.92423076923077,8.59
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,12.415,,,12.484285714285715,,,,,,,,,12.484285714285715,,,,,,,12.484285714285715,,,,,,12.484285714285715,
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,,,,,,,,,,,,,,,,,23.19,23.19,23.19,23.19,23.19,23.19,23.19,23.19,23.19
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,23.0975,,,23.0975,,,,,,,,,21.43166666666667,,,,,,,22.357999999999997,,,,,,22.18166666666667,
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.999230769230769,,,5.392142857142857,,,,,,,,,5.098666666666667,,,,,,,4.898666666666667,,,,4.29,4.29,4.92375,
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.5928571428571425,7.25,7.25,6.569047619047619,7.25,7.25,7.25,,,7.25,7.25,,6.463333333333334,7.25,7.25,7.25,7.25,7.25,7.25,6.644117647058824,7.25,7.25,7.25,7.25,7.25,6.563888888888889,
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.0,,,6.0,,,,,,,,,6.5,,,,,,,6.25,,,,,,6.0,
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,3.9257142857142857,,,3.9257142857142857,,,,,,,,,4.1579999999999995,,,,,,,4.65,,,,,,4.2,
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,3.623888888888889,2.19,2.19,3.293333333333333,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,3.162777777777778,4.69,4.69,1.99,1.99,1.99,4.69,3.4227777777777777,,,,,,3.401666666666667,
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,12.794,12.59,12.59,12.045714285714284,12.59,12.59,12.59,12.59,12.59,,12.59,12.59,11.078333333333333,12.59,12.59,12.59,,12.59,12.59,12.416,12.59,12.59,12.59,12.59,12.59,11.24625,12.59
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.739999999999999,8.19,8.19,5.6866666666666665,8.19,8.19,8.19,8.19,8.19,8.19,8.19,,5.248333333333334,,,8.19,8.19,8.19,8.19,5.585,8.19,8.19,8.19,,5.59,5.38375,
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,4.445416666666667,4.69,4.69,4.51,4.69,4.69,4.69,4.69,4.69,4.69,4.69,,4.561875,4.69,4.69,4.69,4.69,4.69,4.69,4.5180952380952375,4.69,4.69,4.49,4.49,4.69,4.617619047619048,4.69
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,19.766666666666666,,,19.766666666666666,,,,,,,,,19.766666666666666,,,,,,,20.322499999999998,,,,,,20.322499999999998,
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,7.2170000000000005,5.69,5.69,7.117,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,6.96,5.69,5.69,5.69,,,5.69,7.1890909090909085,5.69,5.69,5.69,5.69,5.69,7.132222222222222,
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,,,,,,,,,,,,,,6.0,,,,,,6.0,
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,26.374166666666667,,,25.5352,,,,,,,,,25.28842105263158,,,,,,,25.832222222222224,,,,,,24.737142857142857,
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,11.850967741935484,13.89,13.89,11.65054054054054,13.89,13.89,13.89,13.89,13.89,13.89,13.89,13.89,11.393809523809525,13.89,13.89,13.89,13.89,13.89,13.89,10.896363636363636,13.89,13.89,13.89,13.89,13.89,11.351600000000001,13.89
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,11.398,,,10.731666666666667,,,,,,,,,9.33,,,,,,,12.495000000000001,,,,,,9.996666666666668,
51,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,33.5,,,33.5,,,,,,,,,32.0,,,,,,,33.5,,,,,,33.5,
52,KEPALA IKAN JENAHAK,1kg,BARANGAN SEGAR,BAHAN LAUT,28.0,,,28.0,,,,,,,,,,,,,,,,30.0,,,,,,30.0,
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,14.212727272727273,,,14.326818181818181,,,,,,,,,14.635454545454547,,,,,,,15.371818181818183,,,,,,13.403478260869564,
60,IKAN MERAH (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,38.36125,,,38.87375,,,,,,,,,36.0,,,,,,,38.165,,,,,,38.57,
64,KEPALA IKAN MERAH,1kg,BARANGAN SEGAR,BAHAN LAUT,36.4975,,,36.4975,,,,,,,,,35.0,,,,,,,34.99666666666667,,,,,,34.99666666666667,
65,IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,26.0,,,,,,,,,,,,30.0,,,,,,,33.0,,,,,,33.0,
68,IKAN PARI (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,30.78,,,28.150000000000002,,,,,,,,,29.333333333333332,,,,,,,32.5,,,,,,30.633333333333336,
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,12.342857142857143,,,11.92375,,,,,,,,,15.0,,,,,,,12.983333333333334,,,,,,12.67,
70,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,15.542380952380952,14.69,,15.0316,,,,,14.69,14.69,14.69,14.69,15.5535,14.69,14.69,14.69,14.69,14.69,14.69,15.540833333333333,14.69,14.69,14.69,14.69,14.69,15.3925,14.69
73,IKAN SENANGIN (ANTARA 2 HINGGA 8 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,27.45,,,25.16333333333333,,,,,,,,,24.96666666666667,,,,,,,26.3,,,,,,25.666666666666668,
78,IKAN TAMBAN BELURU (ANTARA 10 HINGGA 19 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,,,,,,,,,,,,,,11.0,,,,,,10.5,
79,IKAN TENGGIRI PAPAN (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,,,,,,,,,,,,,,26.9,,,,,,26.9,
82,IKAN TENGGIRI BATANG (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,40.0,,,39.5,,,,,,,,,40.0,,,,,,,39.0,,,,,,38.333333333333336,
88,IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,11.499166666666667,9.99,9.99,11.570714285714287,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,11.58909090909091,9.99,9.99,9.99,9.99,9.99,9.99,11.613846153846156,9.99,9.99,9.99,9.99,9.99,11.623333333333335,9.99
89,IKAN TILAPIA HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,11.5,,,11.5,,,,,,,,,,,,,,,,7.0,,,,,,7.0,
92,CILI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,14.024285714285716,14.49,14.49,14.04469387755102,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,13.766666666666666,,14.99,14.99,14.99,14.99,14.99,14.352264150943398,14.99,14.99,14.99,14.99,14.99,14.35061224489796,14.99
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,16.155,,,15.866666666666665,,,,,,,,,15.150697674418605,9.49,9.49,9.49,9.49,15.99,11.89,15.770000000000001,9.19,9.19,,,,16.28409090909091,
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,17.136052631578945,18.99,18.99,17.055384615384614,9.49,9.49,9.49,9.49,9.49,,,,15.551142857142857,,,,,,,15.996206896551724,10.9,,,,12.9,15.692413793103448,
95,HALIA BASAH (TUA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,12.337328767123287,10.49,10.49,12.139930555555557,10.49,10.49,10.49,12.163333333333334,10.49,10.49,10.49,10.49,10.494251968503937,10.49,10.49,10.49,10.49,10.49,10.49,11.47110294117647,10.49,10.49,10.49,10.49,10.49,11.69463768115942,10.49
96,KACANG BENDI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.947142857142856,14.49,14.49,10.516119402985074,14.49,14.49,14.49,14.49,14.49,,,,10.628727272727273,,,,14.49,14.49,14.49,10.683134328358209,,,,,,10.81242857142857,14.49
97,KACANG BUNCIS,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,11.64877551020408,,,11.580943396226415,,,,,,,,,11.849583333333333,,,,,,,12.554363636363636,,,,,,12.933148148148147,
98,KACANG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.24561403508772,,,9.559473684210525,,,,,,,,,7.99,,,,,,,9.846444444444446,,,,,,10.245098039215685,
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,2.456,,,2.444,,,,,,,,,2.448,,,,,,,2.4642857142857144,,,,,,2.428,
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,8.333333333333334,,,8.333333333333334,,,,,,,,,7.6,,,,,,,10.0,,,,,,10.0,
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,8.0,,,8.25,,,,,,,,,7.333333333333333,,,,,,,8.0,,,,,,8.15,
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.819166666666667,,,3.781315789473684,,,,,,,,,3.354318181818182,,,,,,,3.75475,3.5,,,,,3.749761904761905,
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.764137931034482,2.69,2.69,4.622,2.69,2.69,2.69,2.69,2.69,2.69,2.69,2.69,4.0945833333333335,2.69,2.69,2.69,2.69,2.69,2.69,4.524838709677419,2.69,2.69,2.69,2.69,2.69,4.4925,2.69
108,KUNYIT HIDUP,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.57225,7.8,7.8,9.612564102564102,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,9.785833333333333,7.8,7.8,7.8,7.8,7.8,7.8,9.832739726027397,7.8,7.8,7.8,7.8,7.8,9.833947368421052,7.8
109,LOBAK MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.056966292134831,4.1,4.1,5.004302325581396,,,4.1,4.1,4.1,4.1,4.1,4.1,5.022926829268292,4.1,4.1,4.1,4.1,4.1,4.1,5.018977272727273,4.1,4.1,,,4.1,5.028941176470589,4.1
112,TERUNG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.288913043478262,17.49,17.49,10.367333333333333,17.49,17.49,17.49,17.49,,17.49,17.49,17.49,10.433863636363638,17.49,17.49,17.49,17.49,17.49,17.49,10.252549019607843,17.49,17.49,17.49,17.49,17.49,9.97530612244898,17.49
113,TIMUN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.222282608695652,,4.49,4.199456521739131,3.49,3.49,3.49,3.49,3.49,,,,3.5518181818181818,,,3.49,3.49,,,4.241860465116279,,5.99,5.99,5.99,5.99,4.8419101123595505,5.99
114,TOMATO,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,6.028021978021978,3.99,3.99,5.828390804597701,,,,,,,,,5.771309523809523,,,,,,,5.694269662921348,,,,,,5.563522727272727,
118,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,4.554545454545455,,,4.5600000000000005,,,,,,,,,4.554545454545455,,,,,,,4.546153846153846,,,,,,4.546153846153846,
119,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR,4.416666666666667,,,4.412903225806452,,,,,,,,,4.425,,,,,,,4.416666666666667,,,,,,4.416666666666667,
120,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,4.1,,,4.1,,,,,,,,,4.1,,,,,,,4.1,,,,,,4.0894736842105255,
124,TELUR PUYUH,15 Biji,BARANGAN SEGAR,TELUR,4.1838461538461535,4.4,4.4,4.1523076923076925,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,4.134545454545454,3.99,3.99,3.99,3.99,3.99,3.99,4.199,3.99,3.99,3.99,3.99,3.99,4.089090909090909,
125,TELUR ITIK,10 biji,BARANGAN SEGAR,TELUR,10.0,,,,,,,,,,,,,,,,,,,13.0,,,,,,13.0,
129,BAWANG BESAR KUNING/HOLLAND,1kg,BARANGAN KERING,BAWANG,5.961442786069652,5.39,5.39,5.97482233502538,4.89,4.89,4.89,6.963333333333334,4.89,4.89,4.89,4.89,5.251828571428572,4.89,4.89,4.89,4.89,4.89,4.89,5.746576086956522,,4.89,4.89,4.89,4.89,5.821947368421053,4.89
131,BAWANG KECIL MERAH ROSE IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,9.920925925925927,,,9.919528301886793,,,,,,,,8.19,9.849897959183675,8.19,8.19,8.19,8.19,8.19,8.19,9.995865384615383,8.19,8.19,8.19,8.19,8.19,10.01070707070707,8.19
132,BAWANG KECIL MERAH IMPORT (THAILAND),1kg,BARANGAN KERING,BAWANG,12.617647058823529,,,12.552631578947368,,,,,,,,,12.78,,,,,,,12.973684210526315,,,,,,12.705263157894738,
148,IKAN BILIS GRED B (KOPEK),1kg,BARANGAN KERING,HASIL LAUT KERING,29.052812499999998,29.9,29.9,29.15774193548387,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,28.92758620689655,29.9,29.9,29.9,29.9,29.9,29.9,28.58888888888889,29.9,29.9,29.9,29.9,29.9,28.49607142857143,29.9
152,KACANG HIJAU (IMPORT),1kg,BARANGAN KERING,KACANG,7.99051094890511,,,7.96474820143885,,,,8.0,,,,,7.961940298507463,,7.9,7.9,7.9,7.9,7.9,7.981159420289856,7.9,7.9,7.9,7.9,7.9,7.9837209302325585,7.9
154,SERBUK KUNYIT (TIDAK BERBUNGKUS),100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),1.8,,,1.8,,,,,,,,,1.8,,,,,,,1.6975,,,,,,1.6975,
155,SERBUK CILI  (TIDAK BERBUNGKUS),100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),3.5,,,3.5,,,,,,,,,3.5,,,,,,,3.09,,,,,,3.09,
160,UBI KENTANG RUSSET,1kg,BARANGAN KERING,UBI KENTANG,12.0,,,12.0,,,,,,,,,12.0,,,,,,,12.0,,,,,,12.0,
180,TEH BOH (UNCANG),100 beg,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,,,,,,,,,,,14.376779661016949,,,,,,,
190,SARDIN CAP AYAM (SOS TOMATO),155 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,5.081161616161617,,,5.09025,,,,5.0,,,,,5.08319587628866,,,,,,,5.0981250000000005,,4.9,,,,5.0994329896907225,
