item_code,item,unit,item_group,item_category,2024-08-01,2024-08-02,2024-08-03,2024-08-04,2024-08-05,2024-08-06,2024-08-08,2024-08-09,2024-08-10,2024-08-11,2024-08-12,2024-08-13,2024-08-14,2024-08-15,2024-08-16,2024-08-17,2024-08-18,2024-08-19,2024-08-20,2024-08-21,2024-08-22,2024-08-27,2024-08-28,2024-08-29,2024-08-30
1821,TELUR MASIN,4 Biji,BARANGAN SEGAR,TELUR,,,,,5.917857142857144,,,,,,5.922033898305084,,,,,,,5.928793103448276,,,,,,,
1822,BERAS SUPER SPECIAL TEMPATAN SABAH RICE VAGAS TOKOU,10 kg,BARANGAN BERBUNGKUS,BERAS,,,,,28.98,,,,,,28.975,,,,,,,29.3,,,,,,,
1823,BERAS TQR SABAH CAP TKC 5%,10 kg,BARANGAN BERBUNGKUS,BERAS,,,,,35.35,,,,,,35.233333333333334,,,,,,,35.4,,,,,,,
1824,BERAS SUPER HUMA CAP KELISA EMAS (SABAH),10 kg,BARANGAN BERBUNGKUS,BERAS,,,,,34.25,,,,,,34.333333333333336,,,,,,,34.375,,,,,,,
1825,BERAS SUPER CAP ANGGUR SAZARICE 5% (IMPORT THAILAND),10 kg,BARANGAN BERBUNGKUS,BERAS,,,,,28.96,,,,,,28.935000000000002,,,,,,,28.935000000000002,,,,,,,
1826,BERAS SUPER CAP RODA SAZARICE 5% (IMPORT THAILAND),10 kg,BARANGAN BERBUNGKUS,BERAS,,,,,28.5,,,,,,28.5,,,,,,,28.525,,,,,,,
1827,"TEPUNG GANDUM NGP (BERBUNGKUS, CAP MUHIBAH)",1kg,BARANGAN BERBUNGKUS,TEPUNG,,,,,3.742142857142857,,,,,,3.7453846153846153,,,,,,,3.726,,,,,,,
1828,KICAP SOYA PEKAT MANIS CAP AYAM,330 ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,,,,,3.477222222222222,,,,,,3.4817647058823527,,,,,,,3.4827777777777778,,,,,,,
1829,BUTTERLITE (LEPA SUSU ISTIMEWA),250 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),,,,,7.62,,,,,,7.62,,,,,,,7.683333333333334,,,,,,,
1833,BERAS PREMIUM CAP UNCLE TAN,10 kg,BARANGAN BERBUNGKUS,BERAS,,,,,30.95,,,,,,30.95,,,,,,,30.95,,,,,,,
1837,KICAP TONG NAM (DARK SOY SAUCE),330 ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,,,,,3.6555555555555554,,,,,,3.6578947368421053,,,,,,,3.6555555555555554,,,,,,,
1838,SERBUK KARI IKAN ALAGAPPAS,200 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),,,,,5.700000000000001,,,,,,5.700000000000001,,,,,,,5.871428571428573,,,,,,,
1839,SERBUK KARI DAGING ALAGAPPAS,200 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),,,,,5.888888888888889,,,,,,5.98888888888889,,,,,,,5.98888888888889,,,,,,,
1849,TEPUNG NAIK SENDIRI CAP 'BLUE KEY',1kg,BARANGAN BERBUNGKUS,TEPUNG,,,,,5.394038461538462,,,,,,5.383523809523809,,,,,,,5.3888118811881185,,,5.2,,,,
1870,"TEPUNG GANDUM NGP (BERBUNGKUS, CAP  FAIZA)",1kg,BARANGAN BERBUNGKUS,TEPUNG,,,,,3.647297297297297,,,,,,3.6355263157894737,,,,,,,3.638157894736842,,,,,,,
1871,KRIMER SEJAT CAIR SAJI,390g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,,,,,3.494705882352941,,,,,,3.493148148148148,,,,,,,3.4952380952380953,,,,,,,
1872,MAYONIS SEBENAR LADY'S CHOICE,220ml,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),,,,,8.142916666666668,,,,,,8.152327586206896,,,,,,,8.154214876033057,,,8.0,,,,
1873,KRIMER MANIS CAP TEAPOT,500 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,,,,,3.894444444444444,,,,,,3.894444444444444,,,,,,,3.90625,,,,,,,
1881,SERBUK CABAI ALAGAPPAS,230g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),,,,,7.733333333333333,,,,,,7.733333333333333,,,,,,,7.733333333333333,,,,,,,
1882,TUNA CAP AYAM (TUNA MAYONNAISE),160 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,,,,,7.599186991869919,,,,,,7.5959677419354845,,,,,,,7.59296875,,,7.533333333333334,,,,
1899,CILI KERING KERINTING (BERTANGKAI/TIDAK BERTANGKAI),1kg,BARANGAN KERING,CILI KERING,,16.89,16.89,16.89,25.421046511627907,16.89,16.89,16.89,16.89,16.89,25.452333333333335,16.89,16.89,16.89,16.89,20.99,20.99,25.285978260869566,20.99,20.99,26.2475,20.99,20.99,20.99,20.99
1900,CILI KERING LEPER (BERTANGKAI/TIDAK BERTANGKAI),1kg,BARANGAN KERING,CILI KERING,22.95,18.99,18.99,18.99,24.901891891891893,18.99,18.99,18.99,18.99,18.99,25.135555555555555,18.99,18.99,18.99,18.99,18.99,18.99,24.93764705882353,18.99,18.99,18.99,18.99,18.99,18.99,18.99
1904,DUMEX DUGRO 3 (1-3 TAHUN) PERISA ASLI (850G),850g,SUSU DAN BARANGAN BAYI,SUSU BAYI,,,,,28.785806451612903,,,,,,28.580000000000002,,,,,,,28.753919999999997,,,,,,,
1907,DAGING KAMBING BEBIRI IMPORT BERTULANG (LAMB) (AUSTRALIA - KOTAK) (1KG),1kg,BARANGAN SEGAR,DAGING,,,,,37.9,,,,,,37.9,,,,,,,37.9,,,,,,,
1914,DAGING KERBAU IMPORT (INDIA) (BLOCK),1kg,BARANGAN SEGAR,DAGING,,,,,23.071428571428573,,,,,,23.043333333333333,,,,,,,23.04875,,,,,,,
1915,IKAN JENAHAK (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,34.96666666666667,,,,,,34.95,,,,,,,36.300000000000004,,,,,,,
1916,IKAN DEMUDUK/CUPAK/CERMIN (b	$ 3 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,31.0,,,,,,31.0,,,,,,,31.666666666666668,,,,,,,
1919,UDANG PUTIH BESAR (ANTARA 20 HINGGA 30 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,,,,,36.0,,,,,,,,,,,,,,
1920,KERANG (SAIZ SEDERHANA),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,15.1,,,,,,15.3,,,,,,,14.4,,,,,,,
1921,IKAN TILAPIA MERAH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,,,,,16.185454545454544,,,,,,16.349545454545453,,,,,,,15.990833333333333,,,,,,,
1922,SADERI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,6.29,6.29,6.29,3.99,10.289285714285715,3.99,3.99,3.99,3.99,3.99,10.052444444444445,3.99,3.99,3.99,4.79,4.49,4.49,9.857916666666666,4.49,4.49,8.895,4.79,4.79,4.79,8.09
1923,TERUNG BULAT,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.49,10.49,10.49,5.99,8.402222222222223,5.99,5.99,5.99,5.99,5.99,8.299444444444443,5.99,5.99,6.29,6.29,5.29,5.29,8.446388888888889,5.29,5.29,8.395,6.29,5.29,5.29,5.29
1924,SERBUK KUNYIT ALAGAPPAS,230g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),,,,,5.01,,,,,,5.01,,,,,,,5.01,,,,,,,
1925,CILI API/PADI MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,,,43.0,,,,,,43.0,,,,,,,,,,,,,,
1926,CILI AKAR HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,16.29,,,,15.267808219178082,,11.99,11.99,11.99,11.99,15.186708860759493,11.99,11.99,14.39,14.39,12.99,12.99,15.260124999999999,12.99,12.99,17.195,12.9,10.99,10.99,10.99
1927,CILI AKAR MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,,14.19,19.810392156862743,16.89,17.99,17.99,17.99,17.99,19.873529411764704,17.99,17.99,19.39,19.39,16.99,16.99,19.2232,16.99,14.69,14.69,14.69,,,
