item_code,item,unit,item_group,item_category,2024-10-01,2024-10-02,2024-10-03,2024-10-04,2024-10-05,2024-10-06,2024-10-07,2024-10-08,2024-10-09,2024-10-10,2024-10-11,2024-10-12,2024-10-13,2024-10-14,2024-10-15,2024-10-16,2024-10-17,2024-10-18,2024-10-19,2024-10-20,2024-10-21,2024-10-22,2024-10-23,2024-10-24,2024-10-25,2024-10-26,2024-10-27,2024-10-28,2024-10-29,2024-10-30
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,9.39,9.39,8.89,8.89,8.89,8.89,9.273442622950821,8.89,8.89,9.39,9.39,9.39,9.29,9.508214285714287,9.39,9.39,9.4,9.39,9.39,9.39,9.496428571428572,9.19,9.19,9.19,9.09,9.09,9.09,9.54293103448276,9.39,9.39
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,,,,,,,12.339,,,,,,,12.36,,,,,,,12.555555555555555,,,,,,,12.625,,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,,,,,,,24.331666666666667,,,,,,,24.498333333333335,,,,,,,24.333333333333332,,,,,,,23.85571428571429,,
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,5.75,,,,,,,5.3999999999999995,,,,,,,5.914166666666667,5.99,5.99,,6.49,6.49,6.49,5.664666666666666,6.49,6.49
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,6.336666666666667,,,6.99,6.99,6.99,6.99,6.3567857142857145,6.99,6.99,6.99,6.99,6.99,5.49,6.356923076923077,5.49,5.49,,,,5.49,6.269130434782609,5.49,5.49
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,6.166666666666667,,,,,,,6.2,,,,,,,6.165,6.49,6.49,,,,,6.125,,
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,3.8225,,,,,,,3.6300000000000003,,,,,,,3.7359999999999998,,,,,,,3.7359999999999998,,
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,3.19,3.19,3.19,3.19,3.19,3.19,4.017058823529412,3.19,3.19,3.19,3.19,3.19,3.19,3.998947368421053,3.19,3.19,3.19,3.19,3.19,3.19,3.9539999999999997,2.99,2.99,2.99,2.99,2.99,2.99,3.887777777777778,2.99,2.99
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,9.39,9.39,9.39,9.39,9.39,9.851666666666667,9.39,9.39,9.39,9.39,9.39,9.39,10.0175,,,7.89,7.89,7.89,9.49,10.193333333333335,,,9.49,9.49,,9.49,10.995714285714286,9.49,
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,8.19,8.19,8.19,8.19,8.19,8.19,6.518000000000001,8.19,8.19,8.19,8.19,8.19,8.19,6.518000000000001,8.19,,,,,8.19,6.511428571428572,8.19,,8.19,8.19,5.49,5.49,5.998,5.49,5.49
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,4.7,4.7,4.7,3.99,3.99,3.99,4.665666666666667,4.7,4.7,4.7,4.7,4.7,4.99,4.588571428571429,,,3.29,3.29,3.29,,4.598461538461539,4.99,4.99,4.99,4.99,4.99,,4.560384615384615,4.99,
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,18.53625,,,,,,,16.514166666666664,,,,,,,16.35875,,,,,,,16.735,,
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,2.8,,,,,,,2.8,,,,,,,2.8,,,,,,,2.8,,
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,7.098571428571428,,,5.99,5.99,5.99,5.99,7.32,,,,,,,7.2375,,,,,,,7.145384615384615,,4.89
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,,,,,,,,,,,,,,,4.99,,,,4.49,4.49,,,,
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,26.455185185185183,,,,,,,25.94,,,,,,,25.733478260869564,,,,,,,26.068076923076923,,
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,12.99,12.99,12.99,12.99,12.99,12.99,11.148947368421053,,,,,,,11.126969696969697,,,,,,,10.659999999999998,,,,,,,11.238947368421051,11.49,11.49
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,10.576,,,,,,,11.282857142857143,,,,,,,11.942222222222222,,,,,,,12.444444444444445,,
51,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,32.0,,,,,,,30.725,,,,,,,29.4725,,,,,,,32.0,,
52,KEPALA IKAN JENAHAK,1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,28.0,,,,,,,27.96666666666667,,,,,,,27.45,,,,,,,24.9,,
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,13.20409090909091,,,,,,,14.043703703703704,,,,,,,13.213999999999999,,,,,,,13.738999999999999,,
60,IKAN MERAH (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,35.65,,,,,,,37.82416666666666,,,,,,,37.899166666666666,,,,,,,37.1575,,
64,KEPALA IKAN MERAH,1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,37.666666666666664,,,,,,,38.178,,,,,,,35.7225,,,,,,,35.96333333333333,,
65,IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,17.0,,,,,,,20.0,,,,,,,18.0,,,,,,,20.0,,
