item_code,item,unit,item_group,item_category,2022-05-11,2022-05-12
1860,"TEH ""O"" LIMAU AIS",gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.241747572815534,
1861,TEH HALIA AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.4899999999999998,
1862,"NESCAFE ""O"" AIS",gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.546774193548387,2.0
1863,NESLO AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,3.088235294117647,2.5
1864,HORLICKS AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.95,
1865,MILO AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.7125,2.0
1866,"MILO ""O"" AIS",gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.581889763779528,2.0
1867,SIRAP AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,1.8296296296296295,
1868,SIRAP LIMAU AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.0478260869565217,
1869,SIRAP BANDUNG AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.2399999999999998,
