item_code,item,unit,item_group,item_category,2022-03-02,2022-03-03,2022-03-05
1796,CARROT SUSU,segelas,MAKANAN SIAP MASAK,MINUMAN,3.571794871794872,,
1814,LIMAU PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.8261538461538462,1.3,
1859,"TEH ""O"" AIS",gelas besar,MAKANAN SIAP MASAK,MINUMAN,1.9419117647058826,1.65,1.4
1860,"TEH ""O"" LIMAU AIS",gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.2423076923076923,1.8,
1861,TEH HALIA AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.525,,
1862,"NESCAFE ""O"" AIS",gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.544,2.2,2.3
1863,NESLO AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,3.178651685393258,2.5,
1864,HORLICKS AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.9085714285714284,2.2,
1865,MILO AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.7079136690647485,2.35,2.5
1866,"MILO ""O"" AIS",gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.588976377952756,2.2,2.3
1867,SIRAP AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,1.8840000000000001,,
1868,SIRAP LIMAU AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.080952380952381,,
1869,SIRAP BANDUNG AIS,gelas besar,MAKANAN SIAP MASAK,MINUMAN,2.3111111111111113,,
