item_code,item,unit,item_group,item_category,2024-05-08,2024-05-15,2024-05-29
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,10.0,11.0,8.0
3,AYAM HIDUP,1kg,BARANGAN SEGAR,AYAM,1.0,1.0,0.0
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,3.0,3.0,3.0
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,1.0,1.0,1.0
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,2.0,4.0,3.0
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,6.0,7.0,7.0
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,6.0,8.0,6.0
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,4.0,4.0,3.0
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,3.0,4.0,4.0
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,3.0,4.0,3.0
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,8.0,7.0,4.0
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.0,5.0,3.0
114,TOMATO,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.0,11.0,10.0
118,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,4.0,4.0,2.0
119,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR,3.0,3.0,2.0
120,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,2.0,1.0,1.0
