item_code,item,unit,item_group,item_category,2022-09-01,2022-09-03,2022-09-05,2022-09-06,2022-09-12,2022-09-14,2022-09-19,2022-09-20,2022-09-25,2022-09-26
1629,NESTLE CERELAC BERAS MERAH & SUSU - TIN,350 g,SUSU DAN BARANGAN BAYI,MAKANAN BAYI,,,12.669196428571428,12.5,12.669369369369369,,12.662727272727274,,,12.649137931034483
1630,BERUS GIGI COLGATE (TWISTER - SOFT),1 batang,PRODUK KEBERSIHAN,PENJAGAAN DIRI,,,,,,,,,,4.580851063829788
1635,NESTLE COFFEE-MATE,450 g,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,8.17506329113924
1636,MILO (PAKET),400 g,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,9.004807692307692
1637,MILO (PAKET),1kg,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,20.278009950248755
1638,MILO 3 IN 1 (PAKET) - ORIGINAL,30x33g,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,24.308666666666667
1645,SERBUK KOPI CAP KAPAL API (KASAR) (BERBUNGKUS),180 g,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,4.619047619047619
1646,SERBUK KOPI HANG TUAH ROBUSTA,200 g,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,4.9375
1647,TEH LIPTON (SERBUK),400 g,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,11.915254237288135
1650,TEH LIPTON (UNCANG),100 beg,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,15.369393939393941
1651,YEO'S SOYA (KOTAK),250 ml,MINUMAN,TERSEDIA MINUM,,,,,,,,,,1.1240506329113924
1804,KEPAK AYAM (CHICKEN WING) (1KG),1kg,BARANGAN SEGAR,AYAM,,,14.696363636363637,,14.699705882352943,,14.793714285714286,,,14.693333333333333
1818,KACANG BOTOL,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,16.98421052631579,,16.10625,,15.983333333333333,,,16.11875
1819,LENGKUAS,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,8.757462686567164,,8.73,,8.657575757575756,,,8.659090909090908
1820,TELUR MASIN,1 biji,BARANGAN SEGAR,TELUR,,,1.3855670103092783,,1.3907216494845362,,1.3948453608247424,,,1.3907216494845362
1821,TELUR MASIN,4 Biji,BARANGAN SEGAR,TELUR,,,5.651851851851852,,5.712,,5.7139999999999995,,,5.699999999999999
1822,BERAS SUPER SPECIAL TEMPATAN SABAH RICE VAGAS TOKOU,10 kg,BARANGAN BERBUNGKUS,BERAS,,,27.4,,27.583333333333332,,27.583333333333332,,,27.583333333333332
1823,BERAS TQR SABAH CAP TKC 5%,10 kg,BARANGAN BERBUNGKUS,BERAS,,,31.5625,,31.45,,31.444444444444443,,,31.375
1824,BERAS SUPER HUMA CAP KELISA EMAS (SABAH),10 kg,BARANGAN BERBUNGKUS,BERAS,,,28.625,,28.5,,28.2,,,28.25
1825,BERAS SUPER CAP ANGGUR SAZARICE 5% (IMPORT THAILAND),10 kg,BARANGAN BERBUNGKUS,BERAS,,,27.294117647058822,,27.31578947368421,,27.31578947368421,,,27.31578947368421
1826,BERAS SUPER CAP RODA SAZARICE 5% (IMPORT THAILAND),10 kg,BARANGAN BERBUNGKUS,BERAS,,,26.985000000000003,,26.985714285714288,,26.984210526315792,,,26.985000000000003
1827,"TEPUNG GANDUM NGP (BERBUNGKUS, CAP MUHIBAH)",1kg,BARANGAN BERBUNGKUS,TEPUNG,,,3.725,,3.71875,,3.738888888888889,,,3.738888888888889
1828,KICAP SOYA PEKAT MANIS CAP AYAM,330 ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,,,3.186,,3.1993333333333336,,3.259333333333333,,,3.280625
1829,BUTTERLITE (LEPA SUSU ISTIMEWA),250 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),,,7.6,,7.6,,7.55,,,7.55
1833,BERAS PREMIUM CAP UNCLE TAN,10 kg,BARANGAN BERBUNGKUS,BERAS,,,30.884615384615383,,30.884615384615383,,30.910000000000004,,,30.916666666666668
1837,KICAP TONG NAM (DARK SOY SAUCE),330 ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,,,3.1,,3.1333333333333333,,3.1333333333333333,,,3.130769230769231
1838,SERBUK KARI IKAN ALAGAPPAS,200 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),,,4.333333333333333,,4.32,,4.4,,,4.4
1839,SERBUK KARI DAGING ALAGAPPAS,200 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),,,4.4625,,4.4714285714285715,,4.5285714285714285,,,4.5285714285714285
