item_code,item,unit,item_group,item_category,2022-04-01,2022-04-04,2022-04-11,2022-04-18,2022-04-25,2022-04-28,2022-04-29,2022-04-30
929,NESCAFE CLASSIC (PAKET),200 g,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,17.913203125,,,
957,SOS CILI KIMBALL,340 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,3.1966666666666668,3.299933774834437,3.31,3.311898734177215,3.32425,,3.3396153846153847,
992,BERAS CAP JATI (SST5%),10 kg,BARANGAN BERBUNGKUS,BERAS,,26.0,26.0,26.0,26.0,,26.0,
1070,SOS CILI MAGGI,340 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,3.466666666666667,3.6275,3.6316176470588237,3.640909090909091,3.640509259259259,,3.6514423076923075,
1080,SERBUK PENAIK ROYAL (TIN),226g,BARANGAN BERBUNGKUS,ESEN DAN RAGI,,8.2,8.1,8.1,7.9,,7.9,
1081,MACKAREL CAP KING CUP (SOS TOMATO),155 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,,3.85,3.766666666666667,3.766666666666667,3.766666666666667,,3.6500000000000004,
1082,MACKAREL CAP AYAM (SOS TOMATO),155 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,,4.404676258992806,4.405821917808219,4.40354609929078,4.391176470588236,,4.395161290322581,
1084,TEH BOH (SERBUK),500 g,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,11.666601941747574,,12.6,
1086,MINYAK JAGUNG CAP DAISY,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,16.2,16.11046153846154,16.07470588235294,16.01181818181818,15.90112676056338,,15.826710526315788,
1087,MINYAK JAGUNG CAP DAISY,3 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,41.43928571428571,41.93333333333333,41.93333333333333,41.73548387096774,,41.43666666666666,
1088,MINYAK JAGUNG CAP MAZOLA,3 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,38.7,38.7,38.7,41.0,,41.0,
1089,MINYAK JAGUNG CAP VECORN,3 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,39.364285714285714,39.32857142857143,39.20625,39.3125,,39.57857142857143,
1090,MINYAK JAGUNG CAP VECORN,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,14.5,14.804651162790698,14.784782608695652,14.851111111111111,14.817021276595744,,14.981818181818182,
1091,MINYAK MASAK SEBATIAN CAP HELANG,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,9.573809523809524,9.594736842105263,9.615789473684211,9.76,,9.73157894736842,
1092,MINYAK MASAK SEBATIAN CAP NEPTUNE,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,9.100000000000001,9.100000000000001,8.633333333333333,8.633333333333333,,9.100000000000001,
1093,MINYAK MASAK SEBATIAN CAP PISAU,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,9.05,9.426470588235293,9.476470588235294,9.455000000000002,9.576470588235296,,9.5625,
1094,MINYAK MASAK TULEN CAP BURUH,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,6.7,6.7,6.7,6.700000000000001,6.7,,6.700000000000001,
1095,MINYAK MASAK TULEN CAP VESAWIT,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,29.7,29.680392156862744,29.68,29.68,29.679591836734694,,29.676923076923078,
1097,SOS CILI MAGGI,500 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,4.433333333333334,4.865414634146341,4.861067961165048,4.885665024630542,4.899065420560748,,4.910714285714286,
1100,MINYAK MASAK TULEN CAP SERI MURNI,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,6.7,6.7,6.7,6.7,,6.7,
1101,MINYAK MASAK TULEN CAP SERI MURNI,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,12.7,12.7,12.7,12.7,12.7,,12.7,
1105,SUSU ANLENE ACTIFIT 3X COKLAT,600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,20.9,21.1126582278481,21.113698630136987,21.1025974025974,21.121232876712327,,21.108904109589037,
