item_code,item,unit,item_group,item_category,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-10,2022-01-17,2022-01-24,2022-01-31
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,9.0509756097561,9.1,9.055106382978725,,9.05195652173913,9.055581395348836,9.070227272727273,9.063846153846153
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,10.778,,10.565,,10.598333333333334,10.518,10.415000000000001,10.415000000000001
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,42.0,,,42.0,,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,20.75,20.0,20.75,,20.75,21.5,21.5,21.5
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.275,,4.515384615384615,,4.2846153846153845,4.1625,4.18,4.2125
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.968181818181818,,5.004166666666666,,4.9639999999999995,5.134782608695652,5.161538461538461,5.268
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.166666666666667,,4.977777777777778,,5.214285714285714,5.357142857142857,5.6,5.625
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.5,,4.0,,4.0,3.5,3.5,3.5
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.05,,4.37,,4.172727272727273,3.975,3.8200000000000003,3.87
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,12.0,,9.5,,10.7,10.6,9.9,9.933333333333334
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.5,,5.0,,5.666666666666667,4.375,4.75,5.5
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,3.3736842105263154,3.0,3.2950000000000004,,3.304761904761905,3.3055555555555554,3.2526315789473683,3.4
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,16.287777777777777,,15.17090909090909,,15.015,14.123750000000001,15.279,14.686250000000001
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,,2.3,,2.3,2.3,,
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.266666666666667,,5.966666666666666,,6.0375,5.828571428571428,6.1,6.133333333333333
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,8.0,,8.0,,7.666666666666667,8.0,8.0,7.0
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,24.400000000000002,,24.16470588235294,,24.2375,24.375,24.827777777777776,24.349999999999998
