item_code,item,unit,item_group,item_category,2022-05-09,2022-05-11,2022-05-13,2022-05-16,2022-05-20,2022-05-23,2022-05-25,2022-05-27,2022-05-30
83,IKAN TONGKOL/AYA/KAYU HITAM (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,13.22272727272727,,13.492857142857144,13.09,16.0,13.517391304347825,,,13.179166666666667
88,IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,9.125,,9.25,8.79,,9.0,,,9.0
89,IKAN TILAPIA HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,11.166666666666666,,11.25,13.0,,11.25,,,13.0
92,CILI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,14.5,,14.715,14.266666666666666,14.5,14.557142857142859,,18.0,14.487272727272728
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,16.651612903225807,,16.923076923076923,17.847368421052632,17.0,16.985714285714284,,17.5,17.197142857142858
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,16.458333333333332,,18.384615384615383,17.03846153846154,15.0,17.775,,,17.71153846153846
95,HALIA BASAH (TUA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,8.384057971014492,6.0,8.685555555555556,8.442592592592591,7.966666666666666,8.668115942028987,12.0,9.733333333333333,8.631818181818183
96,KACANG BENDI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.66530612244898,9.0,10.490322580645161,10.204761904761906,10.5,10.354901960784314,,7.0,10.633620689655173
97,KACANG BUNCIS,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,13.797058823529412,11.0,14.274074074074074,13.63,15.4,14.403125,,,14.377142857142857
98,KACANG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,7.435897435897436,,8.953703703703704,8.84375,11.25,9.737931034482758,,,10.228205128205127
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,2.4,,2.409090909090909,2.3,2.5,2.376923076923077,,,2.3846153846153846
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,7.6,,7.6,,,7.6,,,7.6
