item_code,item,unit,item_group,item_category,2022-10-03,2022-10-07,2022-10-10,2022-10-11,2022-10-13,2022-10-17,2022-10-19,2022-10-20,2022-10-21,2022-10-22,2022-10-23,2022-10-24,2022-10-26,2022-10-31
919,SUSU TEPUNG PENUH KRIM DUTCHLADY,600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,20.49953488372093,20.3615,20.612399999999997,,,20.54325581395349,,20.564,20.572,,20.670714285714286,20.116666666666664,,20.528095238095236
929,NESCAFE CLASSIC (PAKET),200 g,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,19.521052631578947,19.409433962264153,19.8,18.71225,20.438636363636363,,
957,SOS CILI KIMBALL,340 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,3.4699999999999998,3.4585227272727277,3.4679166666666665,,,3.4688749999999997,,3.472962962962963,3.4477611940298507,3.3,3.4634146341463414,3.5431818181818184,,3.468717948717949
992,BERAS CAP JATI (SST5%),10 kg,BARANGAN BERBUNGKUS,BERAS,26.225,26.0,26.3,,,26.150000000000002,,26.45,26.0,26.0,,,,26.12857142857143
1070,SOS CILI MAGGI,340 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,3.811504854368932,3.824375,3.8150537634408606,,,3.8224757281553394,,3.8080645161290323,3.8505555555555557,3.8499999999999996,3.8278688524590163,3.802195121951219,,3.8288888888888892
1081,MACKAREL CAP KING CUP (SOS TOMATO),155 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,3.6,3.6,,,,3.5,,,3.5,,,,,
1082,MACKAREL CAP AYAM (SOS TOMATO),155 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,4.5668461538461536,4.535277777777777,4.602586206896552,,,4.575116279069768,,4.602941176470588,4.594693877551021,,4.633333333333334,4.364705882352942,,4.577573529411764
1084,TEH BOH (SERBUK),500 g,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,11.812666666666667,11.905434782608696,11.55,11.70952380952381,11.915384615384616,,
1086,MINYAK JAGUNG CAP DAISY,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,16.524444444444445,16.755686274509802,16.212068965517243,16.6,,16.574430379746833,,16.544545454545457,16.7753488372093,16.25,16.086666666666666,16.785714285714285,,16.575384615384614
1087,MINYAK JAGUNG CAP DAISY,3 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,42.63966666666667,42.60791666666667,42.82,,,42.63966666666667,,42.9,42.9445,,,41.975,,42.58535714285714
1088,MINYAK JAGUNG CAP MAZOLA,3 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,46.300000000000004,47.0,44.9,,,46.300000000000004,,,47.0,,44.9,,,46.300000000000004
1089,MINYAK JAGUNG CAP VECORN,3 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,48.290625,49.888461538461534,34.9,,,47.89,,34.9,50.55,,,48.65,,47.736111111111114
1090,MINYAK JAGUNG CAP VECORN,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,17.96923076923077,19.28125,16.313636363636363,,,18.29259259259259,,17.571428571428573,18.904,,15.75,20.8875,,18.22222222222222
1091,MINYAK MASAK SEBATIAN CAP HELANG,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,9.4375,9.613157894736842,8.3,,,9.397826086956522,,,9.41388888888889,9.3,,9.9,,9.292857142857143
1092,MINYAK MASAK SEBATIAN CAP NEPTUNE,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,8.34,8.34,,,,8.440000000000001,,,8.433333333333334,,,,,8.516666666666667
1093,MINYAK MASAK SEBATIAN CAP PISAU,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,9.483333333333333,9.46,9.133333333333333,,,9.25,,,9.564285714285715,8.6,9.35,9.0,,9.284210526315789
1094,MINYAK MASAK TULEN CAP BURUH,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,7.5,7.5,7.099999999999999,,,7.117391304347826,,7.1,7.125,7.1,7.1,7.1,,7.125
1095,MINYAK MASAK TULEN CAP VESAWIT,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,33.445945945945944,33.404761904761905,31.5,,,31.5,,31.5,31.5,31.5,31.5,31.5,,31.5
1097,SOS CILI MAGGI,500 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,5.218960396039604,5.205714285714286,5.227469879518072,,,5.239362745098039,,5.272692307692308,5.224666666666667,5.133333333333334,5.296551724137931,5.240465116279069,,5.255
1100,MINYAK MASAK TULEN CAP SERI MURNI,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,7.5,7.5,7.1,,,7.1,,7.1,7.099999999999999,,7.1,7.1,,7.1
1101,MINYAK MASAK TULEN CAP SERI MURNI,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,14.281447368421054,14.264516129032259,13.5,,,13.5,,13.5,13.5,13.5,13.5,13.5,,13.5
1105,SUSU ANLENE ACTIFIT 3X COKLAT,600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,20.949696969696966,21.053571428571427,20.715925925925923,,,20.91662162162162,,20.075454545454544,20.962903225806453,,21.091176470588234,20.925,,20.814305555555553
1109,TELUR AYAM GRED A,30 biji,BARANGAN SEGAR,TELUR,13.944999999999999,14.241666666666667,13.5,,13.5,13.917647058823531,,,14.145454545454548,13.5,13.5,14.1,,14.291666666666666
1110,TELUR AYAM GRED B,30 biji,BARANGAN SEGAR,TELUR,13.506349206349206,13.782608695652174,12.9,,12.9,13.760465116279072,,12.9,13.595238095238095,,12.9,14.10625,,13.7
1111,TELUR AYAM GRED C,30 biji,BARANGAN SEGAR,TELUR,12.909375,13.323529411764707,12.3,,,12.858620689655172,,12.3,13.300000000000002,12.300000000000002,12.300000000000002,13.5,,13.118181818181819
1114,SOS TIRAM KIMBALL,510 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,6.017909090909091,6.085081967213115,5.899607843137255,,,5.994070796460178,,5.991578947368422,6.0444680851063834,,5.896551724137931,6.183333333333334,,6.021603773584906
1115,KICAP LEMAK MASIN CAP KIPAS UDANG,345ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,5.708673469387755,5.761818181818182,5.604761904761905,,,5.735051546391752,,5.633333333333333,5.772448979591837,5.566666666666666,5.62,6.15,,5.723529411764705
1116,SOS TIRAM NONA,510 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,5.625882352941177,5.712790697674419,5.525,,,5.641764705882353,,5.4818181818181815,5.743055555555555,,5.576470588235294,5.771428571428571,,5.634659090909091
