item_code,item,unit,item_group,item_category,2022-12-05,2022-12-07,2022-12-09,2022-12-12,2022-12-19,2022-12-23,2022-12-26
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,9.394736842105264,,9.4,9.387179487179488,9.386111111111113,9.37857142857143,9.36
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,11.087777777777779,,,11.327142857142858,11.481666666666667,11.541428571428572,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,24.2,,,24.2,24.2,24.9,
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.316666666666666,,,4.211111111111111,4.266666666666667,4.483333333333333,4.5
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.732777777777778,,6.5,5.821111111111112,5.7268181818181825,5.917272727272728,5.911111111111111
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.6,,,5.5,5.4,5.75,
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,3.896666666666667,,,3.85,3.8333333333333335,4.1000000000000005,4.0
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.162727272727273,,,4.277777777777778,4.444444444444445,4.5600000000000005,4.098000000000001
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,12.045,,,13.5,14.25,13.995000000000001,11.55
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.833333333333333,,,4.75,4.75,4.875,4.5
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,3.8684210526315788,,,3.7473684210526317,3.736315789473684,3.7181818181818183,3.629
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,15.559000000000001,,,15.559000000000001,15.235,14.979999999999999,15.233333333333334
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,,,,3.5,3.5,
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.814285714285715,,,6.775,6.642857142857143,6.25,6.995
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,8.25,,,8.25,8.25,,9.0
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,26.576470588235296,,26.0,26.2375,27.05,26.263636363636362,26.7375
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,11.288235294117648,,15.0,11.261470588235294,11.731935483870968,11.453333333333335,11.46
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,11.5,,12.0,12.571428571428571,12.18,11.333333333333334,11.975
51,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,37.0,,38.0,36.0,38.95,38.0,39.9
52,KEPALA IKAN JENAHAK,1kg,BARANGAN SEGAR,BAHAN LAUT,25.0,,,,25.0,25.0,
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,14.733333333333334,,19.0,14.684615384615386,15.341176470588236,16.29,15.580000000000002
60,IKAN MERAH (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,39.3625,,45.0,39.271428571428565,39.8625,36.666666666666664,42.475
64,KEPALA IKAN MERAH,1kg,BARANGAN SEGAR,BAHAN LAUT,29.333333333333332,,,31.5,31.5,25.0,
