item_code,item,unit,item_group,item_category,2022-06-03,2022-06-04,2022-06-05,2022-06-13,2022-06-14,2022-06-20,2022-06-27
83,IKAN TONGKOL/AYA/KAYU HITAM (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,15.041666666666666,,12.783333333333333,13.095833333333333,,12.712,13.032
88,IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,10.0,,10.5,10.355714285714287,,10.75,10.5
89,IKAN TILAPIA HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,,,,10.0,,,12.0
92,CILI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,14.786363636363637,,14.985333333333333,14.866666666666665,,15.215789473684211,15.25609756097561
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,17.47722222222222,,17.442857142857143,17.79047619047619,,18.076315789473682,17.94473684210526
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,18.226666666666667,,17.43846153846154,18.575599999999998,,18.656,18.988
95,HALIA BASAH (TUA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.099873417721518,9.5,8.335714285714285,8.82437037037037,,8.756357142857143,8.719931034482757
96,KACANG BENDI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.39310344827586,,10.86896551724138,10.733898305084745,,10.510344827586207,10.73542372881356
97,KACANG BUNCIS,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,14.984000000000002,,14.75625,14.367500000000001,,13.997727272727273,14.215
98,KACANG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,11.018181818181818,,9.42,9.989583333333334,,10.33181818181818,10.321428571428571
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,2.45,,2.3333333333333335,2.4066666666666667,,2.46,2.46
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,8.5,,,8.0,,8.0,8.0
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,7.125,,11.0,7.9,,7.9,7.9
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.5473684210526315,,4.457142857142857,4.64225,,4.58918918918919,4.469444444444445
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.860769230769231,,5.236363636363636,5.095,,5.182916666666666,5.377391304347826
108,KUNYIT HIDUP,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.384,,8.192499999999999,8.671641791044776,,8.613636363636363,8.642857142857142
109,LOBAK MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.7941666666666665,,5.446052631578947,5.723658536585366,,5.649125,5.67175
112,TERUNG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.51875,,8.676,9.06304347826087,,8.905918367346938,8.955370370370371
