item_code,item,unit,item_group,item_category,2022-07-04,2022-07-05,2022-07-07,2022-07-08,2022-07-11,2022-07-18,2022-07-25,2022-07-26,2022-07-27,2022-07-29
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,9.30625,,9.289130434782608,9.37857142857143,9.299999999999999,9.246279069767443,9.028205128205128,,,9.4
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,11.218,,9.9,11.298,,11.065,11.415000000000001,,,
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,,,,,35.0,,,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,21.05,,,21.05,,19.1,19.1,,,
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.225,,5.5,4.233333333333333,4.9,4.533333333333333,4.198571428571428,,,4.5
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.186875000000001,,5.833333333333333,5.180909090909091,5.0,5.311875000000001,5.420526315789474,,,4.99
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.0,,,5.0,,5.0,5.0,,,
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.0,,3.5,4.25,,3.875,3.925,,,3.5
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,3.6758823529411764,,3.625,3.7875,3.675,3.9376923076923074,3.660555555555556,,,3.5
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,9.495000000000001,,,8.245000000000001,11.0,8.5225,10.225000000000001,,,
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.9225,,,5.0,7.35,6.1816666666666675,5.638,,,4.99
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,3.530625,,4.0,3.7453846153846153,2.733333333333333,3.549375,3.5411764705882356,,,3.995
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,21.925,,,23.119999999999997,,22.72,23.599999999999998,,,
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,2.6,2.6,,,
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.571428571428571,,7.0,6.633333333333333,7.7,6.875,6.722222222222222,,,5.5
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,7.0,,8.0,6.0,,8.99,8.99,,,6.99
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,25.86875,,24.5,26.90833333333333,28.5,26.29,26.133333333333333,,,
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,11.386206896551723,,10.35,11.7,12.475,11.299999999999999,11.23103448275862,,,
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,11.316666666666668,,14.0,11.0,10.9,11.414285714285715,11.483333333333334,,,
51,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,36.300000000000004,,36.0,39.0,33.9,36.45,36.45,,,
52,KEPALA IKAN JENAHAK,1kg,BARANGAN SEGAR,BAHAN LAUT,34.95,,36.0,,33.9,,,,,
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,14.51764705882353,,10.0,15.222222222222221,15.35,16.12727272727273,15.491666666666667,,,17.0
60,IKAN MERAH (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,38.25,,38.0,38.333333333333336,45.0,42.0,37.333333333333336,,,
64,KEPALA IKAN MERAH,1kg,BARANGAN SEGAR,BAHAN LAUT,34.0,,38.0,30.0,,34.5,34.5,,,
65,IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,24.5,,22.333333333333332,,24.0,24.0,24.0,,,
66,IKAN PARANG (ANTARA 1 HINGGA 3 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,16.0,,,16.0,,16.0,16.0,,,
68,IKAN PARI (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,27.666666666666668,,25.0,29.0,,27.18,26.475,,,
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,12.75,,12.0,14.0,,14.225,13.700000000000001,,,
70,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,19.8,,19.2,22.166666666666668,19.95,21.490000000000002,20.45384615384615,,,
71,IKAN SELAYANG/SARDIN  (≥ 13 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,12.912903225806453,,12.0,12.8625,14.45,12.775599999999999,13.011818181818182,,,17.0
73,IKAN SENANGIN (ANTARA 2 HINGGA 8 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,28.333333333333332,,,28.5,,28.5,27.5,,,
78,IKAN TAMBAN BELURU (ANTARA 10 HINGGA 19 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,8.45,,,,6.9,,8.5,,,
79,IKAN TENGGIRI PAPAN (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,27.0,,,,,,
82,IKAN TENGGIRI BATANG (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,43.0,,,43.0,,44.0,44.0,,,
83,IKAN TONGKOL/AYA/KAYU HITAM (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,13.427272727272726,,11.88888888888889,14.98,13.9,13.104285714285714,13.138695652173913,,,15.0
88,IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,11.8,,11.5,12.0,,11.311250000000001,11.436250000000001,,,12.0
89,IKAN TILAPIA HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,14.0,,,14.0,,14.0,14.0,,,
92,CILI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,15.479487179487181,,14.74,15.26,15.772727272727273,15.333333333333334,15.607435897435899,,,19.0
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,17.747105263157895,,17.788235294117644,18.264705882352942,18.080000000000002,18.61176470588235,18.62107142857143,,,22.0
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,19.60909090909091,,17.333333333333332,20.6,19.25,20.437037037037037,20.337931034482757,,,16.3
95,HALIA BASAH (TUA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,8.739931034482758,,8.213636363636363,8.978045977011494,8.078571428571427,8.596458333333334,8.595850340136053,,,7.7475000000000005
96,KACANG BENDI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.787037037037036,,11.504761904761905,9.875,10.95,10.43448275862069,10.020000000000001,,,9.966666666666667
97,KACANG BUNCIS,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,13.976744186046512,,14.533333333333333,13.835714285714285,14.616666666666667,13.55813953488372,13.402380952380952,,,11.966666666666667
98,KACANG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.773076923076925,,9.5875,9.882608695652175,10.38888888888889,9.626875,9.4538,,,10.495000000000001
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,2.52,,,2.57,2.42,2.4857142857142853,2.4857142857142853,,,
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,8.0,,7.0,8.5,,8.5,8.5,,,
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,7.9,,11.0,7.125,,7.9,7.9,,,
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.468285714285715,,4.308,4.6875,3.9,4.587575757575757,4.5121875,,,5.5
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.6312,,4.6875,5.983076923076923,5.725,5.4120833333333325,5.4396,,,3.8
108,KUNYIT HIDUP,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,8.57676923076923,,8.089285714285714,9.299999999999999,8.436363636363636,8.830158730158729,8.876190476190477,,,9.299999999999999
109,LOBAK MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.5640259740259745,,5.3496428571428565,5.906315789473684,5.590909090909091,5.714615384615385,5.59925,,,5.333333333333333
112,TERUNG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,8.92529411764706,,8.0995,9.356,9.15,8.910727272727273,8.908163265306122,,,9.45
113,TIMUN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.233766233766234,,5.183870967741935,5.415555555555556,4.8875,5.31219512195122,5.1658536585365855,,,4.975
114,TOMATO,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,7.244800000000001,,7.14304347826087,7.224651162790698,6.763636363636365,6.769342105263158,6.735333333333333,,,6.166666666666667
118,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,4.62,,4.5,4.684615384615385,4.5,4.614285714285715,4.62,,,
119,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR,4.4,,4.3,4.452173913043478,4.35,4.391111111111111,4.389743589743589,,,
120,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,4.109999999999999,4.1,4.1,4.13125,4.1,4.119230769230769,4.118518518518518,,,
124,TELUR PUYUH,15 Biji,BARANGAN SEGAR,TELUR,3.975,,,4.2555555555555555,3.2,4.15,3.9555555555555557,,,
125,TELUR ITIK,10 biji,BARANGAN SEGAR,TELUR,10.75,,9.0,12.5,9.0,10.75,10.75,,,
