item_code,item,unit,item_group,item_category,2022-01-01,2022-01-02,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-01-31
79,IKAN TENGGIRI PAPAN (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,2.0,0.0,2.0,3.0,1.0,1.0,2.0
82,IKAN TENGGIRI BATANG (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,7.0,0.0,9.0,8.0,8.0,9.0,6.0
83,IKAN TONGKOL/AYA/KAYU HITAM (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,33.0,0.0,27.0,30.0,34.0,29.0,33.0
88,IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,17.0,0.0,15.0,17.0,16.0,16.0,16.0
89,IKAN TILAPIA HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,7.0,0.0,8.0,7.0,6.0,5.0,5.0
92,CILI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,69.0,0.0,67.0,68.0,59.0,63.0,57.0
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,45.0,0.0,48.0,46.0,48.0,44.0,40.0
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,49.0,0.0,49.0,45.0,42.0,45.0,44.0
95,HALIA BASAH (TUA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,132.0,0.0,137.0,142.0,140.0,134.0,123.0
96,KACANG BENDI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,87.0,0.0,87.0,89.0,66.0,81.0,66.0
97,KACANG BUNCIS,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,84.0,0.0,79.0,76.0,59.0,61.0,65.0
98,KACANG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,77.0,0.0,73.0,72.0,56.0,67.0,57.0
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,26.0,0.0,25.0,22.0,19.0,19.0,18.0
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,6.0,0.0,7.0,6.0,6.0,7.0,6.0
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,6.0,0.0,7.0,7.0,6.0,7.0,6.0
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,60.0,0.0,67.0,69.0,62.0,65.0,65.0
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,37.0,0.0,33.0,35.0,38.0,37.0,30.0
108,KUNYIT HIDUP,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,101.0,0.0,105.0,103.0,89.0,92.0,90.0
109,LOBAK MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,104.0,0.0,108.0,105.0,96.0,100.0,88.0
112,TERUNG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,71.0,0.0,72.0,72.0,69.0,73.0,66.0
113,TIMUN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,121.0,0.0,119.0,115.0,109.0,109.0,97.0
114,TOMATO,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,111.0,0.0,112.0,100.0,88.0,95.0,86.0
118,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,38.0,0.0,37.0,36.0,36.0,30.0,19.0
119,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR,70.0,0.0,64.0,59.0,58.0,53.0,39.0
120,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,40.0,0.0,43.0,42.0,38.0,36.0,29.0
124,TELUR PUYUH,15 Biji,BARANGAN SEGAR,TELUR,45.0,1.0,46.0,45.0,38.0,42.0,34.0
125,TELUR ITIK,10 biji,BARANGAN SEGAR,TELUR,5.0,0.0,5.0,5.0,2.0,2.0,1.0
129,BAWANG BESAR KUNING/HOLLAND,1kg,BARANGAN KERING,BAWANG,178.0,0.0,185.0,176.0,172.0,176.0,158.0
131,BAWANG KECIL MERAH ROSE IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,54.0,0.0,54.0,48.0,42.0,42.0,36.0
132,BAWANG KECIL MERAH IMPORT (THAILAND),1kg,BARANGAN KERING,BAWANG,29.0,0.0,33.0,33.0,33.0,35.0,34.0
148,IKAN BILIS GRED B (KOPEK),1kg,BARANGAN KERING,HASIL LAUT KERING,38.0,0.0,40.0,41.0,39.0,36.0,32.0
152,KACANG HIJAU (IMPORT),1kg,BARANGAN KERING,KACANG,159.0,0.0,160.0,154.0,154.0,152.0,137.0
154,SERBUK KUNYIT (TIDAK BERBUNGKUS),100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),1.0,0.0,1.0,1.0,1.0,1.0,1.0
155,SERBUK CILI  (TIDAK BERBUNGKUS),100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),0.0,0.0,0.0,0.0,0.0,0.0,1.0
160,UBI KENTANG RUSSET,1kg,BARANGAN KERING,UBI KENTANG,3.0,0.0,3.0,3.0,3.0,3.0,3.0
171,KORDIAL SUNQUICK (OREN),840 ml,MINUMAN,BAHAN-BAHAN MINUMAN,217.0,0.0,0.0,0.0,0.0,216.0,0.0
180,TEH BOH (UNCANG),100 beg,MINUMAN,BAHAN-BAHAN MINUMAN,112.0,0.0,0.0,0.0,0.0,94.0,0.0
190,SARDIN CAP AYAM (SOS TOMATO),155 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,158.0,0.0,156.0,147.0,146.0,149.0,127.0
191,SARDIN CAP AYAM (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,116.0,0.0,119.0,113.0,122.0,133.0,126.0
192,SARDIN CAP KING CUP (SOS TOMATO),155 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,103.0,0.0,101.0,98.0,102.0,102.0,92.0
193,SARDIN CAP KING CUP (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,127.0,0.0,129.0,132.0,119.0,116.0,105.0
195,MACKAREL CAP AYAM (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,198.0,0.0,198.0,190.0,177.0,182.0,162.0
197,MACKAREL CAP KING CUP (SOS TOMATO),425 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,9.0,0.0,8.0,9.0,11.0,11.0,12.0
199,TUNA CAP TC BOY (SANDWICH DELITE),150 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,10.0,0.0,10.0,8.0,9.0,9.0,8.0
201,JEM STRAWBERI LADY'S CHOICE,400 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),96.0,0.0,100.0,95.0,98.0,93.0,83.0
202,SERI KAYA YEO'S,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),149.0,0.0,148.0,145.0,146.0,150.0,139.0
203,MAINLAND CHESDALE CHEDDAR CHEESE SPREAD 12 CHEDDAR,250 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),78.0,0.0,78.0,81.0,76.0,82.0,76.0
204,KRAFT HI - CALCIUM SINGLES PROCESSED CHEESE 12 SLICES,250 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),18.0,0.0,20.0,15.0,18.0,17.0,16.0
205,MARJERIN DAISY,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),138.0,0.0,142.0,139.0,138.0,134.0,131.0
206,MARJERIN PLANTA,480 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),216.0,0.0,216.0,213.0,201.0,202.0,182.0
212,KICAP TAMIN (DARK SOY SAUCE),330 ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,61.0,0.0,53.0,53.0,49.0,52.0,49.0
214,KICAP LEMAK MANIS CAP KIPAS UDANG,345ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,225.0,0.0,229.0,219.0,201.0,198.0,185.0
215,KICAP LEMAK MANIS CAP JALEN,650 ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,141.0,0.0,146.0,134.0,141.0,140.0,131.0
217,SOS TOMATO MAGGI,325 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,196.0,0.0,195.0,196.0,185.0,202.0,188.0
218,SOS CILI LIFE,340 g,BARANGAN BERBUNGKUS,KICAP DAN SOS,56.0,0.0,57.0,47.0,40.0,41.0,36.0
221,DRINHO SOYA (KOTAK),250 ml,MINUMAN,TERSEDIA MINUM,36.0,0.0,0.0,0.0,0.0,40.0,0.0
224,SUSU SEGAR DUTCH LADY,1 liter,MINUMAN,TERSEDIA MINUM,39.0,0.0,0.0,0.0,0.0,45.0,0.0
225,SUSU MARIGOLD HL,1 liter,MINUMAN,TERSEDIA MINUM,111.0,0.0,0.0,0.0,0.0,116.0,0.0
226,YEO'S LAICI (KOTAK),250 ml,MINUMAN,TERSEDIA MINUM,71.0,0.0,0.0,0.0,0.0,74.0,0.0
228,COCA COLA (BOTOL),1.5 liter,MINUMAN,TERSEDIA MINUM,87.0,0.0,0.0,0.0,0.0,81.0,0.0
229,F&N OREN (TIN),325 ml,MINUMAN,TERSEDIA MINUM,57.0,0.0,0.0,0.0,0.0,51.0,0.0
230,F&N OREN (BOTOL),1.5 liter,MINUMAN,TERSEDIA MINUM,68.0,0.0,0.0,0.0,0.0,56.0,0.0
232,MIRINDA OREN (BOTOL),1.5 liter,MINUMAN,TERSEDIA MINUM,46.0,0.0,0.0,0.0,0.0,46.0,0.0
235,JUS OREN PEEL FRESH (MARIGOLD),1 liter,MINUMAN,TERSEDIA MINUM,99.0,0.0,0.0,0.0,0.0,105.0,0.0
236,JUS OREN SUNKIST,1 liter,MINUMAN,TERSEDIA MINUM,5.0,0.0,0.0,0.0,0.0,6.0,0.0
239,RED BULL (BOTOL),150 ml,MINUMAN,TERSEDIA MINUM,48.0,0.0,0.0,0.0,0.0,46.0,0.0
240,LIVITA WITH HONEY (BOTOL),150 ml,MINUMAN,TERSEDIA MINUM,55.0,0.0,0.0,0.0,0.0,48.0,0.0
246,MINYAK JAGUNG CAP MAZOLA,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,91.0,0.0,87.0,85.0,72.0,73.0,70.0
