item_code,item,unit,n_original,original_std,n_trimmed,new_std,std_reduction,std_reduction_pct
1,AYAM BERSIH - STANDARD,1kg,173,0.3909515279295919,158.0,0.1405322836379502,0.25041924429164175,0.6405378324464326
2,AYAM BERSIH - SUPER,1kg,79,0.6478472578146551,78.0,0.6085632129443779,0.03928404487027726,0.060637819171747064
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,30,5.4603072310513125,28.0,4.381990122519953,1.0783171085313592,0.19748286367464032
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,3,0.0,3.0,0.0,0.0,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,35,2.3922956872974925,34.0,2.1514396995381166,0.2408559877593759,0.10067985702530942
16,BETIK BIASA,1kg,91,1.241850838174015,85.0,1.128919651628021,0.11293118654599388,0.09093780273325333
18,PISANG BERANGAN,1kg,160,0.9284563505995067,156.0,0.9051435778973231,0.02331277270218357,0.025109174693167268
19,PISANG EMAS,1kg,30,0.6977139189120982,27.0,0.4001328127088151,0.2975811062032831,0.42650877119849173
20,TEMBIKAI MERAH BERBIJI,1kg,36,0.8491433591829146,34.0,0.7736148567110537,0.07552850247186094,0.08894670335117263
21,TEMBIKAI MERAH TANPA BIJI,1kg,200,0.6659785862825729,181.0,0.5479166917001022,0.11806189458247074,0.17727581188680652
22,DRAGON FRUIT MERAH,1kg,164,1.8223436933616555,148.0,1.4173846682058524,0.40495902515580307,0.22221879804065942
24,TEMBIKAI SUSU,1kg,70,1.2797315081372556,66.0,1.1478597190998272,0.13187178903742836,0.1030464501334171
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,184,0.8744417745524523,175.0,0.6391892288510079,0.23525254570144438,0.2690316868974483
26,ANGGUR HIJAU BERBIJI,1kg,2,24.39518395093589,,,,
27,ANGGUR MERAH BERBIJI,1kg,62,6.470892311189723,56.0,5.306373351861951,1.164518959327772,0.1799626548125426
31,LAI KUNING (SAIZ M),1 biji,5,0.21547621678505505,4.0,0.2251666049839541,-0.009690388198899058,-0.04497196184099313
38,JAMBU BATU BERBIJI,1kg,46,1.2176830973631294,43.0,0.7890389741758956,0.42864412318723377,0.35201615602241243
39,JAMBU BATU TANPA BIJI,1kg,51,1.1180122066049398,47.0,0.8680584308719981,0.24995377573294175,0.22356980921699837
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,181,4.715567808276177,166.0,3.825861234285527,0.8897065739906496,0.18867432516380053
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,244,2.249992182930344,219.0,1.6950793482607251,0.5549128346696188,0.2466287833706656
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,129,2.1132502394682,124.0,1.9365064079226584,0.1767438315455414,0.08363601633378688
51,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),1kg,57,2.586674147503587,51.0,1.8783804872554326,0.7082936602481544,0.27382407673256115
52,KEPALA IKAN JENAHAK,1kg,25,3.775367531777533,24.0,3.2914662386237525,0.4839012931537803,0.1281732941444109
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,201,2.978378433733256,183.0,2.1559704750123747,0.8224079587208815,0.27612607901207237
60,IKAN MERAH (b	% 1 KILOGRAM SEEKOR),1kg,52,5.280084937356723,49.0,4.5451827399408025,0.7349021974159209,0.1391837832411503
64,KEPALA IKAN MERAH,1kg,16,4.5032054786933,15.0,4.090142272528404,0.413063206164896,0.09172648419426667
65,IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,17,2.7199312004707257,16.0,2.352943900733717,0.3669872997370085,0.13492521416479053
66,IKAN PARANG (ANTARA 1 HINGGA 3 EKOR SEKILOGRAM),1kg,36,1.8576495432122864,34.0,1.763040134805231,0.09460940840705545,0.050929632423269075
68,IKAN PARI (KEPINGAN),1kg,93,4.367925464239297,84.0,3.17926194675815,1.1886635174811473,0.27213456988056933
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1kg,97,3.8154524537695313,89.0,3.0679209645855967,0.7475314891839346,0.19592210838465568
70,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),1kg,130,3.4106880877561694,118.0,2.7674185123264397,0.6432695754297297,0.1886040467139067
71,IKAN SELAYANG/SARDIN  (≥ 13 EKOR SEKILOGRAM),1kg,217,2.8792416531116563,198.0,2.2861253828840473,0.5931162702276089,0.20599739156545468
73,IKAN SENANGIN (ANTARA 2 HINGGA 8 EKOR SEKILOGRAM),1kg,71,4.54106237403864,68.0,3.9478025360845637,0.5932598379540766,0.1306434021575561
78,IKAN TAMBAN BELURU (ANTARA 10 HINGGA 19 EKOR SEKILOGRAM),1kg,12,3.698134972216032,11.0,3.5252264917564964,0.17290848045953577,0.04675558944132423
79,IKAN TENGGIRI PAPAN (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,34,4.6174251453880695,32.0,4.229322326178235,0.38810281920983414,0.08405178362176052
82,IKAN TENGGIRI BATANG (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,24,4.933365770555328,23.0,4.698479192182041,0.2348865783732874,0.04761183121170584
83,IKAN TONGKOL/AYA/KAYU HITAM (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,187,2.961436597644399,172.0,2.352186077198245,0.609250520446154,0.20572803109503246
88,IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,50,1.2579830958275058,48.0,1.1201722060810992,0.13781088974640654,0.10954907915972753
89,IKAN TILAPIA HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,54,1.6026566976636132,52.0,1.1532897891936007,0.4493669084700125,0.28038875020777004
92,CILI HIJAU,1kg,380,3.5103108633440807,364.0,2.295801713756013,1.2145091495880678,0.3459833606961725
93,CILI MERAH - KULAI,1kg,263,2.7517157660128935,242.0,2.0528995491158333,0.6988162168970602,0.2539565406893794
94,CILI MERAH - MINYAK,1kg,230,4.23305115141586,210.0,3.2214344206563017,1.0116167307595583,0.23898051182802157
95,HALIA BASAH (TUA),1kg,668,2.1087008765561426,613.0,1.6997443263417467,0.4089565502143959,0.19393767734487294
96,KACANG BENDI,1kg,445,2.098407022623207,403.0,1.4354815051358139,0.6629255174873934,0.31591846116616296
97,KACANG BUNCIS,1kg,419,2.837430016967197,384.0,2.3098419590913815,0.5275880578758154,0.1859387032353069
98,KACANG PANJANG,1kg,407,2.4623847252200757,368.0,1.9599770434018458,0.5024076818182299,0.2040329752993116
101,KELAPA BIJI,1 biji,82,0.30481116520199464,77.0,0.29049160490832543,0.014319560293669209,0.04697846381112651
102,KELAPA PARUT,1kg,41,0.6303792896189465,39.0,0.478230544237082,0.15214874538186451,0.24136063460117135
103,SANTAN KELAPA SEGAR (BIASA),1kg,25,0.8913289703209099,25.0,0.8913289703209099,0.0,0.0
104,KUBIS BULAT IMPORT (CHINA),1kg,345,0.9906567240271112,312.0,0.67461254502848,0.31604417899863124,0.31902491683888484
105,KUBIS BULAT (TEMPATAN),1kg,180,1.340459198490624,171.0,1.2452813973210763,0.09517780116954766,0.07100387783284953
108,KUNYIT HIDUP,1kg,500,2.0865969935824356,462.0,1.4283670301042275,0.6582299634782081,0.3154562023728916
109,LOBAK MERAH,1kg,539,1.15073443716642,517.0,0.9685644009488886,0.18217003621753147,0.15830762540322402
112,TERUNG PANJANG,1kg,339,2.059732126756989,309.0,1.6078903414029468,0.45184178535404196,0.21936919829738186
113,TIMUN,1kg,536,1.2740789127648329,499.0,1.02154930009834,0.2525296126664929,0.1982056292875042
114,TOMATO,1kg,508,1.5798764035113504,464.0,1.3162885300848215,0.2635878734265289,0.1668408192189543
118,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),10 biji,141,0.9130468271736972,139.0,0.0,0.9130468271736972,1.0
119,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,240,0.0452310818694963,232.0,0.0,0.0452310818694963,1.0
120,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,138,0.02468643939200375,137.0,0.0,0.02468643939200375,1.0
124,TELUR PUYUH,15 Biji,195,0.6253266658871357,177.0,0.3270354753016923,0.2982911905854434,0.47701658486331294
125,TELUR ITIK,10 biji,11,1.5147168952405834,11.0,1.5147168952405834,0.0,0.0
129,BAWANG BESAR KUNING/HOLLAND,1kg,815,0.8049067057880279,735.0,0.5646344979346797,0.24027220785334824,0.29850938764153356
131,BAWANG KECIL MERAH ROSE IMPORT (INDIA),1kg,474,3.29861494896406,430.0,2.6898924750029645,0.6087224739610955,0.18453880897867955
132,BAWANG KECIL MERAH IMPORT (THAILAND),1kg,103,1.7648389124298498,91.0,1.2605159514978237,0.5043229609320261,0.2857614694350028
148,IKAN BILIS GRED B (KOPEK),1kg,166,12.03696725967612,150.0,10.649749176027774,1.3872180836483459,0.11524647809714754
152,KACANG HIJAU (IMPORT),1kg,678,1.5011340938468334,612.0,1.0426317701107346,0.4585023237360988,0.30543728612620635
154,SERBUK KUNYIT (TIDAK BERBUNGKUS),100 g,6,0.16329931618554516,5.0,0.0,0.16329931618554516,1.0
160,UBI KENTANG RUSSET,1kg,19,1.0866682811310793,19.0,1.0866682811310793,0.0,0.0
171,KORDIAL SUNQUICK (OREN),840 ml,210,1.0703464080045646,190.0,0.8912478946972513,0.1790985133073133,0.16732761652482653
180,TEH BOH (UNCANG),100 beg,103,0.8475937205833245,95.0,0.666821394884996,0.18077232569832846,0.21327709409399437
190,SARDIN CAP AYAM (SOS TOMATO),155 g,625,0.37656722898935036,568.0,0.18431746020675685,0.1922497687825935,0.5105323936407395
191,SARDIN CAP AYAM (SOS TOMATO),425 g,751,0.4660242569632163,696.0,0.36076310393204986,0.10526115303116645,0.2258705452739444
192,SARDIN CAP KING CUP (SOS TOMATO),155 g,493,0.2449933622676413,457.0,0.17444996453510794,0.07054339773253335,0.2879400367405412
193,SARDIN CAP KING CUP (SOS TOMATO),425 g,474,0.5297456644014238,449.0,0.47931652657087775,0.050429137830546034,0.09519499869343433
195,MACKAREL CAP AYAM (SOS TOMATO),425 g,792,0.530522896789506,722.0,0.3883195968493729,0.14220329994013314,0.26804366183002787
197,MACKAREL CAP KING CUP (SOS TOMATO),425 g,39,0.6666278666172057,39.0,0.6666278666172057,0.0,0.0
199,TUNA CAP TC BOY (SANDWICH DELITE),150 g,31,0.20224545929748733,30.0,0.19061304607327725,0.011632413224210075,0.05751631341744835
201,JEM STRAWBERI LADY'S CHOICE,400 g,454,0.7382260927392965,433.0,0.688123323390755,0.05010276934854152,0.06786913906365437
202,SERI KAYA YEO'S,480 g,661,0.6980404792736783,601.0,0.5291131038351135,0.16892737543856484,0.2420022626973386
203,MAINLAND CHESDALE CHEDDAR CHEESE SPREAD 12 CHEDDAR,250 g,369,0.8840875315943991,345.0,0.7245072881504222,0.15958024344397692,0.18050276442218732
204,KRAFT HI - CALCIUM SINGLES PROCESSED CHEESE 12 SLICES,250 g,140,0.6468487093797983,127.0,0.45835990310552144,0.1884888062742769,0.2913955049164446
205,MARJERIN DAISY,480 g,564,0.6523568833324062,508.0,0.47968754552154885,0.1726693378108573,0.26468539264707086
206,MARJERIN PLANTA,480 g,868,0.875290408787035,823.0,0.771257719585977,0.10403268920105802,0.11885505445584059
212,KICAP TAMIN (DARK SOY SAUCE),330 ml,156,0.5102554664338651,148.0,0.4349242315028824,0.0753312349309827,0.14763435158758165
214,KICAP LEMAK MANIS CAP KIPAS UDANG,345ml,825,0.42480246071162875,765.0,0.3015109880011552,0.12329147271047353,0.2902324824200306
215,KICAP LEMAK MANIS CAP JALEN,650 ml,594,0.5218594847125572,575.0,0.48477923577466375,0.03708024893789341,0.07105408644305354
217,SOS TOMATO MAGGI,325 g,861,0.3010025739030469,808.0,0.19175709182218006,0.10924548208086685,0.3629386973815542
218,SOS CILI LIFE,340 g,176,0.2654015274621093,167.0,0.2278982112482188,0.037503316213890525,0.1413078386266815
221,DRINHO SOYA (KOTAK),250 ml,37,0.1892156244937309,36.0,0.1900298639855042,-0.0008142394917733109,-0.0043032360247833995
