item_code,item,unit,item_group,item_category,2022-03-02,2022-03-03,2022-03-05
1157,NASI PUTIH KOSONG,sepinggan,MAKANAN SIAP MASAK,NASI,243.0,5.0,2.0
1158,NASI AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,89.0,2.0,1.0
1159,NASI LEMAK (BERBUNGKUS),sebungkus,MAKANAN SIAP MASAK,NASI,71.0,3.0,0.0
1160,NASI LEMAK (TIDAK BERBUNGKUS),sepinggan,MAKANAN SIAP MASAK,NASI,113.0,3.0,1.0
1161,NASI + SAYUR + IKAN,sepinggan,MAKANAN SIAP MASAK,NASI,163.0,4.0,1.0
1162,NASI + SAYUR + AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,161.0,4.0,2.0
1163,NASI + SAYUR + DAGING,sepinggan,MAKANAN SIAP MASAK,NASI,115.0,2.0,2.0
1164,NASI + SAYUR + SOTONG,sepinggan,MAKANAN SIAP MASAK,NASI,43.0,1.0,0.0
1165,NASI + SAYUR + UDANG,sepinggan,MAKANAN SIAP MASAK,NASI,39.0,0.0,0.0
1167,NASI GORENG KAMPUNG,sepinggan,MAKANAN SIAP MASAK,NASI,147.0,1.0,1.0
1168,NASI GORENG PAPRIK,sepinggan,MAKANAN SIAP MASAK,NASI,117.0,1.0,1.0
1169,NASI GORENG CINA,sepinggan,MAKANAN SIAP MASAK,NASI,142.0,1.0,1.0
1170,NASI GORENG PATAYA,sepinggan,MAKANAN SIAP MASAK,NASI,147.0,1.0,1.0
1172,NASI GORENG CILI PADI,sepinggan,MAKANAN SIAP MASAK,NASI,105.0,1.0,1.0
1173,NASI GORENG DAGING MERAH,sepinggan,MAKANAN SIAP MASAK,NASI,97.0,0.0,1.0
1174,NASI GORENG USA,sepinggan,MAKANAN SIAP MASAK,NASI,97.0,1.0,1.0
1175,NASI GORENG AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,149.0,1.0,1.0
1183,BIHUN GORENG,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,153.0,1.0,1.0
1184,BIHUN HAILAM,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,106.0,1.0,1.0
1186,BIHUN TOMYAM,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,119.0,1.0,1.0
1187,BIHUN BANDUNG,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,105.0,1.0,1.0
1188,BIHUN LADNA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,85.0,1.0,1.0
1189,BIHUN KUNGFU,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,80.0,1.0,1.0
1198,AYAM GORENG,seketul,MAKANAN SIAP MASAK,LAUK,183.0,4.0,2.0
1199,AYAM MASAK MERAH,seketul,MAKANAN SIAP MASAK,LAUK,171.0,4.0,2.0
1200,AYAM MASAK KICAP,seketul,MAKANAN SIAP MASAK,LAUK,154.0,3.0,2.0
1201,AYAM MASAK HALIA,seketul,MAKANAN SIAP MASAK,LAUK,59.0,1.0,0.0
1202,DAGING MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,95.0,0.0,1.0
