item_code,item,unit,item_group,item_category,2022-05-11,2022-05-12,2022-05-14,2022-05-17
1157,NASI PUTIH KOSONG,sepinggan,MAKANAN SIAP MASAK,NASI,210.0,2.0,2.0,1.0
1158,NASI AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,84.0,0.0,1.0,1.0
1159,NASI LEMAK (BERBUNGKUS),sebungkus,MAKANAN SIAP MASAK,NASI,62.0,0.0,1.0,1.0
1160,NASI LEMAK (TIDAK BERBUNGKUS),sepinggan,MAKANAN SIAP MASAK,NASI,104.0,0.0,1.0,1.0
1161,NASI + SAYUR + IKAN,sepinggan,MAKANAN SIAP MASAK,NASI,140.0,0.0,2.0,1.0
1162,NASI + SAYUR + AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,142.0,0.0,2.0,1.0
1163,NASI + SAYUR + DAGING,sepinggan,MAKANAN SIAP MASAK,NASI,108.0,0.0,2.0,1.0
1164,NASI + SAYUR + SOTONG,sepinggan,MAKANAN SIAP MASAK,NASI,37.0,0.0,1.0,0.0
1165,NASI + SAYUR + UDANG,sepinggan,MAKANAN SIAP MASAK,NASI,38.0,0.0,1.0,0.0
1167,NASI GORENG KAMPUNG,sepinggan,MAKANAN SIAP MASAK,NASI,128.0,1.0,2.0,0.0
1168,NASI GORENG PAPRIK,sepinggan,MAKANAN SIAP MASAK,NASI,100.0,2.0,2.0,0.0
1169,NASI GORENG CINA,sepinggan,MAKANAN SIAP MASAK,NASI,113.0,2.0,1.0,0.0
1170,NASI GORENG PATAYA,sepinggan,MAKANAN SIAP MASAK,NASI,121.0,1.0,1.0,0.0
1172,NASI GORENG CILI PADI,sepinggan,MAKANAN SIAP MASAK,NASI,87.0,2.0,1.0,0.0
1173,NASI GORENG DAGING MERAH,sepinggan,MAKANAN SIAP MASAK,NASI,81.0,2.0,1.0,0.0
1174,NASI GORENG USA,sepinggan,MAKANAN SIAP MASAK,NASI,86.0,2.0,1.0,0.0
1175,NASI GORENG AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,127.0,2.0,2.0,0.0
1183,BIHUN GORENG,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,132.0,2.0,2.0,1.0
1184,BIHUN HAILAM,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,88.0,1.0,0.0,0.0
1186,BIHUN TOMYAM,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,100.0,1.0,1.0,0.0
1187,BIHUN BANDUNG,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,91.0,2.0,0.0,0.0
1188,BIHUN LADNA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,70.0,1.0,1.0,0.0
1189,BIHUN KUNGFU,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,69.0,1.0,0.0,0.0
1198,AYAM GORENG,seketul,MAKANAN SIAP MASAK,LAUK,169.0,0.0,1.0,1.0
1199,AYAM MASAK MERAH,seketul,MAKANAN SIAP MASAK,LAUK,153.0,0.0,1.0,1.0
1200,AYAM MASAK KICAP,seketul,MAKANAN SIAP MASAK,LAUK,138.0,0.0,1.0,1.0
1201,AYAM MASAK HALIA,seketul,MAKANAN SIAP MASAK,LAUK,47.0,0.0,1.0,0.0
1202,DAGING MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,81.0,2.0,1.0,0.0
1203,DAGING MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,98.0,1.0,1.0,0.0
1204,DAGING MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,58.0,2.0,0.0,0.0
1205,DAGING MASAK PAPRIK,sepiring,MAKANAN SIAP MASAK,LAUK,65.0,2.0,1.0,0.0
1206,SOTONG GORENG,sepiring,MAKANAN SIAP MASAK,LAUK,52.0,1.0,1.0,0.0
1207,SOTONG MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,56.0,0.0,1.0,0.0
1208,SOTONG MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,37.0,0.0,0.0,0.0
1209,SOTONG MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,35.0,0.0,0.0,0.0
1210,UDANG GORENG,sepiring,MAKANAN SIAP MASAK,LAUK,51.0,1.0,1.0,0.0
1211,UDANG MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,51.0,0.0,1.0,0.0
1212,UDANG MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,38.0,0.0,0.0,0.0
1213,UDANG MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,35.0,0.0,0.0,0.0
1214,SAYUR CAMPUR,sepiring,MAKANAN SIAP MASAK,LAUK,129.0,1.0,1.0,1.0
1215,SAYUR KAILAN IKAN MASIN,sepiring,MAKANAN SIAP MASAK,LAUK,83.0,2.0,1.0,0.0
1216,SAYUR KANGKUNG GORENG BELACAN,sepiring,MAKANAN SIAP MASAK,LAUK,89.0,1.0,1.0,0.0
1232,TELUR MATA KERBAU,sebiji,MAKANAN SIAP MASAK,LAUK,179.0,1.0,2.0,1.0
1233,TELUR DADAR,sebiji,MAKANAN SIAP MASAK,LAUK,181.0,2.0,2.0,1.0
1234,TELUR BISTIK,1 set,MAKANAN SIAP MASAK,LAUK,60.0,1.0,0.0,0.0
1235,TELUR SETENGAH MASAK,sebiji,MAKANAN SIAP MASAK,LAUK,87.0,0.0,0.0,0.0
1236,TELUR REBUS,sebiji,MAKANAN SIAP MASAK,LAUK,108.0,0.0,1.0,1.0
1237,TELUR MASIN,sebiji,MAKANAN SIAP MASAK,LAUK,111.0,0.0,1.0,1.0
1238,SUP AYAM,semangkuk,MAKANAN SIAP MASAK,LAUK,119.0,2.0,2.0,1.0
1239,SUP DAGING,semangkuk,MAKANAN SIAP MASAK,LAUK,118.0,1.0,2.0,0.0
1240,SUP EKOR,semangkuk,MAKANAN SIAP MASAK,LAUK,30.0,1.0,0.0,0.0
1241,SUP CAMPUR,semangkuk,MAKANAN SIAP MASAK,LAUK,79.0,1.0,2.0,0.0
1242,TOM YAM CAMPUR,semangkuk,MAKANAN SIAP MASAK,LAUK,91.0,1.0,1.0,0.0
1243,TOM YAM AYAM,semangkuk,MAKANAN SIAP MASAK,LAUK,105.0,2.0,1.0,1.0
1244,TOM YAM DAGING,semangkuk,MAKANAN SIAP MASAK,LAUK,90.0,1.0,1.0,0.0
1245,TOM YAM UDANG,semangkuk,MAKANAN SIAP MASAK,LAUK,76.0,1.0,1.0,0.0
1246,TOM YAM SOTONG,semangkuk,MAKANAN SIAP MASAK,LAUK,72.0,0.0,1.0,0.0
1247,MAGGI GORENG,sepinggan,MAKANAN SIAP MASAK,LAIN-LAIN,95.0,1.0,0.0,0.0
1248,MAGGI SUP,semangkuk,MAKANAN SIAP MASAK,LAIN-LAIN,92.0,1.0,0.0,0.0
1250,ROTI TELUR,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,54.0,0.0,0.0,1.0
1252,KUIH LAPIS,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,22.0,0.0,0.0,0.0
1253,KUIH SERI MUKA,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,19.0,0.0,0.0,0.0
1254,PAU KACANG MERAH,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,8.0,0.0,0.0,0.0
1255,PAU AYAM,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,6.0,0.0,0.0,0.0
1256,PAU KAYA,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,5.0,0.0,0.0,0.0
1264,AYAM SOS LEMON,sepiring,MAKANAN SIAP MASAK,LAUK,7.0,0.0,0.0,0.0
1265,SOTONG GORENG ASAM,sepiring,MAKANAN SIAP MASAK,LAUK,8.0,0.0,0.0,0.0
1266,UDANG BUTTER,sepiring,MAKANAN SIAP MASAK,LAUK,14.0,0.0,0.0,0.0
1277,SUP IKAN,semangkuk,MAKANAN SIAP MASAK,LAUK,7.0,0.0,0.0,0.0
1278,SUP SAYUR MASIN,semangkuk,MAKANAN SIAP MASAK,LAUK,7.0,0.0,0.0,0.0
1281,NASI BRIYANI AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,8.0,0.0,0.0,0.0
1282,NASI BRIYANI KAMBING,sepinggan,MAKANAN SIAP MASAK,NASI,6.0,0.0,0.0,0.0
1285,AYAM MASAK KARI,seketul,MAKANAN SIAP MASAK,LAUK,119.0,0.0,0.0,0.0
1289,SUP TULANG,semangkuk,MAKANAN SIAP MASAK,LAUK,62.0,0.0,1.0,0.0
1290,SUP KAMBING,semangkuk,MAKANAN SIAP MASAK,LAUK,4.0,0.0,0.0,0.0
1291,ROTI PISANG,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,8.0,0.0,0.0,0.0
1292,ROTI BAWANG,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,41.0,0.0,0.0,1.0
1293,ROTI BOOM,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,24.0,0.0,0.0,1.0
1294,RAWA TOSAI,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,1.0,0.0,0.0,0.0
1295,ROTI TISU,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,12.0,0.0,0.0,0.0
1298,ROTI BAKAR,1 set,MAKANAN SIAP MASAK,LAIN-LAIN,35.0,0.0,0.0,0.0
1299,MURTABAK AYAM,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,8.0,0.0,0.0,0.0
1300,MURTABAK DAGING,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,9.0,0.0,0.0,0.0
1301,MURTABAK KAMBING,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,1.0,0.0,0.0,0.0
1307,AIR SUAM,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,55.0,0.0,1.0,0.0
1309,Kopi Panas,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,189.0,2.0,2.0,1.0
1311,TEH 'O' LIMAU PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,197.0,0.0,2.0,1.0
1312,Teh Panas,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,200.0,1.0,2.0,1.0
1314,TEH HALIA PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,142.0,0.0,2.0,1.0
1315,NESCAFE PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,194.0,0.0,1.0,1.0
1317,NESLO PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,180.0,1.0,1.0,1.0
1318,HORLICKS PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,156.0,1.0,1.0,1.0
1319,MILO PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,199.0,1.0,1.0,1.0
1320,BARLI PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,120.0,1.0,2.0,1.0
1321,MILO 'O' PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,195.0,1.0,2.0,1.0
1322,AIR KOSONG,gelas besar,MAKANAN SIAP MASAK,MINUMAN,95.0,0.0,1.0,0.0
