item_code,item,unit,n_original,original_std,n_trimmed,new_std,std_reduction,std_reduction_pct
1,AYAM BERSIH - STANDARD,1kg,2513,0.9203127029161088,2364.0,0.47974049815894465,0.44057220475716413,0.47872011693543315
2,AYAM BERSIH - SUPER,1kg,993,1.4466055293619209,907.0,1.255179514651391,0.19142601471052978,0.13232772226092993
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,1093,5.748802333950602,1051.0,4.045881628292131,1.702920705658471,0.2962218226919304
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,5,10.112961979558708,4.0,8.95,1.162961979558709,0.11499716719091792
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,25,6.782711404740735,23.0,3.0221259171795842,3.760585487561151,0.5544369004013222
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,380,2.7925100005514953,373.0,2.7522070882915455,0.040302912259949863,0.014432504181539334
16,BETIK BIASA,1kg,2492,1.2271517320739906,2297.0,0.967183920704261,0.2599678113697297,0.2118465097468933
18,PISANG BERANGAN,1kg,1554,0.7809237527947251,1477.0,0.6570499464485486,0.12387380634617651,0.1586247132359133
19,PISANG EMAS,1kg,679,1.231169175966112,647.0,1.1184757482339547,0.1126934277321574,0.09153366566680458
20,TEMBIKAI MERAH BERBIJI,1kg,927,1.186488889541291,862.0,1.0602577310541306,0.1262311584871605,0.10639051035358853
21,TEMBIKAI MERAH TANPA BIJI,1kg,2806,1.0551536004957376,2577.0,0.8500012939417073,0.20515230655403027,0.19442885515212627
22,DRAGON FRUIT MERAH,1kg,1205,3.329767174925851,1119.0,2.7343367162712595,0.5954304586545915,0.17882044820982143
24,TEMBIKAI SUSU,1kg,2720,1.5236099881154506,2581.0,1.121705684562634,0.4019043035528165,0.2637842405128434
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,2522,0.856662363375845,2401.0,0.6435635480933805,0.21309881528246455,0.24875473044328356
26,ANGGUR HIJAU BERBIJI,1kg,6,10.577713205918691,5.0,0.0,10.577713205918691,1.0
27,ANGGUR MERAH BERBIJI,1kg,1183,3.265445097540794,1091.0,2.524769744261716,0.740675353279078,0.2268221731355644
31,LAI KUNING (SAIZ M),1 biji,161,0.8864068589339872,161.0,0.8864068589339872,0.0,0.0
38,JAMBU BATU BERBIJI,1kg,1158,1.6251879145164292,1052.0,1.1109832765421823,0.5142046379742469,0.31639703530975816
39,JAMBU BATU TANPA BIJI,1kg,869,1.9007814959440497,818.0,1.4751151831460727,0.42566631279797695,0.22394279074490034
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,902,3.6040066332406924,871.0,3.433573404153043,0.17043322908764935,0.04728993213156137
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,2242,2.358712312124257,2035.0,2.0335639836041195,0.3251483285201373,0.13784993059510028
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,993,1.8496139980268094,906.0,1.5404590294191178,0.30915496860769154,0.16714566873818093
51,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),1kg,495,4.037175396510069,475.0,3.532590005947781,0.5045853905622879,0.12498475815503982
52,KEPALA IKAN JENAHAK,1kg,748,4.7976467047650875,743.0,4.776058719150089,0.02158798561499875,0.004499703071832545
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,941,3.077337398039051,878.0,2.6767912463497647,0.4005461516892863,0.13015997269084742
60,IKAN MERAH (b	% 1 KILOGRAM SEEKOR),1kg,695,6.8135620177743945,642.0,4.988115404558594,1.8254466132158003,0.26791370041892865
64,KEPALA IKAN MERAH,1kg,752,4.704481375714947,700.0,3.648334528185764,1.0561468475291824,0.2244980398862092
65,IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,299,3.372093733873704,280.0,3.0789972533312686,0.2930964805424354,0.08691824832690515
66,IKAN PARANG (ANTARA 1 HINGGA 3 EKOR SEKILOGRAM),1kg,175,3.2789035293341278,171.0,3.2582790572418254,0.020624472092302337,0.006290051508923383
68,IKAN PARI (KEPINGAN),1kg,1660,7.18686398305562,1528.0,6.317223532505097,0.8696404505505226,0.12100416156488604
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1kg,1466,2.028771087963214,1384.0,1.491847741985705,0.5369233459775089,0.26465447440724005
70,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),1kg,2053,3.468422116575803,1902.0,2.868574153920327,0.5998479626554762,0.1729454900511578
73,IKAN SENANGIN (ANTARA 2 HINGGA 8 EKOR SEKILOGRAM),1kg,678,4.1646826807563855,648.0,3.790066755150994,0.37461592560539136,0.08995065274393342
78,IKAN TAMBAN BELURU (ANTARA 10 HINGGA 19 EKOR SEKILOGRAM),1kg,67,2.0713056075687453,63.0,1.834423080675363,0.2368825268933823,0.11436387080100169
79,IKAN TENGGIRI PAPAN (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,302,7.522459113960505,289.0,6.237412245828689,1.2850468681318157,0.17082802959300505
82,IKAN TENGGIRI BATANG (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,328,5.726212866316684,318.0,4.599836729668432,1.1263761366482514,0.19670525056341104
87,IKAN HARUAN (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,43,2.456619552042459,42.0,2.0838681311256284,0.3727514209168308,0.15173347480969177
88,IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,2094,1.7691002000507667,2016.0,1.5973286558826565,0.17177154416811025,0.0970954297349472
89,IKAN TILAPIA HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,1119,1.511390257126007,1090.0,0.9854144761001605,0.5259757810258464,0.34800792088339827
92,CILI HIJAU,1kg,2415,4.008923404096765,2275.0,3.326674896370381,0.682248507726384,0.17018247518253563
93,CILI MERAH - KULAI,1kg,703,4.569577652797378,641.0,3.7591425053704106,0.8104351474269671,0.17735449728725797
94,CILI MERAH - MINYAK,1kg,2295,5.527776935109985,2133.0,4.155170480234967,1.3726064548750179,0.24831075330786795
95,HALIA BASAH (TUA),1kg,3362,2.9917423301163026,3172.0,2.479753316223961,0.5119890138923417,0.1711340608241614
96,KACANG BENDI,1kg,1826,2.5716326537812684,1697.0,2.1007335673547485,0.4708990864265199,0.18311288967890532
