item_code,item,unit,item_group,item_category,2022-10-05,2022-10-12,2022-10-19,2022-10-26
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,8.642857142857142,9.058000000000002,8.866666666666667,9.025
3,AYAM HIDUP,1kg,BARANGAN SEGAR,AYAM,6.4,6.4,6.4,6.4
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,31.5,31.5,31.666666666666668,31.5
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,36.0,36.0,36.0,36.0
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,,,31.5,
12,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - NEW ZEALAND),1kg,BARANGAN SEGAR,DAGING,,,31.5,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,19.9,18.85,18.566666666666666,18.85
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,16.0,16.333333333333332,16.2,16.5
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,12.666666666666666,11.7,12.4,13.0
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,2.1,2.1333333333333333,2.15,2.0
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,7.5,7.666666666666667,7.666666666666667,7.3999999999999995
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,6.5,7.0,7.0,7.0
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,2.6999999999999997,2.716666666666667,2.8833333333333333,2.8
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.2,4.125,4.214285714285714,3.5
114,TOMATO,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.0,4.525,4.427272727272728,4.5285714285714285
118,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,4.4,4.3999999999999995,4.366666666666666,4.5
119,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR,4.2,4.25,4.199999999999999,4.3
120,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,4.05,4.05,4.1,4.1
131,BAWANG KECIL MERAH ROSE IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,5.18,5.316666666666666,5.271428571428571,5.475
132,BAWANG KECIL MERAH IMPORT (THAILAND),1kg,BARANGAN KERING,BAWANG,,10.0,10.0,10.0
368,KACANG TANAH (IMPORT),1kg,BARANGAN KERING,KACANG,9.0,8.475,8.200000000000001,9.0
1128,LADA BENGGALA HIJAU (CAPSICUM),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,11.25,11.166666666666666,10.95,11.583333333333334
1131,UBI KENTANG IMPORT (CHINA),1kg,BARANGAN KERING,UBI KENTANG,3.125,3.125,2.9,3.0
1367,DAGING PAHA KAMBING BEBIRI IMPORT BERTULANG  (MUTTON) (AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,,,38.0,
1375,DAGING KERBAU IMPORT (INDIA) * (SILVERSIDE),1kg,BARANGAN SEGAR,DAGING,19.4,18.35,17.733333333333334,18.35
1376,DAGING KERBAU IMPORT (INDIA) * (RUMP),1kg,BARANGAN SEGAR,DAGING,19.4,18.35,17.733333333333334,18.35
1377,DAGING KERBAU IMPORT (INDIA) * (BLADE),1kg,BARANGAN SEGAR,DAGING,19.2,18.0,17.333333333333332,18.0
1378,DAGING KERBAU IMPORT (INDIA) * (CHUCK),1kg,BARANGAN SEGAR,DAGING,22.0,22.0,22.0,22.0
1379,DAGING BABI (PERUT / BELLY),1kg,BARANGAN SEGAR,DAGING,,,33.0,
1380,DAGING BABI (DAGING & LEMAK / LEAN & FAT),1kg,BARANGAN SEGAR,DAGING,,,20.0,
1381,DAGING BABI (ISI DAGING / PURE LEAN),1kg,BARANGAN SEGAR,DAGING,,,23.0,
1383,DAGING BABI (RUSUK DENGAN DAGING/ RIBS WITH MEAT),1kg,BARANGAN SEGAR,DAGING,,,23.0,
1400,BAWANG PERAI (LEEK) IMPORT,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,12.0,11.0,10.5,10.0
1412,KUBIS PANJANG CHINA - BESAR,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.2,4.14,4.033333333333333,4.04
1419,KACANG DAL BIASA (INDIA),1kg,BARANGAN KERING,KACANG,,,6.8,
1420,KACANG DAL MALAVI (INDIA),1kg,BARANGAN KERING,KACANG,9.0,9.0,9.0,9.0
1422,KACANG DAL (AUSTRALIA),1kg,BARANGAN KERING,KACANG,4.65,4.3999999999999995,4.25,4.15
1431,DAGING LEMBU TEMPATAN (BAHAGIAN 1 DAGING PAHA (KECUALI BATANG PINANG - TENDERLOIN),1kg,BARANGAN SEGAR,DAGING,35.0,30.0,32.5,32.5
1432,DAGING LEMBU TEMPATAN (BAHAGIAN 2 DAGING PEJAL (KECUALI BATANG PINANG - TENDERLOIN),1kg,BARANGAN SEGAR,DAGING,,25.0,25.0,25.0
