item_code,item,unit,item_group,item_category,2022-06-01,2022-06-08,2022-06-15,2022-06-22,2022-06-29
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,8.075,8.133333333333335,9.175,8.716666666666667,8.559999999999999
3,AYAM HIDUP,1kg,BARANGAN SEGAR,AYAM,6.05,6.7,6.05,7.025,7.025
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,33.0,33.2,33.333333333333336,34.333333333333336,33.333333333333336
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,38.0,38.0,38.0,38.0,38.0
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,,40.0,,40.0,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,19.766666666666666,19.075,19.075,19.766666666666666,19.766666666666666
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,14.0,14.375,14.6,14.5,14.285714285714286
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,13.466666666666667,13.299999999999999,13.966666666666667,11.975,13.0
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,1.9500000000000002,1.9333333333333333,1.7,1.9333333333333333,1.9333333333333333
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,7.566666666666666,7.55,7.566666666666666,9.05,9.566666666666666
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,7.5,7.5,7.5,9.5,9.5
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.46,3.642857142857143,3.875,3.5,3.375
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.675,4.483333333333333,4.1499999999999995,4.9799999999999995,4.75
114,TOMATO,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.216666666666667,4.63,5.0625,6.15,6.8125
118,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,4.233333333333333,4.1499999999999995,4.199999999999999,4.1499999999999995,4.166666666666667
119,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR,4.033333333333333,3.9666666666666663,4.0,3.9666666666666663,4.0
120,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,3.766666666666667,3.766666666666667,3.766666666666667,3.766666666666667,3.766666666666667
