item_code,item,unit,item_group,item_category,2023-05-02,2023-05-03,2023-05-05,2023-05-06,2023-05-07,2023-05-08,2023-05-09,2023-05-15,2023-05-16,2023-05-17,2023-05-18,2023-05-19,2023-05-20,2023-05-21,2023-05-22,2023-05-23,2023-05-24,2023-05-25,2023-05-26,2023-05-27,2023-05-28,2023-05-29,2023-05-30,2023-05-31
1915,IKAN JENAHAK (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,47.4,47.4,49.9,49.9,47.4,45.519999999999996,47.4,42.6,39.9,39.9,39.9,44.9,,44.9,43.43333333333334,44.9,44.9,44.9,42.9,42.9,40.4,43.675,40.4,40.4
1916,IKAN DEMUDUK/CUPAK/CERMIN (b	$ 3 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,27.19666666666667,,29.576,,,,,,,29.22,,,,,,,27.5,,
1917,IKAN PARANG (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,,,33.9,29.9,27.9,,27.9,15.8,32.9,32.9,33.9,33.9,33.9,33.9,24.15,25.4,33.9,24.9,20.9,20.9,20.9,22.900000000000002,16.9,16.9
1918,IKAN TERUBOK (b	$ 4 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,38.49,,,,,,,,,,,,,,,,,,
1919,UDANG PUTIH BESAR (ANTARA 20 HINGGA 30 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,38.9,,38.9,,,,,,,52.95,,,,,,,58.0,,
1920,KERANG (SAIZ SEDERHANA),1kg,BARANGAN SEGAR,BAHAN LAUT,13.5,16.2,16.433333333333334,16.433333333333334,16.433333333333334,15.836190476190476,15.2,16.41470588235294,14.2,14.2,15.133333333333333,14.2,16.433333333333334,16.433333333333334,16.525,13.5,13.5,16.433333333333334,16.599999999999998,16.599999999999998,16.599999999999998,16.362352941176468,15.45,15.45
1921,IKAN TILAPIA MERAH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,14.9,14.9,14.9,14.9,14.9,16.768571428571427,15.9,16.68344827586207,14.9,15.9,15.95,15.9,14.9,14.9,16.838846153846156,13.9,,13.9,13.9,13.9,13.9,16.696666666666665,13.9,19.7
1922,SADERI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.0,9.0,9.0,9.0,8.45,8.50063829787234,8.45,8.041296296296297,8.45,8.45,8.578,7.566666666666666,7.566666666666666,7.566666666666666,7.9424074074074085,8.9,8.65,8.65,8.65,8.65,8.65,7.810555555555555,8.45,6.895714285714286
1923,TERUNG BULAT,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.266666666666667,9.266666666666667,9.266666666666667,9.266666666666667,9.266666666666667,8.797209302325582,9.263333333333334,8.10063829787234,9.266666666666667,10.95,10.475,9.266666666666667,9.266666666666667,9.266666666666667,8.237317073170733,9.266666666666667,9.266666666666667,9.266666666666667,9.266666666666667,9.266666666666667,9.266666666666667,8.187209302325583,10.95,9.45
1924,SERBUK KUNYIT ALAGAPPAS,230g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),,,,,,4.88,,4.88,,,,,,,4.88,,,,,,,4.866666666666666,,
