item_code,item,unit,item_group,item_category,2022-03-01,2022-03-02,2022-03-03,2022-03-04,2022-03-05,2022-03-06,2022-03-07,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-12,2022-03-13,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-19,2022-03-20,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-26,2022-03-27,2022-03-28,2022-03-29,2022-03-30,2022-03-31
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,8.777291666666667,8.763813559322035,8.757438016528926,8.750088105726872,8.746694214876033,8.745991561181436,8.746239669421488,8.744122448979592,8.743016528925619,8.740983606557378,8.733621399176954,8.736854838709677,8.737235772357725,8.736451612903226,8.737755102040817,8.742116182572614,8.739,8.742240663900416,8.739914529914529,8.737033898305086,8.732458333333334,8.73376033057851,8.734339622641508,8.730617283950616,8.730208333333334,8.735833333333334,8.733086956521738,8.732605042016807,8.737872340425533,8.738033472803346,8.733423423423423
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,10.597297297297297,10.540875,10.587407407407408,10.575185185185186,10.553292682926829,10.543375000000001,10.517125,10.536666666666667,10.504404761904762,10.509397590361447,10.511547619047619,10.527764705882353,10.525116279069767,10.54952380952381,10.535238095238096,10.51452380952381,10.512727272727274,10.529772727272729,10.52232558139535,10.500344827586208,10.481627906976746,10.458571428571428,10.468205128205128,10.461500000000001,10.463780487804877,10.48710843373494,10.500348837209303,10.525357142857143,10.52219512195122,10.536951219512195,10.509880952380954
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,39.15695652173913,38.68125,38.752291666666665,39.36883720930233,39.33416666666667,39.04553191489362,39.10708333333333,39.090212765957446,39.030212765957444,39.298367346938775,39.185531914893616,39.03659574468085,39.28333333333333,39.09583333333333,39.227659574468085,39.116122448979596,38.954313725490195,39.056938775510204,39.0538,39.0538,38.87234042553192,39.32549019607843,39.55047619047619,38.9798,39.044489795918366,38.901666666666664,38.92041666666667,39.064375,38.99520833333333,39.0732,38.6134
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,,,,,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9,52.9
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,48.196666666666665,48.196666666666665,48.196666666666665,48.196666666666665,48.196666666666665,48.196666666666665,48.196666666666665,48.238,48.348333333333336,48.348333333333336,48.348333333333336,48.348333333333336,48.348333333333336,48.348333333333336,48.348333333333336,48.348333333333336,48.348333333333336,48.348333333333336,48.348333333333336,48.348333333333336,48.238,48.0725,48.0725,48.0725,48.238,48.238,48.238,48.238,48.196666666666665,48.196666666666665,48.196666666666665
12,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - NEW ZEALAND),1kg,BARANGAN SEGAR,DAGING,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,20.1071875,19.932028985507245,20.068405797101445,19.987246376811594,19.994492753623188,19.83985294117647,19.940142857142856,19.868260869565216,19.897285714285715,19.905942028985507,19.976716417910446,19.937692307692306,20.043333333333333,20.04820895522388,19.946338028169013,19.991408450704224,19.9158904109589,20.019367088607595,19.949506172839506,19.937160493827157,19.85282051282051,20.04653846153846,20.013802816901407,19.653461538461535,19.56897435897436,19.418051948051946,19.466666666666665,19.498734177215187,19.55696202531645,19.5312987012987,19.75973333333333
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.483154761904762,4.483743315508022,4.4736756756756755,4.473611111111111,4.491237113402062,4.4873039215686275,4.4804522613065325,4.47029702970297,4.459708737864078,4.566323529411765,4.59025,4.60755,4.602829268292683,4.6120812182741115,4.618144329896907,4.646386138613861,4.639900497512438,4.630679611650486,4.6411004784689,4.635196078431373,4.59171875,4.591069518716577,4.656190476190476,4.6475,4.67515625,4.698724489795919,4.699162561576355,4.715809523809524,4.766,4.69352380952381,4.6342592592592595
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.084609929078015,5.108982035928144,5.0462209302325585,5.031392405063292,5.033333333333333,5.056785714285714,5.067962962962963,5.067423312883435,5.048363636363637,5.081533742331288,5.075952380952381,5.093063583815029,5.094252873563219,5.0944318181818184,5.087630057803468,5.092905027932961,5.075561797752809,5.084808743169399,5.104065934065934,5.111467391304347,5.100505617977528,5.098863636363637,5.14275,5.097848837209303,5.059941176470589,5.062768361581921,5.06434065934066,5.0611173184357545,5.0532352941176475,5.047865168539326,5.028852459016394
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.843921568627452,5.680000000000001,5.684074074074074,5.732549019607843,5.675535714285714,5.624,5.595,5.514375,5.484285714285715,5.475087719298245,5.55,5.591746031746032,5.560161290322581,5.559,5.526779661016949,5.637368421052631,5.686551724137931,5.668688524590165,5.519402985074627,5.493913043478261,5.556716417910448,5.511111111111111,5.565714285714286,5.558548387096774,5.505079365079365,5.525161290322581,5.514655172413794,5.535769230769231,5.529454545454546,5.671785714285714,5.6
