item_code,item,unit,item_group,item_category,2022-03-02,2022-03-03,2022-03-05
1311,TEH 'O' LIMAU PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.5239436619718312,1.54,1.2
1312,Teh Panas,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.6155555555555556,1.72,1.2
1314,TEH HALIA PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.9515337423312884,2.0,1.5
1315,NESCAFE PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.9972602739726029,2.04,1.9
1317,NESLO PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,2.4295566502463055,2.3,2.1
1318,HORLICKS PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,2.1887283236994217,2.2333333333333334,2.5
1319,MILO PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,2.0345982142857144,2.04,2.0
1320,BARLI PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.8201438848920863,1.775,
1321,MILO 'O' PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.8852017937219732,1.78,1.8
1322,AIR KOSONG,gelas besar,MAKANAN SIAP MASAK,MINUMAN,0.3087378640776699,0.3,0.25
1339,JUS EPAL,segelas,MAKANAN SIAP MASAK,MINUMAN,3.4204022988505747,3.4333333333333336,
1340,JUS MANGGA,segelas,MAKANAN SIAP MASAK,MINUMAN,3.8284090909090907,,
1341,JUS TEMBIKAI,segelas,MAKANAN SIAP MASAK,MINUMAN,3.546521739130435,3.4333333333333336,
1343,JUS BELIMBING,segelas,MAKANAN SIAP MASAK,MINUMAN,3.809375,3.5,
1344,JUS LAICI,segelas,MAKANAN SIAP MASAK,MINUMAN,2.9696774193548388,3.1666666666666665,
1358,ROTI SARDIN,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,3.7879310344827584,4.0,
1359,KOPI 'O' PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.3342105263157895,1.34,1.0
1360,TEH 'O' PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.1615384615384614,1.1400000000000001,1.0
1469,NESCAFE ''O'' PANAS,gelas kecil,MAKANAN SIAP MASAK,MINUMAN,1.6765765765765765,1.8199999999999998,1.8
1728,NASI GORENG BIASA,sepinggan,MAKANAN SIAP MASAK,NASI,5.022758620689655,5.5,5.0
1729,NASI GORENG SEAFOOD,sepinggan,MAKANAN SIAP MASAK,NASI,7.498290598290598,6.5,7.0
1730,MI GORENG BIASA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,4.765868263473053,5.0,5.0
