item_code,item,unit,item_group,item_category,2024-11-06,2024-11-13,2024-11-20,2024-11-27
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,8.7375,8.414285714285715,8.5,8.416666666666666
3,AYAM HIDUP,1kg,BARANGAN SEGAR,AYAM,6.8,,,6.8
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,25.666666666666668,23.0,24.25,25.666666666666668
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,41.5,45.0,41.5,41.5
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,19.666666666666668,18.25,19.833333333333332,20.5
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,14.75,13.0,14.0,13.8
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.5,11.0,11.833333333333334,12.2
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,2.2666666666666666,2.45,2.966666666666667,2.7
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,8.5,10.5,11.0,9.0
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,7.0,7.25,7.25,8.0
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.375,3.644444444444444,3.611111111111111,3.7857142857142856
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.0,4.5,4.333333333333333,4.75
114,TOMATO,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.2,3.15,3.3333333333333335,4.214285714285714
118,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,4.0,3.9,4.1000000000000005,4.05
119,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR,3.85,3.7,3.9,4.0
120,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,3.5,3.65,3.65,
131,BAWANG KECIL MERAH ROSE IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,6.75,9.0,8.0,7.75
132,BAWANG KECIL MERAH IMPORT (THAILAND),1kg,BARANGAN KERING,BAWANG,11.5,15.0,15.5,15.5
368,KACANG TANAH (IMPORT),1kg,BARANGAN KERING,KACANG,7.583333333333333,7.75,7.875,8.0
1128,LADA BENGGALA HIJAU (CAPSICUM),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.271428571428572,9.6,10.5,10.75
1131,UBI KENTANG IMPORT (CHINA),1kg,BARANGAN KERING,UBI KENTANG,2.8579999999999997,3.0,2.848333333333333,3.02
