item_code,item,unit,item_group,item_category,2024-10-02,2024-10-09,2024-10-16,2024-10-23,2024-10-30
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,8.233333333333333,8.38888888888889,8.709999999999999,8.828571428571427,8.6375
3,AYAM HIDUP,1kg,BARANGAN SEGAR,AYAM,6.8,6.8,,6.8,
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,25.666666666666668,23.666666666666668,24.0,24.0,24.0
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,,,41.5,41.5,41.5
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,19.666666666666668,18.5,19.375,19.375,19.833333333333332
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,13.6,13.571428571428571,13.25,13.285714285714286,12.428571428571429
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,11.714285714285714,11.12857142857143,11.16,9.78,11.4
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,1.975,1.975,2.0,1.9000000000000001,1.6
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,7.3,7.45,7.3,7.3,7.3
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,7.0,6.75,6.833333333333333,6.833333333333333,6.833333333333333
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.5500000000000003,3.4714285714285715,3.357142857142857,3.3000000000000003,3.2285714285714286
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.9166666666666665,4.18,4.333333333333333,4.0,4.2
114,TOMATO,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.8899999999999997,3.8899999999999997,3.71,3.4,3.72
118,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,4.0,4.1000000000000005,4.2,4.05,4.1000000000000005
119,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR,3.85,4.0,4.0,3.9,3.9
120,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,3.5,3.8,3.8,3.65,3.5
131,BAWANG KECIL MERAH ROSE IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,7.75,9.5,6.375,8.316666666666666,5.475
132,BAWANG KECIL MERAH IMPORT (THAILAND),1kg,BARANGAN KERING,BAWANG,11.0,11.0,11.0,11.0,12.0
368,KACANG TANAH (IMPORT),1kg,BARANGAN KERING,KACANG,7.7,7.56,7.959999999999999,7.75,8.125
1128,LADA BENGGALA HIJAU (CAPSICUM),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.5,9.55,9.175,9.875,9.285714285714286
1131,UBI KENTANG IMPORT (CHINA),1kg,BARANGAN KERING,UBI KENTANG,2.642857142857143,2.5833333333333335,2.5816666666666666,2.712857142857143,2.965
1367,DAGING PAHA KAMBING BEBIRI IMPORT BERTULANG  (MUTTON) (AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,29.5,28.5,27.333333333333332,27.333333333333332,27.333333333333332
1369,DAGING KAMBING TEMPATAN BERTULANG,1kg,BARANGAN SEGAR,DAGING,48.0,48.0,48.0,48.0,48.0
1370,DAGING LEMBU IMPORT (TOPSIDE),1kg,BARANGAN SEGAR,DAGING,,16.0,16.0,16.0,16.5
1371,DAGING LEMBU IMPORT (BLADE),1kg,BARANGAN SEGAR,DAGING,,15.1,15.1,15.1,15.5
1373,DAGING LEMBU IMPORT (KNUCKLE),1kg,BARANGAN SEGAR,DAGING,,15.4,15.4,15.4,
1374,DAGING KERBAU TEMPATAN,1kg,BARANGAN SEGAR,DAGING,35.0,35.0,35.0,35.0,35.0
1375,DAGING KERBAU IMPORT (INDIA) * (SILVERSIDE),1kg,BARANGAN SEGAR,DAGING,18.25,18.166666666666668,18.625,18.625,19.0
1376,DAGING KERBAU IMPORT (INDIA) * (RUMP),1kg,BARANGAN SEGAR,DAGING,19.0,18.0,18.5,18.75,18.75
1377,DAGING KERBAU IMPORT (INDIA) * (BLADE),1kg,BARANGAN SEGAR,DAGING,17.066666666666666,17.175,17.54,17.54,18.125
