item_code,item,unit,item_group,item_category,2025-11-01,2025-11-02,2025-11-03,2025-11-04,2025-11-05,2025-11-06,2025-11-07,2025-11-08,2025-11-09,2025-11-10,2025-11-11,2025-11-12,2025-11-13,2025-11-14,2025-11-16,2025-11-17,2025-11-18,2025-11-19,2025-11-20,2025-11-21,2025-11-22,2025-11-23,2025-11-24,2025-11-25,2025-11-26,2025-11-27,2025-11-28,2025-11-29,2025-11-30
1928,LIMAU KASTURI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,6.2725,6.338823529411765,7.81716723549488,6.515294117647059,6.2975,6.318,6.5842857142857145,6.509411764705882,6.32875,7.720918367346938,6.2975,6.250588235294118,6.32875,6.378,6.41,7.695460750853242,6.540625,6.725714285714285,6.937333333333333,6.576666666666667,6.554285714285714,6.726428571428571,7.5834859154929575,6.050666666666667,5.917333333333334,5.9835714285714285,6.513076923076923,6.365555555555556,6.552307692307693
1929,SANTAN KELAPA SEGAR (PEKAT),1kg,BARANGAN SEGAR,KELAPA,,,14.5,,,,,,,14.99,,,,,,14.741666666666667,,,,,,,14.99,,,,,,
1931,BAWANG BESAR IMPORT (PAKISTAN),1kg,BARANGAN KERING,BAWANG,,,3.298076923076923,,,,,,,3.4431818181818183,,,,,,3.445238095238095,,,,,,,3.4704545454545452,,,,,,
1937,MINYAK MASAK TULEN CAP SAJI,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,6.899703703703704,,,,,,,6.899776119402985,,,,,,6.8996992481203,,,,,,,6.89968,,,,,,
1938,MINYAK MASAK TULEN CAP SAJI,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,13.28513422818792,,,,,,,13.2836013986014,,,,,,13.283172413793103,,,,,,,13.282919708029198,,,,,,
1939,MINYAK MASAK TULEN CAP SAJI,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,30.776419354838705,,,,,,,30.780310344827583,,,,,,30.771713286713283,,,,,,,30.768594771241826,,,,,,
1940,MINYAK MASAK TULEN CAP ALIF,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,6.9,,,,,,,6.9,,,,,,6.9,,,,,,,6.9,,,,,,
1941,MINYAK MASAK TULEN CAP ALIF,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,13.3,,,,,,,13.3,,,,,,13.3,,,,,,,13.3,,,,,,
1942,MINYAK MASAK TULEN CAP ALIF,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,30.898507462686563,,,,,,,30.898275862068964,,,,,,30.89807692307692,,,,,,,30.899999999999995,,,,,,
1944,KACANG SOYA (IMPORT),1kg,BARANGAN KERING,KACANG,,,7.121111111111111,,,,,,,7.121111111111111,,,,,,7.121111111111111,,,,,,,7.121111111111111,,,,,,
1947,SERBUK PENAIK ROYAL (TIN),113g,BARANGAN BERBUNGKUS,ESEN DAN RAGI,,,6.26125,,,,,,,6.26125,,,,,,6.315,,,,,,,6.315,,,,,,
1951,BERAS SUPER CAP 3A BOY (IMPORT),10 kg,BARANGAN BERBUNGKUS,BERAS,,,29.66382352941176,,,,,,,29.632058823529412,,,,,,29.59060606060606,,,,,,,29.560303030303032,,,,,,
1953,KRIMER MANIS PEKAT CAP SAJI,500 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,,,3.4125588235294115,,,,,,,3.4134242424242425,,,,,,3.4113872832369947,,,,,,,3.4144897959183678,,,,,,
