item_code,item,unit,item_group,item_category,2025-10-01,2025-10-02,2025-10-03,2025-10-04,2025-10-05,2025-10-06,2025-10-07,2025-10-08,2025-10-09,2025-10-10,2025-10-11,2025-10-12,2025-10-13,2025-10-14,2025-10-15,2025-10-16,2025-10-17,2025-10-18,2025-10-19,2025-10-20,2025-10-21,2025-10-22,2025-10-23,2025-10-24,2025-10-25,2025-10-26,2025-10-27,2025-10-28,2025-10-29,2025-10-30,2025-10-31
52,KEPALA IKAN JENAHAK,1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,22.9,,,,,,,22.9,,,22.9,,,,,,,,,,,22.9,,,,
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,15.824285714285713,16.225,15.315999999999999,15.063333333333333,15.881666666666666,14.760348837209303,14.038571428571428,11.626666666666667,11.293333333333335,15.1725,14.3225,13.975999999999999,14.66164705882353,13.29375,14.624285714285715,15.207575757575757,13.33375,12.756,13.516,9.796666666666667,13.90857142857143,13.795,13.197142857142856,12.979999999999999,12.9975,12.812857142857142,13.711744186046513,11.896666666666667,13.053333333333335,13.275555555555556,13.197777777777778
64,KEPALA IKAN MERAH,1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,,,,,,,,,,24.9,,,,,,,,,,,24.9,,,,
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,14.13,15.463333333333333,15.5725,13.638,14.6725,14.074594594594595,13.6725,12.458,12.631666666666668,12.8475,13.3475,12.078,13.374615384615385,12.648333333333333,13.148333333333333,13.627560975609757,13.276,13.466666666666667,11.0,11.2,10.9,13.9,14.95,14.45,13.9,15.9,13.373783783783784,13.7975,13.357999999999999,14.2225,12.038
70,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,20.04,19.783749999999998,19.81,20.524285714285714,19.70875,19.980337078651687,20.335,22.240000000000002,20.822499999999998,20.43111111111111,19.384285714285713,19.918,19.442784810126582,18.674444444444443,18.981428571428573,19.224375,18.535,18.282857142857143,19.111428571428572,,20.45285714285714,19.954285714285714,21.32125,20.895714285714284,20.752857142857142,19.509999999999998,19.406363636363636,19.046666666666667,18.8725,18.62125,20.145
88,IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,10.3675,10.3675,10.3675,10.274000000000001,10.3675,10.50093023255814,10.3675,10.3675,10.3675,10.3675,10.3675,10.3675,10.383625,10.274000000000001,10.274000000000001,10.434999999999999,10.274000000000001,10.3675,10.3675,9.86,10.274000000000001,10.3675,10.274000000000001,10.274000000000001,10.274000000000001,10.274000000000001,10.397333333333334,10.274000000000001,10.274000000000001,10.274000000000001,10.354000000000001
92,CILI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,14.404285714285715,14.404285714285715,14.404285714285715,14.404285714285715,14.305,13.450878048780487,14.08,13.6525,13.38,13.524444444444445,13.0275,13.457777777777778,13.413303571428571,13.152000000000001,13.152000000000001,13.5234375,13.681999999999999,13.924444444444443,14.113333333333333,15.931111111111111,14.446666666666667,14.446666666666667,14.901,14.331,14.371,14.055454545454545,13.416739130434783,13.964545454545453,13.964545454545453,14.746666666666666,15.08
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,15.074444444444445,14.71888888888889,15.042222222222222,15.147499999999999,15.0975,16.0751376146789,15.1225,15.785,15.154285714285715,15.0725,15.525714285714287,15.545,16.114324324324325,14.74625,14.84,15.130090090090091,14.070000000000002,14.481666666666667,14.481666666666667,,14.712857142857144,14.627142857142857,14.148333333333333,14.3475,14.754285714285714,15.052857142857144,15.512222222222222,15.224285714285713,15.311666666666667,14.60875,14.60875
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,19.965,20.279999999999998,20.06625,19.94125,19.94125,16.14316091954023,18.00875,18.224444444444444,18.00875,18.224444444444444,16.2325,18.00222222222222,15.887664670658681,15.89,15.89,15.026107382550334,15.31857142857143,14.913333333333334,14.913333333333334,15.702777777777776,15.15375,15.358888888888892,15.625833333333333,15.637272727272727,16.101,16.101,15.547441860465115,16.45777777777778,16.45777777777778,16.235555555555557,17.56888888888889
95,HALIA BASAH (TUA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.291666666666666,10.291666666666666,10.133684210526317,10.02842105263158,10.038947368421054,10.62831707317073,9.747222222222222,9.5475,9.550526315789474,9.671052631578947,9.91923076923077,9.808333333333334,10.590471464019851,9.692105263157895,9.66578947368421,10.704414893617022,9.72842105263158,9.841111111111111,9.86888888888889,9.422333333333334,9.702105263157895,9.647,9.672,9.712631578947368,9.712631578947368,9.754736842105263,10.631080402010051,9.691578947368422,9.754736842105263,9.707368421052632,9.57
96,KACANG BENDI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,8.230833333333335,7.989230769230769,7.99,7.773846153846154,7.989166666666667,8.778424657534247,8.261428571428572,8.347142857142858,8.420769230769231,8.451538461538462,8.897272727272728,8.855,9.011063122923588,9.262500000000001,8.856666666666666,9.112906574394463,9.21,9.109375,9.383333333333333,9.4125,9.311428571428573,9.322666666666667,9.0775,9.161176470588236,9.237647058823528,9.346875,9.494238410596028,9.297333333333334,9.56,9.590666666666667,9.454285714285716
97,KACANG BUNCIS,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.431999999999999,10.491428571428571,10.329230769230769,10.775,10.49076923076923,12.327605633802817,10.726428571428572,10.116363636363637,10.379000000000001,10.99888888888889,10.963333333333333,10.506363636363636,12.214713804713805,10.274615384615384,10.223333333333334,12.058876811594203,10.906363636363636,10.980833333333335,10.857000000000001,12.720769230769232,10.361818181818181,10.833636363636364,11.015454545454546,10.797272727272729,11.312307692307693,10.847857142857142,12.080106007067139,10.865,11.284666666666668,11.31625,11.611333333333334
98,KACANG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,7.281666666666666,7.1066666666666665,7.096923076923077,7.239166666666667,7.366923076923078,8.2213074204947,7.3175,7.591428571428572,7.378,7.523125,8.131666666666666,7.579375000000001,8.19173285198556,7.197692307692308,7.15923076923077,8.215962962962962,7.273076923076923,7.360714285714287,7.421875,6.944090909090909,7.385625,7.291875,7.158,6.876428571428571,7.078,7.066923076923077,8.227553956834534,7.558000000000001,7.46235294117647,7.450588235294117,7.235
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,,,,,,3.3840677966101693,,,,,,,3.3593333333333333,,,3.3501694915254236,,,,,,,,,,,3.333606557377049,,,,
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,,,,,,12.992307692307692,,,,,,,12.992307692307692,,,11.733333333333333,,,,,,,,,,,12.076923076923077,,,,
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,,,,,,9.977916666666667,,,,,,,10.0075,,,9.768461538461539,,,,,,,,,,,9.608571428571429,,,,
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.178181818181818,3.1216666666666666,3.0549999999999997,2.996153846153846,2.960714285714286,3.3725980392156862,2.917857142857143,3.025714285714286,2.920769230769231,3.0264705882352945,2.686,2.9970588235294118,3.340841584158416,3.0406250000000004,2.985294117647059,3.2753179190751447,3.046875,3.0088235294117647,3.0264705882352945,3.981923076923077,3.0264705882352945,3.0805555555555557,3.0558823529411767,3.138235294117647,3.138235294117647,3.0805555555555557,3.3735096153846156,3.052777777777778,3.1088235294117648,3.085294117647059,3.085294117647059
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.2925,4.3675,4.6175,4.4925,4.326666666666667,4.794938271604938,4.970000000000001,4.974,4.974,4.994,5.014,5.034000000000001,4.868125,5.152,4.7219999999999995,4.835512820512821,5.172,5.172,5.172,,4.765000000000001,5.192,5.192,5.192,4.832,4.832,5.146315789473684,5.0120000000000005,5.140000000000001,4.952,4.4425
108,KUNYIT HIDUP,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.881666666666668,10.965000000000002,10.965000000000002,10.856666666666667,10.935454545454546,11.166029411764706,10.935454545454546,10.935454545454546,10.534,10.935454545454546,11.533333333333333,11.149166666666666,11.124014598540146,10.799090909090909,10.9825,11.20724907063197,10.976153846153846,10.976153846153846,10.976153846153846,10.356666666666666,11.167692307692308,11.473333333333334,11.167692307692308,11.167692307692308,11.167692307692308,10.905714285714286,11.20236559139785,10.905714285714286,10.905714285714286,10.905714285714286,10.905714285714286
109,LOBAK MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.7527777777777778,3.7270588235294118,3.686111111111111,3.620588235294118,3.67875,4.2040625,3.632857142857143,3.6373333333333333,3.580833333333333,3.6750000000000003,3.647,3.797692307692308,4.226440129449839,3.525714285714286,3.7250000000000005,4.179825174825175,3.5653846153846156,3.845833333333333,3.7550000000000003,4.229259259259259,3.6964285714285716,3.68375,3.6093333333333333,3.7462500000000003,3.8275,3.9226666666666667,4.172876254180602,3.9493333333333336,3.7150000000000003,3.702352941176471,3.7150000000000003
113,TIMUN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.046666666666667,3.847777777777778,3.8583333333333334,3.8094117647058825,3.7682352941176473,4.287038327526132,3.7264705882352938,3.77125,3.8560000000000003,3.9166666666666665,3.8963636363636365,3.978235294117647,4.429044585987262,4.013333333333333,3.9683333333333337,4.5479452054794525,3.964736842105263,3.9572222222222226,3.92,3.9012000000000002,3.95,4.201052631578948,4.137894736842106,4.158947368421052,4.09578947368421,4.028421052631579,4.371191222570533,4.1376470588235295,4.096470588235294,4.120588235294117,4.161176470588236
