item_code,item,unit,item_group,item_category,2023-02-01,2023-02-02,2023-02-03,2023-02-04,2023-02-05,2023-02-06,2023-02-07,2023-02-08,2023-02-10,2023-02-11,2023-02-12,2023-02-13,2023-02-14,2023-02-15,2023-02-16,2023-02-17,2023-02-18,2023-02-19,2023-02-20,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-25,2023-02-26,2023-02-27,2023-02-28
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,8.650555555555556,8.698514851485148,8.687623762376239,8.703465346534653,8.985,8.754390243902439,8.693823529411766,8.694019607843138,8.727722772277227,8.742058823529412,8.73607843137255,8.746435643564356,8.753267326732674,8.7449,8.7449,8.75029702970297,8.773827160493829,8.73319587628866,8.761188118811882,8.775049504950495,8.8119,8.817448979591838,8.827722772277228,8.814100000000002,8.8172,8.83969696969697,8.8452
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,11.175135135135136,11.098780487804879,11.108500000000001,11.108500000000001,11.488076923076923,11.325483870967743,11.098780487804879,11.082142857142859,11.06219512195122,11.062439024390246,11.12625,11.181025641025641,11.183333333333334,11.16375,11.127619047619048,11.226486486486486,11.274000000000001,11.355937500000001,11.278484848484851,11.278787878787881,11.3,11.26939393939394,11.22,11.165428571428572,11.236875000000001,11.26939393939394,11.274516129032257
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,37.345862068965516,38.47176470588235,38.44083333333334,38.17057142857143,36.39,37.481818181818184,37.72138888888889,37.978857142857144,38.9674358974359,38.9674358974359,39.16974358974359,39.148823529411764,38.96621621621622,38.85628571428572,38.69361111111111,38.39111111111111,38.33714285714286,38.561470588235295,38.61027777777778,38.76861111111111,38.76861111111111,38.78764705882353,38.5221875,38.59733333333334,38.55516129032258,38.699696969696966,38.77314285714286
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,59.9,59.9,59.9,59.9,,,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9,59.9
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,24.67125,24.023636363636363,24.023636363636363,23.677,23.3,24.1725,24.195714285714285,24.195714285714285,24.195714285714285,24.195714285714285,24.195714285714285,24.124285714285715,24.270833333333332,24.116,24.526,24.296363636363637,23.57222222222222,23.375454545454545,23.171538461538457,23.556153846153848,23.34733333333333,23.450714285714287,23.716923076923077,24.0275,23.610833333333332,23.0275,23.178461538461537
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.95551282051282,4.896559139784946,4.90625,4.880444444444445,4.590909090909091,4.735263157894737,5.058764044943819,4.99695652173913,4.951250000000001,4.924943820224719,4.948620689655173,4.934673913043478,4.922234042553192,4.899684210526315,4.877446808510638,4.855612244897959,4.895802469135803,4.885604395604396,4.787741935483871,4.779784946236559,4.813804347826087,4.843,4.883720930232558,4.874712643678161,4.9046067415730334,4.927375,4.9319753086419755
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.742222222222223,6.810612244897959,6.694285714285715,6.674230769230769,6.945555555555555,6.821111111111112,6.76,6.753541666666667,6.901739130434783,6.850212765957447,6.795800000000001,6.834038461538461,6.815178571428572,6.853061224489796,6.835,6.861000000000001,6.8326829268292695,6.814166666666668,6.760454545454547,6.704047619047619,6.694615384615384,6.752777777777778,6.86139534883721,6.739285714285715,6.73952380952381,6.832,6.785744680851064
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,6.416799999999999,6.208484848484848,6.327666666666667,6.510357142857143,6.9175,6.92625,6.6712,6.527391304347826,6.561923076923076,6.42264705882353,6.4584210526315795,6.583636363636363,6.622592592592593,6.679666666666666,6.9565624999999995,7.019375,6.9065625,6.688684210526316,6.627105263157894,6.5932258064516125,6.8870000000000005,6.978125,6.8406666666666665,6.817931034482758,6.807083333333334,6.751538461538461,6.8134482758620685
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.42,4.897857142857143,4.859310344827587,4.890357142857143,3.9711111111111115,4.1657142857142855,4.845294117647059,4.898125,4.901612903225806,4.965333333333334,4.901612903225806,4.855333333333333,4.956071428571429,4.949999999999999,4.901666666666667,4.741666666666666,4.648333333333334,4.7196875,4.921333333333333,4.911379310344828,4.965714285714285,4.8975,4.751935483870968,4.75516129032258,4.842424242424243,4.8808823529411764,4.921290322580645
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.140625,3.9653260869565217,3.886,3.838,3.788148148148148,3.8648936170212767,3.808653846153846,3.8262376237623763,3.8962,3.9093,3.9302000000000006,3.9544329896907215,4.006666666666667,4.0085858585858585,4.2233,4.369800000000001,4.4073493975903615,4.377368421052632,4.388061224489796,4.436435643564356,4.481717171717172,4.6343,4.619693877551021,4.651458333333333,4.705161290322581,4.878333333333334,4.94
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,11.218837209302325,11.038163265306123,10.84125,10.610425531914894,11.30913043478261,10.649473684210527,10.774468085106383,10.662083333333333,10.567333333333334,10.594222222222223,10.72953488372093,10.742380952380952,10.411162790697675,10.441500000000001,10.340232558139535,10.094782608695652,10.302105263157895,9.9575,10.280666666666667,10.386363636363637,10.335909090909091,10.330238095238096,10.215581395348837,10.324146341463415,10.40525,10.45135135135135,10.605128205128207
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.833428571428572,5.9418750000000005,5.96972972972973,5.975135135135136,5.715263157894737,5.861935483870968,5.884745762711864,5.867142857142857,5.8092452830188686,5.814181818181819,5.88640625,5.929062500000001,5.935076923076924,5.961746031746032,6.062222222222222,6.1760294117647065,6.033454545454546,6.0684615384615395,6.104761904761905,5.936346153846154,6.127592592592593,6.343114754098361,6.264098360655738,6.2671875,6.383181818181819,6.238103448275862,6.273265306122449
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,3.7363855421686747,3.7681720430107526,3.85367816091954,3.8920238095238098,3.83578947368421,3.774736842105263,3.8670000000000004,3.8568478260869568,3.84625,3.8366326530612245,3.8208080808080807,3.7959793814432987,3.8026262626262626,3.8027551020408166,3.8029896907216494,3.804787234042553,3.8141558441558443,3.798494623655914,3.7915306122448977,3.795638297872341,3.8137373737373736,3.81875,3.8447422680412373,3.8710309278350516,3.849690721649485,3.8559374999999996,3.869895833333333
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,12.230175438596492,12.055000000000001,11.966229508196722,11.951803278688526,14.337222222222222,12.988461538461538,12.137169811320755,12.293,13.172826086956523,13.036956521739132,12.974,13.045227272727272,12.8758,12.763584905660379,12.78245283018868,12.87648148148148,13.046923076923077,12.836400000000001,12.68109090909091,12.749444444444444,12.942542372881356,14.631730769230769,15.181224489795916,15.434230769230767,15.621176470588237,15.536739130434782,15.652499999999998
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,1.1320000000000001,1.1320000000000001,1.114,1.114,1.17,1.134,1.0933333333333335,1.012,0.9899999999999999,1.0899999999999999,1.0899999999999999,0.9899999999999999,0.9899999999999999,0.885,0.885,1.085,1.085,1.085,1.085,1.3533333333333333,1.3533333333333333,1.3533333333333333,1.3533333333333333,1.3533333333333333,1.3533333333333333,1.46,1.46
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,7.6974193548387095,7.766578947368421,7.761707317073171,7.728913043478261,7.6626315789473685,7.894400000000001,7.721590909090909,7.626046511627908,7.704081632653061,7.697916666666667,7.683673469387755,7.692708333333333,7.758,7.717209302325582,7.609767441860466,7.62452380952381,7.779444444444445,7.748749999999999,7.737804878048781,7.747727272727274,7.699777777777778,7.632391304347827,7.56695652173913,7.592954545454546,7.56695652173913,7.5830612244897955,7.574
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,10.181666666666667,10.510303030303032,10.578709677419354,10.498125,9.737142857142857,9.929285714285713,10.318275862068965,10.455,10.294516129032258,10.185454545454546,10.341944444444444,10.66151515151515,10.703823529411764,10.760000000000002,10.731388888888889,10.61225,10.815882352941177,10.723947368421053,10.621315789473684,10.482051282051282,10.416829268292684,10.504285714285714,10.670487804878048,10.684871794871796,10.501904761904763,10.545897435897436,10.519499999999999
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,25.90086956521739,25.107599999999998,25.180384615384614,25.05730769230769,26.129285714285714,25.408421052631578,24.98074074074074,24.991481481481483,25.1152,25.12,25.1544,25.0752,25.0752,25.187307692307687,25.187307692307687,25.12,25.417368421052632,25.222727272727273,25.547037037037036,25.547037037037036,25.45307692307692,25.407916666666665,25.3512,25.2668,25.366249999999997,25.603461538461538,25.526538461538458
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,9.862745098039216,9.718035714285715,9.690566037735849,9.69811320754717,9.755833333333333,9.700384615384616,9.993148148148148,10.026964285714286,9.816545454545457,9.897777777777778,9.835,9.950555555555557,10.18537037037037,10.193035714285715,10.247547169811321,10.837045454545455,11.054146341463415,11.342250000000002,10.60576923076923,10.160377358490566,10.241636363636365,10.270185185185186,10.40157894736842,10.384915254237288,10.29867924528302,10.254107142857142,10.259607843137255
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,10.786857142857144,10.70659090909091,11.372702702702703,11.251891891891892,11.35625,10.95,11.015833333333333,11.005531914893616,11.08891891891892,11.303055555555554,10.886666666666667,10.976923076923077,11.246363636363636,10.959117647058823,11.088387096774193,11.360000000000001,11.450454545454546,10.98923076923077,11.3246875,11.46542857142857,11.11780487804878,11.266756756756758,11.213243243243243,11.233157894736843,11.176410256410255,11.18,11.20029411764706
51,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,42.08,42.04571428571428,42.04571428571428,42.30266666666667,,42.56666666666666,42.492666666666665,42.583846153846146,42.580625,42.56055555555555,42.768125,42.574374999999996,42.636874999999996,42.636874999999996,42.53470588235294,42.35823529411764,42.42235294117647,42.38833333333333,42.324374999999996,42.01933333333333,42.03769230769231,42.518125,42.35823529411764,42.38833333333333,42.352666666666664,42.386875,42.386875
52,KEPALA IKAN JENAHAK,1kg,BARANGAN SEGAR,BAHAN LAUT,32.29157894736842,30.213,30.520555555555557,30.781764705882352,37.99,37.99,30.711875,30.929285714285715,29.434000000000005,29.5885,29.743000000000002,29.583333333333332,29.83318181818182,31.426499999999997,30.444736842105264,30.68722222222222,28.226666666666667,29.015555555555554,29.902499999999996,30.175555555555555,27.958500000000004,29.49888888888889,29.7935,28.075909090909093,29.46952380952381,28.904000000000003,29.208500000000004
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,15.830689655172414,15.808285714285713,15.836774193548386,15.918648648648649,14.846666666666666,15.450000000000001,16.252285714285716,16.57194444444444,16.446764705882355,16.294117647058822,16.37764705882353,16.657647058823528,16.68472222222222,16.547435897435896,16.068684210526317,15.633,15.549090909090909,15.782777777777776,15.48128205128205,15.712368421052632,15.659736842105264,15.668823529411766,15.66029411764706,15.52125,15.417,16.04441176470588,15.976388888888888
60,IKAN MERAH (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,48.044,48.56736842105263,47.75521739130434,47.61681818181818,46.945,43.964444444444446,47.27739130434782,48.2795,47.903333333333336,47.980000000000004,47.980000000000004,48.6224,48.32708333333333,48.78521739130434,48.54791666666667,48.280454545454546,47.87,48.154399999999995,48.16607142857142,47.806,47.69285714285714,47.34791666666666,47.260416666666664,47.677083333333336,48.302083333333336,48.302083333333336,47.62
64,KEPALA IKAN MERAH,1kg,BARANGAN SEGAR,BAHAN LAUT,33.95727272727272,32.52285714285714,32.221818181818186,32.52285714285714,33.754,37.355000000000004,31.76913043478261,32.10791666666667,31.902962962962963,32.6632,32.47095238095238,32.103199999999994,31.820000000000004,33.28904761904762,32.64652173913044,32.910833333333336,31.311052631578953,31.311052631578953,32.468333333333334,33.3692,32.964999999999996,32.91916666666667,33.4384,33.036538461538456,32.812592592592594,33.33307692307692,32.698214285714286
65,IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,19.556,20.095714285714283,21.263333333333335,21.288181818181815,18.0,18.95,21.932727272727274,22.569090909090907,21.995454545454546,22.995555555555555,23.43857142857143,21.009999999999998,21.718,20.929999999999996,19.936,20.929999999999996,20.929999999999996,20.429999999999996,22.364285714285717,22.994444444444444,22.71272727272727,22.233999999999998,23.285,23.203636363636363,22.68583333333333,23.203636363636363,23.105454545454545
66,IKAN PARANG (ANTARA 1 HINGGA 3 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,24.4925,24.55,24.308333333333334,24.371999999999996,,23.99,24.371999999999996,23.99,24.717499999999998,24.959999999999997,24.717499999999998,24.772,24.572,24.474999999999998,24.717499999999998,24.572,24.572,24.474999999999998,24.717499999999998,24.323333333333334,24.323333333333334,24.323333333333334,24.323333333333334,24.717499999999998,24.572,24.626666666666665,23.99
68,IKAN PARI (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,26.79179487179487,28.909318181818183,30.191707317073167,29.5858,22.19545454545454,25.86260869565217,29.475714285714286,28.980208333333334,28.83173076923077,29.26372549019608,29.194444444444443,29.480263157894736,28.84780487804878,28.53538461538462,27.98909090909091,28.21404761904762,29.32133333333333,29.52333333333333,29.00704545454545,28.83204545454545,28.746888888888886,29.087045454545454,28.95108695652174,29.309615384615384,29.046862745098036,28.169629629629632,28.0131914893617
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,11.745,12.000930232558138,12.161627906976745,12.110000000000001,12.275714285714287,12.261500000000002,11.925344827586208,12.15227272727273,11.97375,12.015416666666667,11.946200000000001,11.90490909090909,11.988163265306122,11.878000000000002,11.9498,11.912884615384616,11.962250000000001,12.065121951219513,12.048260869565217,11.928478260869566,11.871020408163265,11.901836734693877,11.89340425531915,11.972619047619048,12.025333333333332,12.27,12.45774193548387
70,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,20.687966101694915,21.087096774193547,21.05276923076923,20.962272727272726,20.643333333333334,20.569200000000002,20.74203125,20.8003125,21.112923076923074,20.994615384615383,21.207868852459015,21.314745762711862,21.2372131147541,21.132272727272724,20.992999999999995,20.89727272727273,21.03627118644068,20.97241935483871,21.023076923076925,21.147796610169493,21.02125,20.619444444444444,20.542837837837837,20.492911392405063,20.45285714285714,20.70676923076923,20.90310344827586
71,IKAN SELAYANG/SARDIN  (≥ 13 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,13.871688311688313,14.223214285714286,14.269625,14.239493670886077,11.581111111111111,13.318,14.124024390243903,13.956842105263158,14.585652173913044,14.506875,14.406349206349207,14.618253968253969,14.581351351351351,14.56763157894737,14.600506329113925,14.47505882352941,14.482063492063492,14.338169014084507,14.15987341772152,14.20986301369863,13.896705882352942,13.945862068965516,14.183764705882352,14.28314606741573,14.333888888888891,14.440625,14.55576923076923
73,IKAN SENANGIN (ANTARA 2 HINGGA 8 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,30.518749999999997,32.42227272727273,32.18,32.85947368421052,25.99,33.46333333333333,32.76,33.03235294117647,32.696363636363635,33.01571428571428,33.01571428571428,33.05695652173913,32.34583333333333,32.281,32.085499999999996,32.13789473684211,32.330499999999994,32.64894736842105,32.64894736842105,33.07666666666667,31.744999999999997,31.7755,31.12181818181818,31.3348,31.478333333333335,31.580499999999994,31.5805
78,IKAN TAMBAN BELURU (ANTARA 10 HINGGA 19 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,5.99,,7.99,10.445,12.9,12.9,10.96,10.695,10.96,9.717500000000001,10.96,12.445,10.96,10.96,8.96,10.293333333333335,9.217500000000001,9.217500000000001,11.445,11.445,9.99,8.656666666666666,8.656666666666666,6.99,9.945,11.9,11.945
