item_code,item,unit,item_group,item_category,2026-03-01,2026-03-02,2026-03-03,2026-03-04,2026-03-05,2026-03-06,2026-03-07,2026-03-08,2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13,2026-03-15,2026-03-16,2026-03-17,2026-03-18,2026-03-24,2026-03-25,2026-03-26,2026-03-27,2026-03-28,2026-03-29,2026-03-30,2026-03-31
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,10.7021387283237,10.776067415730338,10.869449035812673,10.813764367816091,10.767547683923706,10.57800539083558,10.113306451612903,10.361209150326799,10.688972972972973,10.757190082644629,10.851342465753426,10.925483870967742,10.865933147632312,10.765897435897436,10.790881542699726,10.734462809917355,10.66214876033058,10.668365019011407,10.682114285714286,10.640849315068493,10.57445945945946,10.512134831460674,10.49804945054945,10.421653116531166,10.375183246073298
52,KEPALA IKAN JENAHAK,1kg,BARANGAN SEGAR,BAHAN LAUT,,26.672499999999996,,,,,,,26.502148760330577,,,,,,25.944745762711865,,,,,,,,,25.571101694915253,
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,15.498273809523809,15.442929936305733,15.625562500000001,15.742945205479451,15.802025316455694,16.12290909090909,15.551470588235293,16.10560606060606,16.109190476190477,15.704835680751174,15.158296943231441,14.884144144144145,14.736712328767124,14.779424083769634,14.8154802259887,14.48688524590164,14.245054347826088,14.22621848739496,14.236054421768706,14.589496402877698,14.751617647058824,14.667795275590551,15.35838028169014,15.194125874125872,15.539545454545452
64,KEPALA IKAN MERAH,1kg,BARANGAN SEGAR,BAHAN LAUT,,30.79293103448276,,,,,,,30.52345132743363,,,,,,30.25991525423729,,38.49,,,,,,,31.112142857142857,
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,12.498176470588236,12.458554216867473,12.523475609756098,12.309308510638298,12.300239520958083,12.149212121212122,11.547500000000001,11.916315789473684,12.234125,12.201897810218979,12.399037037037038,12.447671232876713,12.320188679245284,12.322781456953642,12.397222222222222,12.379057971014493,12.673357664233576,12.863013698630137,12.688880000000001,12.46546875,12.479681528662422,12.899864864864865,13.1844,13.148471337579618,13.050231213872832
70,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,16.972870662460565,16.599549839228295,16.444200626959248,16.493344262295082,16.427912772585668,16.35814332247557,14.849142857142859,16.56291366906475,16.454285714285714,16.393478260869564,16.272910216718266,15.98710769230769,15.935386904761904,15.696764705882352,16.055501519756838,16.230876132930515,16.135315315315317,17.082676767676766,16.19254295532646,16.322699386503068,16.300729483282673,15.990979228486648,15.988428571428571,15.960966767371602,15.789850746268657
88,IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,9.862133757961784,9.832721518987341,9.848436482084692,9.812074829931973,9.870222222222221,9.866335403726708,9.824952380952382,9.973710247349823,9.92909375,9.951455108359134,9.911432926829269,9.82679012345679,9.816591639871383,9.729558359621452,9.697383177570094,9.717255520504732,9.772426229508197,9.791565217391303,9.752242647058823,9.930101010101009,9.932796052631579,9.896051779935275,9.940129032258065,9.99916129032258,9.977712418300653
92,CILI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,11.962080536912753,11.872745535714285,11.688082191780822,11.645073529411764,11.466789838337181,11.226130536130537,11.319,11.08489417989418,10.960841121495326,10.980352112676057,10.920303738317758,10.898948598130842,10.83052380952381,10.741626794258373,10.830595238095238,10.784170616113745,10.857935779816515,11.105942028985508,11.104601366742598,11.205730337078652,11.15047191011236,11.02847775175644,10.955671981776765,10.951408450704227,10.963142857142858
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,15.219318181818181,14.836969696969698,14.616444444444445,14.142416666666666,13.736330935251798,12.947913669064748,12.739607843137255,12.661222222222221,12.37203125,12.37485294117647,12.29611510791367,12.068636363636363,12.358046875,12.161386861313868,12.03880281690141,12.12109589041096,12.422763157894737,13.800588235294118,13.452553191489361,13.27635761589404,13.169166666666666,13.082091503267973,12.81076388888889,12.130227272727273,12.737635135135136
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,15.422173913043478,15.155820895522387,14.83028205128205,14.745978260869567,14.58174358974359,14.123840206185568,15.646466165413534,13.8933423180593,13.665,13.594950495049504,13.303625,13.16517766497462,13.040212765957447,12.486915422885572,12.395606796116505,12.499150943396225,12.598888888888888,12.984367816091956,12.957647058823527,12.934406779661016,12.758867924528303,12.809518072289157,12.729116883116884,12.715078125,12.958989361702127
95,HALIA BASAH (TUA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,8.113045045045045,8.154550264550265,8.153554757630161,8.136575591985428,8.097659574468086,8.057477797513323,8.213181818181818,8.13688492063492,8.069639175257732,8.067434554973822,8.054551724137932,7.977218309859156,7.94839928057554,7.851821305841924,7.862303839732889,7.846565656565656,7.841361344537816,7.8352964426877465,7.889897959183674,7.921966101694915,7.9307032590051465,7.887996545768566,7.953321678321679,7.968716094032549,8.004192982456141
96,KACANG BENDI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.702955082742317,10.978235294117647,11.102313253012047,11.002696897374703,11.240220750551876,11.283296943231441,11.29639534883721,11.2088772845953,11.431011494252873,11.466447963800904,11.55641304347826,11.5746288209607,11.517977777777778,11.493083700440527,11.485837004405285,11.489635193133047,11.498222698072805,11.534005681818183,11.38020642201835,11.27758389261745,11.139133333333335,11.096463963963965,11.022777777777778,11.051870324189526,10.792796208530806
97,KACANG BUNCIS,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.92228426395939,9.62881118881119,9.621565995525728,9.739131455399061,9.842108843537416,10.0,10.858157894736843,10.607235576923076,10.904512711864408,11.275483870967742,11.675489361702128,12.251012396694215,12.489546391752578,12.650800821355237,12.758406708595388,12.642037037037037,12.538879668049795,11.67170426065163,11.211735537190082,10.957047817047817,10.56109243697479,10.301744966442953,9.986013363028954,10.522697547683924,10.520758807588077
98,KACANG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.021857798165136,10.024295942720764,9.971788235294119,9.669296116504855,9.5025,9.4044,9.506170212765959,9.01675,8.983612334801762,8.99042600896861,8.793665158371041,8.700665188470067,8.461781737193764,7.501536926147705,7.5260120240480965,7.540654396728017,7.588163672654691,7.76650429799427,7.64030701754386,7.664116379310345,7.534704641350211,7.516610878661088,7.687305122494432,7.747622377622378,7.6733702882483374
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,,3.480461538461539,,,,,,,3.4751612903225806,,,,,,3.431964285714286,,,,,3.365,,,,3.473015873015873,
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,,12.773076923076925,,,,,,,13.204545454545455,,,,,,10.905714285714286,,,,,,,,,13.467333333333332,
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,,9.16380165289256,,,,,,,9.106528925619834,,,,,,9.19433628318584,,7.5,,,,,,,9.189210526315788,
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,2.608114406779661,2.6226609442060087,2.616884531590414,2.611191011235955,2.574461206896552,2.5395106382978727,2.7514044943820224,2.593418367346939,2.5515401301518437,2.5408515283842794,2.5374025974025973,2.5336521739130435,2.391409978308026,2.4340212765957445,2.5275925925925926,2.6054444444444447,2.5658438818565403,2.61856783919598,2.5848254620123203,2.560286885245902,2.5330290456431537,2.538577405857741,2.5395053763440862,2.53706008583691,2.530472103004292
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.121375,4.0293951612903225,3.926530612244898,3.957777777777778,3.8647791164658636,3.869877551020408,4.1486138613861385,3.845844155844156,3.8937603305785125,3.8631120331950206,3.9216194331983805,3.9861475409836067,3.9281048387096775,3.951174089068826,3.8906274509803924,3.9428979591836733,3.9190476190476193,4.147038834951456,3.912644628099174,3.9577083333333336,3.901012145748988,3.834422310756972,3.8781746031746036,3.6332535885167467,3.859065040650407
