item_code,item,unit,item_group,item_category,2026-01-01,2026-01-02,2026-01-03,2026-01-04,2026-01-05,2026-01-06,2026-01-07,2026-01-08,2026-01-09,2026-01-10,2026-01-11,2026-01-12,2026-01-13,2026-01-14,2026-01-15,2026-01-16,2026-01-17,2026-01-18,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-24,2026-01-25,2026-01-26,2026-01-27,2026-01-28,2026-01-29,2026-01-30,2026-01-31
1825,BERAS SUPER CAP ANGGUR SAZARICE 5% (IMPORT THAILAND),10 kg,BARANGAN BERBUNGKUS,BERAS,,,,,28.587272727272726,,,,,,,28.5564,,,,,,,28.56490196078431,,,,,,,28.571698113207546,,,28.55910714285714,,
1826,BERAS SUPER CAP RODA SAZARICE 5% (IMPORT THAILAND),10 kg,BARANGAN BERBUNGKUS,BERAS,,,,,28.34673469387755,,,,,,,28.351875000000003,,,,,,,28.363000000000003,,,,,,,28.38,,,28.366,,
1827,"TEPUNG GANDUM NGP (BERBUNGKUS, CAP MUHIBAH)",1kg,BARANGAN BERBUNGKUS,TEPUNG,,,,,3.45,,,,,,,3.4030555555555555,,,,,,,3.3842857142857143,,,,,,,3.3257575757575757,,,3.321875,,
1832,BERAS CAP GOLDEN SARAWAK (SST5%),10 kg,BARANGAN BERBUNGKUS,BERAS,,,,,27.935294117647057,,,,,,,27.968749999999996,,,,,,,27.977272727272727,,,,,,,28.004545454545454,,,27.977272727272727,,
1833,BERAS PREMIUM CAP UNCLE TAN,10 kg,BARANGAN BERBUNGKUS,BERAS,,,,,30.64421875,,,,,,,30.566666666666663,,,,,,,30.525901639344262,,,,,,,30.55878787878788,,,30.570952380952377,,
1849,TEPUNG NAIK SENDIRI CAP 'BLUE KEY',1kg,BARANGAN BERBUNGKUS,TEPUNG,,,,,5.088921568627451,,,,,,,5.111521739130435,,,,,,,5.124216524216524,,,,,,,5.1240058479532165,,,5.11158038147139,,
1852,DESA FRESH MILK (KOTAK),1 liter,MINUMAN,TERSEDIA MINUM,,,,,7.632777777777779,,,,,,,,,,,,,,,,,,,,,7.620000000000001,,,,,
1854,KORDIAL F&N SUN VALLEY (GRENADINE),2 liter,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,12.491700000000002,,,,,,,,,,,,,,,,,,,,,12.484752475247525,,,,,
1870,"TEPUNG GANDUM NGP (BERBUNGKUS, CAP  FAIZA)",1kg,BARANGAN BERBUNGKUS,TEPUNG,,,,,3.6183730158730154,,,,,,,3.6178542510121456,,,,,,,3.6159695817490496,,,,,,,3.6182954545454544,,,3.618782287822878,,
1872,MAYONIS SEBENAR LADY'S CHOICE,220ml,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),,,,,8.039818181818182,,,,,,,8.041744791666668,,,,,,,8.045259067357513,,,,,,,8.048346055979644,,,8.042305764411028,,
1876,PELEMBUT PAKAIAN - DOWNY (PREMIUM PARFUM PASSION),800ml,PRODUK KEBERSIHAN,PENJAGAAN RUMAH,,,,,13.13540268456376,,,,,,,13.143986486486487,,,,,,,13.124863013698631,,,,,,,13.14443661971831,,,13.137671232876713,,
1879,SEVEN UP LEMON & LIME (TIN),320ml,MINUMAN,TERSEDIA MINUM,,,,,1.7790437158469945,,,,,,,1.780140056022409,,,,,,,1.7754918032786886,,,,,,,1.7773684210526315,,,1.7783569405099149,,
1899,CILI KERING KERINTING (BERTANGKAI/TIDAK BERTANGKAI),1kg,BARANGAN KERING,CILI KERING,,,,,17.877110609480813,,,,,,,17.85419068736142,,,,,,,18.02694877505568,,,,,,,18.030230946882217,,,18.082060185185185,,
1900,CILI KERING LEPER (BERTANGKAI/TIDAK BERTANGKAI),1kg,BARANGAN KERING,CILI KERING,,,,,18.210315315315317,,,,,,,18.109058295964125,,,,,,,18.303796296296294,,,,,,,18.544579439252335,,,18.611607142857142,,
1904,DUMEX DUGRO 3 (1-3 TAHUN) PERISA ASLI (850G),850g,SUSU DAN BARANGAN BAYI,SUSU BAYI,,,,,27.292025316455696,,,,,,,26.884094202898552,,,,,,,26.76673786407767,,,,,,,26.765555555555554,,,26.52514869888476,,
1913,DAGING LEMBU IMPORT (BLOCK),1kg,BARANGAN SEGAR,DAGING,,,,,34.315,,,,,,,33.156666666666666,,,,,,,33.13,,,,,,,33.13,,,28.745,,
1914,DAGING KERBAU IMPORT (INDIA) (BLOCK),1kg,BARANGAN SEGAR,DAGING,,,,,23.96426356589147,,,,,,,23.94924369747899,,,,,,,23.922605042016805,,,,,,,23.907478991596637,,,23.965853658536584,,
1915,IKAN JENAHAK (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,50.02469194312797,,,,,,,49.84191387559808,,,,,,,49.65597156398104,,,,,,,49.800432692307695,,,50.01760975609756,,
1916,IKAN DEMUDUK/CUPAK/CERMIN (b	$ 3 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,27.789375,30.344516129032257,30.41328125,30.712089552238808,30.87661016949152,30.615846153846153,30.958970588235296,31.16060606060606,30.355166666666666,30.713076923076922,30.936724137931034,30.290491803278687,30.463666666666665,30.169677419354837,30.281166666666664,30.378412698412696,30.63862745098039,30.04421875,30.081666666666667,30.502031249999998,30.777538461538462,30.798787878787877,31.108666666666668,31.229999999999997,30.50553846153846,30.84361111111111,31.11476923076923,30.56676923076923,29.933199999999996,29.880845070422534,29.865342465753425
1919,UDANG PUTIH BESAR (ANTARA 20 HINGGA 30 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,59.416666666666664,,,,,,,60.54,,,,,,,67.4225,,,,,,,59.52,,,67.175,,
1921,IKAN TILAPIA MERAH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,16.28988095238095,16.561862745098036,16.659313725490197,16.718370607028756,16.634951456310677,16.83026490066225,16.825431309904154,16.80472222222222,16.837821782178217,16.93877887788779,16.87604501607717,16.947113402061856,16.980793103448278,16.965249169435214,16.90595015576324,16.902293577981652,16.978595890410958,17.009999999999998,17.035821325648417,17.013363095238095,16.98235294117647,16.95129518072289,16.806904024767803,16.83886850152905,16.94966049382716,16.91710769230769,16.939756097560974,16.92039039039039,17.009429429429428,16.971268882175227,16.94046875
1923,TERUNG BULAT,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,,,10.256806451612904,,,,,,,10.044092409240925,,,,,,,9.75015873015873,,,,,,,9.362236842105263,,,9.24608280254777,,
1926,CILI AKAR HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,15.871959459459458,16.496113636363635,16.359142212189614,16.204841628959276,16.206577181208054,16.201655328798186,15.808818181818182,15.686406250000001,15.561563218390804,15.380829383886256,15.248089622641508,15.234182242990654,15.252447552447553,15.246179245283018,15.02135135135135,15.218853932584269,15.292625698324024,15.219856115107914,15.282677345537756,15.3603908045977,15.464671361502347,15.041113689095129,14.995829493087557,15.184400921658986,15.2175,15.183672566371682,15.196121076233185,15.136412037037038,14.953853211009175,14.877390300230946,14.761116389548695
1927,CILI AKAR MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,32.0700826446281,32.499741176470586,32.73383693045564,32.74081730769231,33.05558536585366,33.43056790123457,33.56528255528256,33.85697732997481,34.1786783042394,34.53228287841191,34.713956834532375,34.85061425061425,34.908341708542714,35.03156812339332,34.679545454545455,34.44552311435523,34.351487603305785,34.10887254901961,34.15546318289786,33.94850602409638,33.6197108433735,33.30147971360382,32.82945626477541,32.00087356321839,31.48969976905312,31.255,31.33692488262911,30.90071090047393,30.814066193853424,30.67809638554217,30.219675
1928,LIMAU KASTURI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.338489208633094,5.690020242914979,5.663680981595092,5.639631901840491,5.718739837398374,5.779439834024896,5.69244532803181,5.753313253012048,5.78271629778672,5.7566003976143145,5.769096385542169,5.833623762376238,5.862173038229376,5.810204498977505,5.741252446183953,5.718598848368522,5.673791574279379,5.725823293172691,5.757447619047619,5.760389105058366,5.833425196850394,5.850896686159844,5.875647969052224,5.926312741312741,5.932408477842004,5.946974951830443,5.955019230769231,6.000270793036751,6.0393893129771,6.14079696394687,6.197619047619048
1929,SANTAN KELAPA SEGAR (PEKAT),1kg,BARANGAN SEGAR,KELAPA,,,,,12.444666666666668,,,,,,,12.479375000000001,,,,,,,12.431333333333333,,,,,,,12.155000000000001,,,12.107000000000001,,
1931,BAWANG BESAR IMPORT (PAKISTAN),1kg,BARANGAN KERING,BAWANG,2.35,2.521666666666667,2.6163636363636367,2.4814285714285718,2.5387500000000003,2.6049999999999995,2.608260869565217,2.653076923076923,2.687142857142857,2.6913793103448276,2.653103448275862,2.6658064516129034,2.6733333333333333,2.695,2.6827272727272726,2.6765625,2.6763999999999997,2.763333333333333,2.737142857142857,2.7269444444444444,2.731621621621622,2.690857142857143,2.6915625000000003,2.706969696969697,2.687272727272727,2.6763157894736844,2.5944736842105263,2.586111111111111,2.558333333333333,2.5793939393939396,2.629655172413793
1937,MINYAK MASAK TULEN CAP SAJI,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,6.8994701986754965,,,,,,,6.899430604982206,,,,,,,6.899303135888502,,,,,,,6.899319727891156,,,6.8992517006802725,,
1938,MINYAK MASAK TULEN CAP SAJI,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,13.2883081570997,,,,,,,13.288980263157896,,,,,,,13.2880625,,,,,,,13.287217125382263,,,13.287784431137725,,
1939,MINYAK MASAK TULEN CAP SAJI,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,30.78566502463054,,,,,,,30.66043701799486,,,,,,,30.634735516372796,,,,,,,30.61799019607843,,,30.609346246973367,,
1940,MINYAK MASAK TULEN CAP ALIF,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,6.898837209302325,,,,,,,6.898974358974359,,,,,,,6.898620689655172,,,,,,,6.898636363636363,,,6.898695652173912,,
1941,MINYAK MASAK TULEN CAP ALIF,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,13.263529411764708,,,,,,,13.261481481481482,,,,,,,13.261304347826087,,,,,,,13.241764705882353,,,13.250555555555556,,
1942,MINYAK MASAK TULEN CAP ALIF,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,,,,,30.71556818181818,,,,,,,30.670410958904103,,,,,,,30.657936507936505,,,,,,,30.660483870967738,,,30.683965517241376,,
1944,KACANG SOYA (IMPORT),1kg,BARANGAN KERING,KACANG,,,,,7.689820895522389,,,,,,,7.70398753894081,,,,,,,7.681569230769232,,,,,,,7.631975683890578,,,7.6939692307692304,,
1947,SERBUK PENAIK ROYAL (TIN),113g,BARANGAN BERBUNGKUS,ESEN DAN RAGI,,,,,6.337322033898305,,,,,,,6.366608391608391,,,,,,,6.368732394366197,,,,,,,6.367714285714285,,,6.3727857142857145,,
