item_code,item,unit,n_original,original_std,n_trimmed,new_std,std_reduction,std_reduction_pct
1,AYAM BERSIH - STANDARD,1kg,203,0.5253398599881949,190.0,0.44973622022310195,0.07560363976509293,0.14391376996748706
2,AYAM BERSIH - SUPER,1kg,22,0.8600182470630406,18.0,0.5749694507372075,0.28504879632583313,0.3314450563104606
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,23,0.0,23.0,0.0,0.0,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,18,3.334117407784088,18.0,3.334117407784088,0.0,0.0
16,BETIK BIASA,1kg,46,0.99281303852669,40.0,0.7506967276624275,0.24211631086426255,0.24386898788472516
18,PISANG BERANGAN,1kg,90,0.7279303858829053,84.0,0.5655738509139511,0.1623565349689542,0.22303854615442695
19,PISANG EMAS,1kg,4,0.28867513459481287,4.0,0.28867513459481287,0.0,0.0
20,TEMBIKAI MERAH BERBIJI,1kg,14,0.9866872089733648,13.0,0.9362815158503754,0.05040569312298937,0.05108578753689919
21,TEMBIKAI MERAH TANPA BIJI,1kg,79,0.8437088720787568,72.0,0.7193394721637573,0.12436939991499951,0.1474079555529317
22,DRAGON FRUIT MERAH,1kg,43,2.4466820030237413,39.0,1.6486328937497206,0.7980491092740207,0.3261760654992143
24,TEMBIKAI SUSU,1kg,15,0.7037315505489969,14.0,0.5345224838248489,0.16920906672414804,0.24044547468725
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,121,0.6603217556136091,112.0,0.5147183758474205,0.14560337976618853,0.22050368404246423
26,ANGGUR HIJAU BERBIJI,1kg,3,0.0,3.0,0.0,0.0,
27,ANGGUR MERAH BERBIJI,1kg,9,5.339189493213782,9.0,5.339189493213782,0.0,0.0
31,LAI KUNING (SAIZ M),1 biji,6,0.18618986725025255,5.0,0.05477225575051661,0.13141761149973594,0.705825797292724
38,JAMBU BATU BERBIJI,1kg,19,1.5005918910189449,18.0,1.3555444122546376,0.14504747876430724,0.09666017764884485
39,JAMBU BATU TANPA BIJI,1kg,2,0.0,2.0,0.0,0.0,
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,77,3.6405065962736516,73.0,3.137051198291183,0.5034553979824685,0.138292675667116
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,139,2.2644528432224846,125.0,1.7350594486422013,0.5293933945802833,0.23378424336137518
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,14,1.8440787330334825,12.0,1.4451137629539021,0.3989649700795803,0.21634920620948153
51,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),1kg,7,2.8170399865309492,7.0,2.8170399865309492,0.0,0.0
52,KEPALA IKAN JENAHAK,1kg,6,2.719558787744806,4.0,2.0,0.719558787744806,0.26458659065851636
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,87,2.7648289404170088,80.0,2.128293096160526,0.6365358442564828,0.23022612175076426
60,IKAN MERAH (b	% 1 KILOGRAM SEEKOR),1kg,26,7.245858116617648,26.0,7.245858116617648,0.0,0.0
64,KEPALA IKAN MERAH,1kg,8,1.342439144670199,8.0,1.342439144670199,0.0,0.0
65,IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,3,4.618802153517007,2.0,0.0,4.618802153517007,1.0
66,IKAN PARANG (ANTARA 1 HINGGA 3 EKOR SEKILOGRAM),1kg,1,,1.0,,,
68,IKAN PARI (KEPINGAN),1kg,11,5.496924760098307,11.0,5.496924760098307,0.0,0.0
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1kg,18,2.7666607606835147,17.0,2.119586530157127,0.6470742305263877,0.2338827512652926
70,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),1kg,114,3.1661587589802282,106.0,2.585474931215944,0.5806838277642843,0.18340325674361121
73,IKAN SENANGIN (ANTARA 2 HINGGA 8 EKOR SEKILOGRAM),1kg,9,2.80370290865491,8.0,2.0083108574122686,0.7953920512426413,0.2836934144439129
78,IKAN TAMBAN BELURU (ANTARA 10 HINGGA 19 EKOR SEKILOGRAM),1kg,2,4.242640687119285,,,,
79,IKAN TENGGIRI PAPAN (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,1,,1.0,,,
82,IKAN TENGGIRI BATANG (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,13,7.227085804857254,11.0,4.86546269872941,2.361623106127844,0.3267739127354237
87,IKAN HARUAN (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,2,0.0,2.0,0.0,0.0,
88,IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,66,1.1778894245656066,61.0,1.0358867798968316,0.142002644668775,0.12055685508946995
89,IKAN TILAPIA HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,5,3.286335345030997,4.0,3.0000000000000004,0.28633534503099645,0.08712907082472307
92,CILI HIJAU,1kg,199,3.3390824336797498,184.0,2.712389640915968,0.626692792763782,0.18768413335430936
93,CILI MERAH - KULAI,1kg,163,2.8748793625012934,152.0,2.2644013292916068,0.6104780332096866,0.21234909581685515
94,CILI MERAH - MINYAK,1kg,129,3.701589526052267,121.0,3.0394182149548707,0.6621713110973961,0.17888836847979728
95,HALIA BASAH (TUA),1kg,524,2.5738878763900512,475.0,1.9193559675641982,0.654531908825853,0.25429697805789897
96,KACANG BENDI,1kg,263,3.0114617110321604,237.0,2.5054533599039672,0.5060083511281932,0.16802748953257052
97,KACANG BUNCIS,1kg,189,2.868938969861239,177.0,2.4708059318782247,0.39813303798301414,0.1387736170638271
98,KACANG PANJANG,1kg,201,2.5729783601482232,188.0,2.3078307895344543,0.2651475706137689,0.10305083584087912
101,KELAPA BIJI,1 biji,87,0.38785009105346235,80.0,0.3178622223622419,0.06998786869122048,0.18045082444385233
102,KELAPA PARUT,1kg,6,1.6431676725154984,6.0,1.6431676725154984,0.0,0.0
103,SANTAN KELAPA SEGAR (BIASA),1kg,22,2.4634864692982554,22.0,2.4634864692982554,0.0,0.0
104,KUBIS BULAT IMPORT (CHINA),1kg,127,0.977959476107209,113.0,0.8307205986500465,0.14723887745716246,0.15055723785534583
105,KUBIS BULAT (TEMPATAN),1kg,102,1.6506094484023512,92.0,1.3530229289797562,0.29758651942259506,0.18028887433707189
108,KUNYIT HIDUP,1kg,270,2.305442747174264,257.0,1.736643508455913,0.5687992387183509,0.24672017529627097
109,LOBAK MERAH,1kg,307,1.1491976025736024,285.0,0.9891223705882015,0.16007523198540086,0.13929304379587631
112,TERUNG PANJANG,1kg,190,2.5119294080757264,173.0,1.8758985802179926,0.6360308278577338,0.2532041011235932
113,TIMUN,1kg,327,1.4122965803040932,297.0,1.1245620688360638,0.2877345114680294,0.203735189535101
114,TOMATO,1kg,318,1.7268926261851036,287.0,1.371567990464579,0.35532463572052464,0.20575954192674734
118,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),10 biji,25,0.24979991993593542,23.0,0.16763879860706163,0.08216112132887379,0.32890771682370884
