item_code,item,unit,item_group,item_category,2022-03-02,2022-03-03
1157,NASI PUTIH KOSONG,sepinggan,MAKANAN SIAP MASAK,NASI,168.0,2.0
1158,NASI AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,22.0,0.0
1159,NASI LEMAK (BERBUNGKUS),sebungkus,MAKANAN SIAP MASAK,NASI,40.0,1.0
1160,NASI LEMAK (TIDAK BERBUNGKUS),sepinggan,MAKANAN SIAP MASAK,NASI,75.0,1.0
1161,NASI + SAYUR + IKAN,sepinggan,MAKANAN SIAP MASAK,NASI,139.0,2.0
1162,NASI + SAYUR + AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,143.0,2.0
1163,NASI + SAYUR + DAGING,sepinggan,MAKANAN SIAP MASAK,NASI,128.0,2.0
1164,NASI + SAYUR + SOTONG,sepinggan,MAKANAN SIAP MASAK,NASI,41.0,2.0
1165,NASI + SAYUR + UDANG,sepinggan,MAKANAN SIAP MASAK,NASI,23.0,2.0
1167,NASI GORENG KAMPUNG,sepinggan,MAKANAN SIAP MASAK,NASI,133.0,1.0
1168,NASI GORENG PAPRIK,sepinggan,MAKANAN SIAP MASAK,NASI,46.0,0.0
1169,NASI GORENG CINA,sepinggan,MAKANAN SIAP MASAK,NASI,93.0,1.0
1170,NASI GORENG PATAYA,sepinggan,MAKANAN SIAP MASAK,NASI,100.0,1.0
1172,NASI GORENG CILI PADI,sepinggan,MAKANAN SIAP MASAK,NASI,63.0,1.0
1173,NASI GORENG DAGING MERAH,sepinggan,MAKANAN SIAP MASAK,NASI,37.0,0.0
1174,NASI GORENG USA,sepinggan,MAKANAN SIAP MASAK,NASI,42.0,0.0
1175,NASI GORENG AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,147.0,2.0
1183,BIHUN GORENG,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,153.0,2.0
1184,BIHUN HAILAM,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,30.0,0.0
1186,BIHUN TOMYAM,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,34.0,0.0
1187,BIHUN BANDUNG,semangkuk,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,29.0,0.0
1188,BIHUN LADNA,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,29.0,0.0
1189,BIHUN KUNGFU,sepinggan,MAKANAN SIAP MASAK,MEE / BIHUN / KUEY TEOW,22.0,0.0
1198,AYAM GORENG,seketul,MAKANAN SIAP MASAK,LAUK,163.0,2.0
1199,AYAM MASAK MERAH,seketul,MAKANAN SIAP MASAK,LAUK,106.0,1.0
1200,AYAM MASAK KICAP,seketul,MAKANAN SIAP MASAK,LAUK,81.0,1.0
1201,AYAM MASAK HALIA,seketul,MAKANAN SIAP MASAK,LAUK,19.0,0.0
1202,DAGING MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,41.0,0.0
1203,DAGING MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,66.0,0.0
1204,DAGING MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,22.0,0.0
1205,DAGING MASAK PAPRIK,sepiring,MAKANAN SIAP MASAK,LAUK,32.0,0.0
1206,SOTONG GORENG,sepiring,MAKANAN SIAP MASAK,LAUK,26.0,1.0
1207,SOTONG MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,28.0,0.0
1208,SOTONG MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,15.0,0.0
1209,SOTONG MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,14.0,0.0
1210,UDANG GORENG,sepiring,MAKANAN SIAP MASAK,LAUK,18.0,1.0
1211,UDANG MASAK MERAH,sepiring,MAKANAN SIAP MASAK,LAUK,26.0,0.0
1212,UDANG MASAK KICAP,sepiring,MAKANAN SIAP MASAK,LAUK,12.0,0.0
1213,UDANG MASAK HALIA,sepiring,MAKANAN SIAP MASAK,LAUK,13.0,0.0
1214,SAYUR CAMPUR,sepiring,MAKANAN SIAP MASAK,LAUK,95.0,0.0
1215,SAYUR KAILAN IKAN MASIN,sepiring,MAKANAN SIAP MASAK,LAUK,26.0,0.0
1216,SAYUR KANGKUNG GORENG BELACAN,sepiring,MAKANAN SIAP MASAK,LAUK,29.0,0.0
1232,TELUR MATA KERBAU,sebiji,MAKANAN SIAP MASAK,LAUK,166.0,2.0
1233,TELUR DADAR,sebiji,MAKANAN SIAP MASAK,LAUK,167.0,2.0
1234,TELUR BISTIK,1 set,MAKANAN SIAP MASAK,LAUK,26.0,0.0
1235,TELUR SETENGAH MASAK,sebiji,MAKANAN SIAP MASAK,LAUK,143.0,2.0
1236,TELUR REBUS,sebiji,MAKANAN SIAP MASAK,LAUK,145.0,2.0
1237,TELUR MASIN,sebiji,MAKANAN SIAP MASAK,LAUK,97.0,1.0
1238,SUP AYAM,semangkuk,MAKANAN SIAP MASAK,LAUK,68.0,2.0
1239,SUP DAGING,semangkuk,MAKANAN SIAP MASAK,LAUK,56.0,0.0
1240,SUP EKOR,semangkuk,MAKANAN SIAP MASAK,LAUK,19.0,0.0
1241,SUP CAMPUR,semangkuk,MAKANAN SIAP MASAK,LAUK,35.0,0.0
1242,TOM YAM CAMPUR,semangkuk,MAKANAN SIAP MASAK,LAUK,35.0,0.0
1243,TOM YAM AYAM,semangkuk,MAKANAN SIAP MASAK,LAUK,39.0,0.0
1244,TOM YAM DAGING,semangkuk,MAKANAN SIAP MASAK,LAUK,36.0,0.0
1245,TOM YAM UDANG,semangkuk,MAKANAN SIAP MASAK,LAUK,33.0,0.0
1246,TOM YAM SOTONG,semangkuk,MAKANAN SIAP MASAK,LAUK,30.0,0.0
1247,MAGGI GORENG,sepinggan,MAKANAN SIAP MASAK,LAIN-LAIN,160.0,2.0
1248,MAGGI SUP,semangkuk,MAKANAN SIAP MASAK,LAIN-LAIN,128.0,2.0
1250,ROTI TELUR,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,171.0,1.0
1252,KUIH LAPIS,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,3.0,0.0
1253,KUIH SERI MUKA,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,3.0,0.0
1255,PAU AYAM,sebiji,MAKANAN SIAP MASAK,LAIN-LAIN,1.0,0.0
1264,AYAM SOS LEMON,sepiring,MAKANAN SIAP MASAK,LAUK,2.0,0.0
1265,SOTONG GORENG ASAM,sepiring,MAKANAN SIAP MASAK,LAUK,2.0,0.0
1266,UDANG BUTTER,sepiring,MAKANAN SIAP MASAK,LAUK,4.0,0.0
1277,SUP IKAN,semangkuk,MAKANAN SIAP MASAK,LAUK,1.0,0.0
1278,SUP SAYUR MASIN,semangkuk,MAKANAN SIAP MASAK,LAUK,2.0,0.0
1281,NASI BRIYANI AYAM,sepinggan,MAKANAN SIAP MASAK,NASI,123.0,2.0
1282,NASI BRIYANI KAMBING,sepinggan,MAKANAN SIAP MASAK,NASI,100.0,2.0
1284,NASI BRIYANI BUKHARA,sepinggan,MAKANAN SIAP MASAK,NASI,4.0,1.0
1285,AYAM MASAK KARI,seketul,MAKANAN SIAP MASAK,LAUK,127.0,2.0
1289,SUP TULANG,semangkuk,MAKANAN SIAP MASAK,LAUK,30.0,0.0
1290,SUP KAMBING,semangkuk,MAKANAN SIAP MASAK,LAUK,35.0,2.0
1291,ROTI PISANG,sekeping,MAKANAN SIAP MASAK,LAIN-LAIN,102.0,2.0
