item_code,item,unit,item_group,item_category,2025-04-02,2025-04-09,2025-04-16,2025-04-23,2025-04-30
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,8.9,8.620000000000001,8.516666666666667,8.466666666666667,8.58
3,AYAM HIDUP,1kg,BARANGAN SEGAR,AYAM,,7.2,,,7.2
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,30.0,26.5,25.0,24.5,25.333333333333332
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,,26.0,
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,40.0,40.0,50.0,,50.0
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,19.5,20.0,20.0,19.0,20.5
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,14.0,10.9,10.5,11.5,10.25
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,12.0,10.875,9.642857142857142,10.166666666666666,9.9
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,3.25,3.25,3.233333333333333,2.7,3.5
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,,,10.35,9.7,11.0
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,10.0,10.0,10.666666666666666,11.0,10.5
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.25,2.966666666666667,2.8,2.575,2.742857142857143
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,6.0,3.25,2.45,3.95
114,TOMATO,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,5.5,3.5500000000000003,3.3499999999999996,3.3666666666666667,3.9375
118,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,4.2,4.05,4.05,4.0,4.033333333333334
119,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR,4.0,4.0,3.7,3.8,3.4000000000000004
120,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,3.8,3.8,2.9,,2.5
131,BAWANG KECIL MERAH ROSE IMPORT (INDIA),1kg,BARANGAN KERING,BAWANG,9.0,8.966666666666667,7.666666666666667,5.5,7.0
132,BAWANG KECIL MERAH IMPORT (THAILAND),1kg,BARANGAN KERING,BAWANG,15.0,11.0,11.0,11.0,
368,KACANG TANAH (IMPORT),1kg,BARANGAN KERING,KACANG,8.0,7.166666666666667,7.325,6.15,7.433333333333334
1128,LADA BENGGALA HIJAU (CAPSICUM),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,11.0,10.666666666666666,9.714285714285714,9.666666666666666,11.0
1131,UBI KENTANG IMPORT (CHINA),1kg,BARANGAN KERING,UBI KENTANG,3.1666666666666665,3.5,3.375,3.1666666666666665,3.5
1367,DAGING PAHA KAMBING BEBIRI IMPORT BERTULANG  (MUTTON) (AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,30.0,30.0,31.5,33.0,30.0
1368,DAGING PAHA KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND),1kg,BARANGAN SEGAR,DAGING,,,33.0,33.0,
