item_code,item,unit,item_group,item_category,2025-09-01,2025-09-02,2025-09-03,2025-09-04,2025-09-06,2025-09-07,2025-09-08,2025-09-09,2025-09-10,2025-09-11,2025-09-12,2025-09-13,2025-09-14,2025-09-17,2025-09-18,2025-09-19,2025-09-20,2025-09-21,2025-09-22,2025-09-23,2025-09-24,2025-09-25,2025-09-26,2025-09-27,2025-09-28,2025-09-29,2025-09-30
96,KACANG BENDI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,7.29,7.29,8.14,8.14,7.995,6.5,9.12801886792453,6.0,6.0,9.12551724137931,6.996666666666667,6.996666666666667,6.996666666666667,7.0,7.995,6.995,6.995,,9.204684684684684,5.99,5.66,9.86125,6.99,6.326666666666667,6.326666666666667,8.938598130841122,6.493333333333333
97,KACANG BUNCIS,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.49,11.160000000000002,11.160000000000002,11.160000000000002,9.993333333333334,10.326666666666666,12.31932584269663,10.326666666666666,7.993333333333333,11.899101123595505,6.0,7.993333333333333,7.993333333333333,7.326666666666667,7.495,7.495,7.495,7.495,11.848426966292134,7.95,6.0,10.015,7.95,7.95,7.95,11.722857142857142,7.95
98,KACANG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,7.19,8.99,8.09,8.09,7.46,7.46,8.57978494623656,7.46,6.695,8.386170212765958,7.46,7.726666666666667,6.945,7.66,7.66,7.66,7.993333333333333,7.926666666666667,8.90618556701031,7.760000000000001,7.395,8.215,7.426666666666667,7.426666666666667,7.426666666666667,8.451136363636364,7.74
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,,,,,,,3.0714285714285716,,,3.091891891891892,,,,,,,,,3.1500000000000004,,,,,,,3.0942857142857143,
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,,,,,,,12.8,,,12.5,,,,,,,,,12.5,,,,,,,12.8,
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,,,,,,,10.76125,,,10.76125,,,,,,,,,10.76125,,,,,,,10.458,
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,2.5,2.5,2.5,2.5,2.6950000000000003,4.063972602739726,2.6950000000000003,2.6950000000000003,4.070253164556962,2.6950000000000003,2.6950000000000003,2.626666666666667,2.6950000000000003,2.6950000000000003,2.6950000000000003,2.6950000000000003,2.6950000000000003,4.033717948717949,2.6950000000000003,2.626666666666667,3.268571428571429,2.626666666666667,2.8449999999999998,2.7933333333333334,4.057532467532468,2.8266666666666667
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,2.49,2.49,2.49,,,2.49,5.623235294117647,2.49,2.49,5.663333333333333,,,,2.49,,,,2.49,5.4896875,2.49,,4.0,,,,5.599142857142857,
108,KUNYIT HIDUP,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,6.99,7.995,7.995,7.995,7.995,7.995,11.136548672566372,7.995,7.995,11.014260869565218,8.326666666666666,8.326666666666666,8.326666666666666,8.326666666666666,8.326666666666666,8.326666666666666,8.326666666666666,8.326666666666666,11.017631578947368,8.326666666666666,8.326666666666666,9.092,8.326666666666666,7.995,7.995,11.227821782178218,8.326666666666666
109,LOBAK MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,2.89,3.7933333333333334,4.245,4.245,4.245,3.7933333333333334,5.051521739130435,3.7933333333333334,3.7933333333333334,5.040214285714286,4.245,4.245,3.7933333333333334,3.7933333333333334,4.245,3.5,3.5,3.1950000000000003,5.025170068027211,3.7933333333333334,3.7933333333333334,4.8914285714285715,4.245,4.245,3.7933333333333334,5.04464,3.7933333333333334
113,TIMUN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,3.495,4.5633333333333335,4.5633333333333335,4.73,3.895,4.737786259541984,3.795,3.645,4.711908396946565,3.4450000000000003,3.4450000000000003,3.526666666666667,3.893333333333333,3.9600000000000004,4.06,4.226666666666667,4.226666666666667,4.762406015037594,3.893333333333333,3.7266666666666666,4.658666666666666,3.6950000000000003,3.6950000000000003,3.6950000000000003,4.691885245901639,3.56
