item_code,item,unit,item_group,item_category,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17,2025-04-18,2025-04-19,2025-04-20,2025-04-21,2025-04-22,2025-04-23,2025-04-24,2025-04-25,2025-04-27,2025-04-28,2025-04-29,2025-04-30
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,12.664347826086955,,,,,,,14.199473684210528,,,,,,,13.007307692307693,,,,,,12.168125,14.081818181818182,
60,IKAN MERAH (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,41.315,,,,,,,41.483333333333334,,,,,,,41.48166666666666,,,,,,40.798,41.300000000000004,
64,KEPALA IKAN MERAH,1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,38.945,,,,,,,32.95,,,,,,,38.2225,,,,,,38.4975,37.9,
65,IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,,,,,,,23.5,,,,,,,23.5,,,,,,23.5,,
68,IKAN PARI (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,26.96666666666667,,,,,,,26.725,,,,,,,33.0,,,,,,33.0,26.9,
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,14.5,,,,,,,13.766666666666667,,,,,,,12.155555555555557,,,,,,14.299999999999999,12.18,
70,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,17.1676,,,,,,,16.546666666666667,,,,,,,16.335483870967742,,,,,,15.745454545454544,17.40909090909091,
73,IKAN SENANGIN (ANTARA 2 HINGGA 8 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,25.5,,,,,,,27.0,,,,,,,22.994999999999997,,,,,,22.994999999999997,,
78,IKAN TAMBAN BELURU (ANTARA 10 HINGGA 19 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,,,,,,,8.0,,,,,,,9.5,,,,,,,,
79,IKAN TENGGIRI PAPAN (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,29.95,
82,IKAN TENGGIRI BATANG (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,29.18,,,,,,,32.166666666666664,,,,,,,30.25,,,,,,30.333333333333332,30.0,
88,IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,9.39,9.39,9.39,9.39,9.39,10.944615384615386,9.39,9.39,9.39,9.39,9.39,9.39,10.578,9.39,9.39,9.39,9.39,9.39,9.39,10.578,9.39,9.39,9.39,9.39,,11.138,9.596666666666666,9.39
89,IKAN TILAPIA HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,,,,,,13.0,,,,,,,11.5,,,,,,,9.995000000000001,,,,,,6.995,11.0,
92,CILI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,8.99,8.99,8.99,8.99,13.39274193548387,8.99,7.99,7.99,7.99,7.99,7.99,13.254193548387097,,,,,,,13.626666666666667,,,8.79,8.79,,13.234418604651161,13.144499999999999,8.79
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,,,,15.791666666666666,,,,,,,16.058823529411764,,,,,,,16.140588235294118,,,,,,15.799615384615382,15.875,
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,12.99,,,12.99,12.99,15.14109090909091,14.99,11.99,,,,11.99,14.711176470588235,11.99,11.99,11.99,11.99,9.99,9.99,14.857454545454546,9.99,9.99,,,,15.298974358974359,14.732500000000002,9.99
